Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_717847928421706,https://www.facebook.com/weareotv/posts/717847928421706,"Sunday! Catch a sneak peek of our upcoming show #TheTTV after Tanya Saracho's play #Fade, which follows Mexican-born Lucia after she's hired to write for a ruthless Hollywood TV series. Join us for a discussion with creators Daniel Kyri Madison and Bea Cordelia Sullivan-Knoff about writing queer, black and trans characters outside of Hollywood!",Link,,,11/27/2017 12:06:11 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,1.0,,,,,,None
357045034501999_717004531839379,https://www.facebook.com/weareotv/posts/717004531839379,Catch #Futurewomen today in South Shore!,Photo,,,11/25/2017 07:24:38 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,FW
357045034501999_716657048540794,https://www.facebook.com/weareotv/posts/716657048540794,"Love this deep conversation about art, identity and politics with NIC Kay with Anna Martine Whitehead for Art21! #lilBLK",Link,,,11/24/2017 08:04:05 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,,,,,,None
357045034501999_716389081900924,https://www.facebook.com/weareotv/posts/716389081900924,"Binging Brujos today 🧙🏽‍♂️👨🏽‍🏫💫✨

Episodes 1-11 free to watch at https://weareopen.tv/open-tv-originals/brujos

#BrujosTV #DecolonizeThanksgiving",Photo,,,11/23/2017 02:29:04 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,,,,,,,B
357045034501999_715535451986287,https://www.facebook.com/weareotv/posts/715535451986287,"The first season of Brujos is live! Watch all eleven episodes to see how these gay Latino witches join folx of all colors to stop the hunt against their people! 

Watch now on weareopen.tv or save it on Vimeo: https://vimeo.com/album/4451466

#brujostv #opentvoriginals",Link,,,11/21/2017 09:45:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,,5.0,,,,,B
357045034501999_713907518815747,https://www.facebook.com/weareotv/posts/713907518815747,Brandon Markell Holmes bringing fire to Fox 32 Chicago! #MuseumofRnB,Link,,,11/17/2017 10:42:43 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,,,None
357045034501999_713585288847970,https://www.facebook.com/weareotv/posts/713585288847970,"Thank you Michelle Zacarias for this thoughtful review of Brujos!

“Brujos helps fill in an urgent need for representation, especially with so many of the most celebrated LGBTQ shows being dominated by cis white faces...The series is unapologetic and callous in its critique of hegemonic power. It is also an empowering portrayal of love, resilience, growth and strength. For queer brown kids who spent their childhood projecting themselves onto white TV characters, Brujos is the long awaited squad of heroes we have all been waiting for.”

#brujostv #opentvoriginals",Link,,,11/16/2017 04:11:49 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,,3.0,,,,,B|B|B
357045034501999_713529728853526,https://www.facebook.com/weareotv/posts/713529728853526,"Saturday! Catch an exclusive sneak peek at coriama couture’s Queer the Air, a docu-series centered on black queer folx exploring everything from body image to sexuality! Plus: a live show and other screenings! #queertheair",Link,,,11/16/2017 11:57:06 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,QTA
357045034501999_713524582187374,https://www.facebook.com/weareotv/posts/713524582187374,"Thanks Out Magazine! Episodes drop Monday.

To support: https://www.seedandspark.com/fund/brujos",Link,,,11/16/2017 11:36:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,,7.0,,,,,None
