plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
803,0.0,1222.0,2.0,3.0,0.0,/videos/404625206,Open Television x MCA Chicago: #OTVtonight Live Stream,8073.0,2020-04-06T14:35:19+00:00,Array,397.0,63.0,2899.0,2328405.0,3803368.0,260.0,None
711,0.0,3929.0,123.0,1.0,0.0,/videos/203924325,Brown Girls -- Episode 1,410.0,2017-02-14T00:43:46+00:00,Array,1202.0,70.0,244.0,173881.0,292152.0,372.0,BG
571,0.0,982.0,25.0,0.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,558.0,44.0,90.0,51517.0,161826.0,387.0,SFP
402,0.0,2215.0,54.0,2.0,0.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,953.0,57.0,56.0,22878.0,57009.0,230.0,BG
398,0.0,1932.0,72.0,0.0,0.0,/videos/204010747,Brown Girls -- Episode 2,874.0,2017-02-14T14:31:09+00:00,Array,506.0,72.0,547.0,217889.0,348227.0,195.0,BG
302,0.0,1123.0,71.0,0.0,0.0,/videos/204008552,Brown Girls -- Episode 7,628.0,2017-02-14T14:15:33+00:00,Array,277.0,72.0,375.0,113476.0,189656.0,174.0,BG
290,0.0,1696.0,57.0,0.0,0.0,/videos/204010519,Brown Girls -- Episode 3,636.0,2017-02-14T14:29:31+00:00,Array,448.0,78.0,429.0,124551.0,184709.0,145.0,BG
247,0.0,1077.0,54.0,1.0,0.0,/videos/204009737,Brown Girls -- Episode 6,476.0,2017-02-14T14:24:17+00:00,Array,218.0,75.0,318.0,78713.0,117572.0,141.0,BG
232,6.0,1131.0,37.0,0.0,0.0,/videos/204010226,Brown Girls -- Episode 4,770.0,2017-02-14T14:27:31+00:00,Array,233.0,79.0,541.0,125548.0,178860.0,114.0,BG
213,0.0,967.0,47.0,0.0,0.0,/videos/204010026,Brown Girls -- Episode 5,508.0,2017-02-14T14:26:06+00:00,Array,201.0,84.0,381.0,81288.0,108204.0,113.0,BG
209,0.0,311.0,28.0,0.0,0.0,/videos/328313520,OTV Super Trailer - Cycle 4 2019,381.0,2019-04-04T00:14:48+00:00,Array,147.0,40.0,113.0,23739.0,79813.0,121.0,None
196,0.0,535.0,7.0,0.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,218.0,43.0,283.0,55517.0,177078.0,113.0,FO
137,0.0,535.0,9.0,0.0,0.0,/videos/206503473,BRUJOS -- Episode 1 -- Aries,492.0,2017-03-03T00:46:07+00:00,Array,226.0,68.0,316.0,43424.0,67529.0,108.0,B
136,0.0,1330.0,13.0,1.0,0.0,/videos/275714604,the T - Episode 1,333.0,2018-06-18T21:13:09+00:00,Array,366.0,53.0,157.0,21451.0,45288.0,82.0,TT
108,0.0,791.0,10.0,2.0,0.0,/videos/402718970,Virtual Screening: #OTVtonight (LIVE),93.0,2020-03-31T21:07:02+00:00,Array,327.0,65.0,56.0,6070.0,10110.0,88.0,None
97,0.0,313.0,8.0,0.0,0.0,/videos/275932364,HAIR STORY (Pilot Concept),933.0,2018-06-19T22:51:12+00:00,Array,169.0,52.0,433.0,42003.0,90592.0,82.0,HS
96,0.0,438.0,2.0,2.0,0.0,/videos/400440357,Open Television presents #OTVTonight (2019),9269.0,2020-03-25T00:05:10+00:00,Array,191.0,27.0,1968.0,188984.0,889824.0,57.0,None
74,0.0,212.0,7.0,0.0,0.0,/videos/154795991,Full Out -- Episode 2,1349.0,2016-02-09T23:59:39+00:00,Array,110.0,39.0,443.0,32836.0,99826.0,51.0,FO
63,0.0,110.0,3.0,0.0,0.0,/videos/260143645,Yogma -- Episode 1,455.0,2018-03-14T22:26:17+00:00,Array,74.0,62.0,258.0,16288.0,28723.0,53.0,YMA
62,0.0,343.0,9.0,0.0,0.0,/videos/206503243,BRUJOS -- Episode 2 -- Taurus,637.0,2017-03-03T00:43:42+00:00,Array,112.0,71.0,439.0,27235.0,39548.0,49.0,B
61,0.0,111.0,8.0,0.0,0.0,/videos/275711167,the T - Episode 2,473.0,2018-06-18T20:50:41+00:00,Array,51.0,76.0,363.0,22199.0,28913.0,36.0,TT
54,0.0,122.0,2.0,1.0,0.0,/videos/329967024,The Right Swipe - Pilot,896.0,2019-04-12T06:42:16+00:00,Array,54.0,57.0,476.0,25746.0,48432.0,35.0,TRS
54,0.0,147.0,6.0,0.0,0.0,/videos/262325137,VELVET - Episode 1,734.0,2018-03-29T03:41:27+00:00,Array,73.0,41.0,258.0,13965.0,39683.0,39.0,VT
47,0.0,66.0,8.0,0.0,0.0,/videos/275682633,the T - Episode 6,441.0,2018-06-18T18:02:14+00:00,Array,32.0,79.0,329.0,15497.0,20771.0,30.0,TT
46,0.0,85.0,13.0,0.0,0.0,/videos/275708467,the T - Episode 3,373.0,2018-06-18T20:33:17+00:00,Array,49.0,86.0,321.0,14767.0,17158.0,33.0,TT
43,0.0,92.0,4.0,1.0,0.0,/videos/375475586,The Right Swipe - Episode 2,867.0,2019-11-25T18:26:55+00:00,Array,40.0,63.0,485.0,20874.0,37317.0,26.0,TRS
