Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)","Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",
357045034501999_453921611481007,https://www.facebook.com/weareotv/posts/453921611481007,"Nicole Lane interviews Zackary Drucker about her #OpenTVPresents pilot #SouthernForPussy! &quot;There has to be something that comes after the way that I addressed my transness in previous works, which is just me, as a person. The character is trans, but it’s just not something they are thinking about in that moment or something that they need to talk about. That’s the next step in entertainment in general,&quot; Zackary says.",Link,,,01/29/2016 08:22:41 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2.0,,,None
357045034501999_453348564871645,https://www.facebook.com/weareotv/posts/453348564871645,"We're excited to announce the premiere of our second original scripted series #FullOutSeries, a story of ambition, manipulation, betrayal, and self-discovery, FULL OUT follows a closeted dancer as she struggles to regain her glory following a devastating injury.

Starring: Nana Visitor, Kaitlyn Alexander, Jess Duffy and Kaitlin Webster Written
King is a Fink Productions 
#weareopentv #opentvoriginals",Link,,,01/27/2016 09:23:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,4.0,,,FO
357045034501999_453333488206486,https://www.facebook.com/weareotv/posts/453333488206486,,Photo,,,01/27/2016 08:14:56 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,,,
357045034501999_453105171562651,https://www.facebook.com/weareotv/posts/453105171562651,#BRONXCUNTTOUR #lilBLK #weareopentv,Link,,,01/26/2016 02:05:10 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3.0,,,None
357045034501999_451503631722805,https://www.facebook.com/weareotv/posts/451503631722805,Do yourself (and your ears) a favor and download all of @dj tess' mixtapes. You can thank us (an her) while your twirling to her jams at the premiere party of You're So Talented's Second Season at The Whistler on Feb. 4th from 6:30pm-1am.,Link,,,01/25/2016 12:19:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5.0,,,None
357045034501999_452628014943700,https://www.facebook.com/weareotv/posts/452628014943700,you ready? #fulloutseries,SharedVideo,,,01/24/2016 10:21:50 PM, ,139,134,0,261,254,0,7,4,6,0,0,184,70,0,0,7,0,0,0,0,27,28,0,0,0,13079,3,,3.0,4,6,None
357045034501999_451507105055791,https://www.facebook.com/weareotv/posts/451507105055791,"Daughter, Mother, Mirror: Zackary Drucker's #SouthernForPussy&quot; by Nicole Morse, Open TV's Exhibition Manager. #OpenTVCommunity #weareopentv",Link,,,01/22/2016 01:35:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,,,None
357045034501999_451503051722863,https://www.facebook.com/weareotv/posts/451503051722863,"We're so excited to announce our participation in ACRE TV's two-month long programming of &quot;The Set Speaks,&quot; a continuous live stream featuring seven artist-groups who will produce week-long performances from a 641 square foot studio located in Mana Contemporary Chicago. Tune in Feb 22-28 and help the #OpenTVCommunity break the internet!!! #weareopentv",Link,,,01/22/2016 09:15:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,6.0,,,None
357045034501999_451506671722501,https://www.facebook.com/weareotv/posts/451506671722501:0,"&quot;I wanted to focus on that burst of time period right before you make the choice to get up off the floor, stop numbing, stop isolating and reconnect back to the truth of our lives. It all boils down to this one truth for me -- even in the moments of darkness when we feel most alone, there is an omnipresent force holding the light of our spirits at the other end of the valley. That force is waiting for us to summon the courage to keep taking steps forward&quot; - Rashi of Woman Untamed with Rashida Khanbey in the #OpenTVCommnity.http://bit.ly/1Pj0765",Photo,,,01/21/2016 09:32:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1.0,,,None
357045034501999_451498011723367,https://www.facebook.com/weareotv/posts/451498011723367,!!!!,Photo,,,01/20/2016 07:21:52 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,3.0,,,None
357045034501999_451495161723652,https://www.facebook.com/weareotv/posts/451495161723652,"Stop what your doing and support our sister's who continue to make critical, relevant and fierce art! ##weareopentv #futurewomen",Link,,,01/20/2016 06:52:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7.0,,,FW
357045034501999_450680655138436,https://www.facebook.com/weareotv/posts/450680655138436,"Last night was beautiful! Thank you all for being apart of Open TV's first event in 2016! #FullOutSeries premieres Jan. 27th exclusively at www.weareopen.tv! Welcome to the #OpenTVCommunity King is a Fink Productions! 
#weareopentv",Photo,,,01/17/2016 04:43:05 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,,,None
357045034501999_449362668603568,https://www.facebook.com/weareotv/posts/449362668603568,,Photo,,,01/12/2016 07:13:46 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8.0,,,
357045034501999_449338658605969,https://www.facebook.com/weareotv/posts/449338658605969,"Open TV's head of exhibition, University of Chicago PhD student Nicole Morse, is also a scholar who writes about Zackary Drucker's work! They wrote a sharp analysis of Zackary's pilot #SouthernForPussy through the lens of &quot;collaboration.&quot; We love this!",Link,,,01/12/2016 04:19:43 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4.0,,,None
357045034501999_449307451942423,https://www.facebook.com/weareotv/posts/449307451942423,Join us this Saturday for King is a Fink Productions' premiere of #FULLOUT. Come out for an exclusive sneak peek of the first two episodes but stay for the jammiest of jammy-jams provided by DJ Tess of Slo Mo Chicago. #weareopentv #opentvoriginals,Link,,,01/12/2016 01:24:16 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2.0,,,None
357045034501999_447596618780173,https://www.facebook.com/weareotv/posts/447596618780173,"If you're curious what we're doing and how we're doing it, #OpenTV's head of development, Dr. Aymar Jean Christian, has written up our first twice-annual Development Report!",Link,,,01/06/2016 11:59:45 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,9.0,,,None
