Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_747875798752252,https://www.facebook.com/weareotv/posts/747875798752252,"It's a turning point for our Brujos, some for the better, but mostly for the worse. Something's got to give here and the New World Colonizers are just getting closer. The Brujos are going to have to fight back.

#BrujosTV #nationalstorytellingweek #opentvrewind

Be the first to hear about our premieres and events by signing up for the #opentvprogram weareopen.tv/program",Link,,,01/31/2018 02:04:11 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,B|B
357045034501999_747858052087360,https://www.facebook.com/weareotv/posts/747858052087360,"This episode begins #BrujosTV Part 2 - The Hanged Man 

Pay attention to the lecture here, Professor Linda Alcott (Coya Paz) spits some very real knowledge about colonization:

&quot;This genocide of bodies was also accompanied by epistemicide - the erasure or repression of alternative channels of knowledge and thought to understand the universe. Europeans burnt the Islamic libraries of Grenada, of the Aztec and Incans, of African civilizations. and since the native women of Europe were illiterate and passed their knowledge through oral tradition they burnt their bodies because their bodies were the books.&quot;

#opentvrewind #nationalstorytellingweek
Be the first to hear about our premieres and events by signing up for the #opentvprogram weareopen.tv/program",Link,,,01/31/2018 09:00:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,None
357045034501999_747854055421093,https://www.facebook.com/weareotv/posts/747854055421093,"Here #BrujosTV explores what the effects of what the torture does to those that are tortured and those that do the torturing. We begin to see how widespread a toll this is taking on our Brujos, and how vast the destruction of the New World Colonizers is. 

#opentvrewind #nationalstorytellingweek

Be the first to hear about our premieres and events by signing up for the #opentvprogram weareopen.tv/program",Link,,,01/30/2018 05:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,B
357045034501999_747850488754783,https://www.facebook.com/weareotv/posts/747850488754783,"In this episode of Brujos we meet Panfilo's Big Ex. You know, the ex you dated for years before you came out- that ex. 

#brujostv #opentvrewind #nationalstorytellingweek

Be the first to hear about our premieres and events by signing up for the #opentvprogram weareopen.tv/program",Link,,,01/30/2018 03:09:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,B
357045034501999_747788548760977,https://www.facebook.com/weareotv/posts/747788548760977,"Brujos may be supernatural, but it teaches many real-life lessons. Among these lessons: always be skeptical of the police. 

#opentvrewind

Be the first to hear about our premieres and events by signing up for the #opentvprogram weareopen.tv/program",Link,,,01/30/2018 10:44:34 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,B
357045034501999_747270988812733,https://www.facebook.com/weareotv/posts/747270988812733,"Brujos writer, Ricardo Gamboa on queer people of color and the supernatural: 

&quot;Panfilo [played by Gamboa], who can move things with his mind—it’s like, how often do us as queer people of color, to survive, have to be in a situation where it’s “mind over matter”?..&quot;

Or someone like Edwin, who’s an Afro-Latino, played by Justin Ignatius Mitchell, who’s an Afro-Boricua, who can turn invisible. We’re talking about a country that’s been denied sovereignty under colonial rule and that condition is invisibilized in the U.S. by its colonial metropol and ruler.&quot;

#opentvrewind #nationalstorytellingweek

Sign up for the #opentvprogram to stay up to date 
weareopen.tv/program",Link,,,01/29/2018 03:03:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,9,,,,,,,,,B
357045034501999_747249648814867,https://www.facebook.com/weareotv/posts/747249648814867,"Happy #nationalstorytellingweek ! This week we are shining a light on Brujos, a supernatural genre-bending series about a queer-of-color web series that follows four gay Latino grad students that are also witches as they try and survive the school semester and a witch hunt led by the wealthy, white, male and heteronormative descendants of the first New World colonizers. 

It is written by one of Chicago's great storytellers, Ricardo Gamboa. The series is directed by Gamboa and Reshmi Hazra Rustebakke. 

#opentvrewind",Link,,,01/29/2018 09:46:31 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,17,4.0,,,,,,,,B
357045034501999_745365295669969,https://www.facebook.com/weareotv/posts/745365295669969,"What's the best way to tell people the wedding's off? Post cards? E-vites? 500 person group text? In episode 3, Geeta is left with a reminder the love of your life doesn't always have to be someone else. 

Great news! Eight new episodes of Geeta's Guide To Moving On is coming to #weareopentv this spring. Stay tuned and make sure you subscribe to our newsletter to stay updated. weareopen.tv/program 

#opentvrewind",Link,,,01/26/2018 01:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,GGMO
357045034501999_745350599004772,https://www.facebook.com/weareotv/posts/745350599004772,"LA CASTING CALL
Trans and poc actors strongly encouraged!",Status,,,01/26/2018 09:29:35 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
