Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_601860540020446,https://www.facebook.com/weareotv/posts/601860540020446,That's right! #browngirlsTV,Link,,,02/28/2017 07:57:09 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27,,,,,,,None
357045034501999_601737870032713,https://www.facebook.com/weareotv/posts/601737870032713:0,"We are ONE day away from the Brujos Chicago Premiere! We are so excited to share the first portion of the season with you. 

Brujos blends the Latin American soap opera, American sitcom, and critical theory as it follows a coven of four queer Latino doctoral candidates as they learn magic, indulge in nightlife, navigate intimate relationships, and write seminar papers all while trying to survive a witch-hunt. These young protagonists confront histories and realities of racial and gendered inequality as they battle the secret society of white, heteronormative male descendants of the first New World colonizers behind the witch-hunt. Twelve, seven-minute episodes corresponding to signs of the zodiac cycle have been developed through queer men of color testimony; interviews with actual practitioners of divination and magic, i.e. psychics, santeras, tarot readers, etc.; and with academics of cultural studies, performance studies, and queer theory.",Photo,,,02/28/2017 12:38:46 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,1.0,,,,,,B|B
357045034501999_601306910075809,https://www.facebook.com/weareotv/posts/601306910075809,"The Brujos Chicago Premiere is in TWO days are we are so ready for all of this magic. Are you?

Join us on Wednesday 3/1 at the Chicago Cultural Center at 6pm in the Claudia Cassidy Theater for the screening. If you can't make it or just want to keep the party going, join us at the after party at 8pm at Club Kaliente in Pilsen. There will be episodes screened there as well! 

#opentvwednesdays #brujosTV",Link,,,02/27/2017 10:55:42 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,B
357045034501999_601302316742935,https://www.facebook.com/weareotv/posts/601302316742935,For the first time watch #BrownGirlsTV writer Fatimah Asghar and director/producer Samantha Bailey discuss the show with each other on camera!,SharedVideo,,,02/27/2017 10:41:39 AM, ,533,158,0,910,258,0,62,57,92,0,0,727,391,0,0,53,0,0,0,0,88,91,0,0,0,337641,10,10,,,57,,92,,None
357045034501999_600578156815351,https://www.facebook.com/weareotv/posts/600578156815351,OTV - Open Television,Link,,,02/25/2017 09:15:59 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,OTV
357045034501999_599960356877131,https://www.facebook.com/weareotv/posts/599960356877131,OTV - Open Television,Link,,,02/24/2017 07:31:52 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,,,,,,,OTV
357045034501999_599620140244486,https://www.facebook.com/weareotv/posts/599620140244486,"&quot;It’s [self-identity] a pretty strong theme throughout. In the script, there are all these moments at the end of the episodes where we get to have really vulnerable, quiet moments with one or two of the characters. I remember circling that when I first read it — this is a theme that keeps happening and it’s something that’s both tragic and really relatable to the experience of all women of color and people of color across the board. We don’t have representations of ourselves going through these really tumultuous times in our 20s and teens that it can feel lonely and like you don’t have anyone who can relate to you.&quot; - Samantha Bailey for Vimeo 

#browngirlsTV",Link,,,02/23/2017 12:24:11 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,4.0,,,,,,None
357045034501999_599588283581005,https://www.facebook.com/weareotv/posts/599588283581005,"Now presenting the world premiere of Afternoon Snatch​! 

Afternoon Snatch is an unapologetically queer web comedy about heartbreak and the importance of community.

#afternoonsnatch #opentvwednesdays",Link,,,02/23/2017 10:35:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,2.0,,,,,,AS
357045034501999_599168296956337,https://www.facebook.com/weareotv/posts/599168296956337,"Yes it is! 

In this piece writer Fatimah Asghar talks about the importance of shooting in Pilsen: “When Chicago is portrayed in stuff it’s meant to be a different city. Things that are shot in Chicago....are meant to … be like New York or wherever....Or [you’ll see] a lot of shots of downtown and Lake Shore and the Bean, which are all great places, but are not really what I think my day-to-day Chicago experience feels like. What we really wanted to do was capture the royalness of everyday Chicago.”",Link,,,02/22/2017 09:40:19 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,4.0,,,,,,None
