Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_1248051282068032,https://www.facebook.com/weareotv/posts/1248051282068032,"Close out #BlackHistoryMonth by diving into the creative mind of OTV - Open Television's first Executive Director and self-proclaimed International Pop Star, Eli Micky via ReelChicago.com and Reel360.com! 

Not only do they share some exciting plans for OTV in 2020 they also share some personal gems like how they found their way at the helm of intersectional TV production, what they've been cooking up in South Africa, and a very odd job they worked during university. 

#weareotv",Link,,,02/29/2020 10:29:51 AM, ,397,397,0,403,403,0,48,23,25,1,1,381,374,0,0,46,0,0,0,0,0,0,0,0,0,0,1,30.0,,1,30.0,,13,11.0,,,14,11.0,,,1,1,None
357045034501999_1247397255466768,https://www.facebook.com/weareotv/posts/1247397255466768,Reality is Not Good Enough,Video,,,02/28/2020 04:51:02 PM, ,142,142,0,152,152,0,4,4,7,0,0,112,109,0,0,4,2,2,0,0,32,35,0,0,20643,1005631,,,,,,,3,,3.0,,4,,3.0,,,,RNGE|GE
357045034501999_1247392165467277,https://www.facebook.com/weareotv/posts/1247392165467277,Searching for Isabelle,Video,,,02/28/2020 04:42:07 PM, ,106,106,0,112,112,0,6,6,7,0,0,92,90,0,0,3,2,2,0,0,20,22,0,0,25656,975125,,,,,,,1,,6.0,,1,,6.0,,,,SFI
357045034501999_1247390132134147,https://www.facebook.com/weareotv/posts/1247390132134147,Night Night - Chapter 1,Video,,,02/28/2020 04:36:29 PM, ,101,101,0,106,106,0,8,8,9,0,0,91,89,0,0,6,2,2,0,0,23,28,0,0,19508,567829,,,,,,,3,,6.0,,3,,6.0,,,,NN
357045034501999_1239788306227663,https://www.facebook.com/weareotv/posts/1239788306227663,"#OTVPlayback has returned with a blackity black vengeance. #OTVPlayback is a celebration of our previous cycle, uplifting series and pilots that have a home on weareo.tv. We're closing out #BlackHistoryMonth celebrating some of our works featuring black stories and creators. 

First up is Searching for Isabelle created by our very own Head of Production Stephanie Jeter. AND if you see our girl say congrats because she just made the ReelChicago.com and Reel360.com Black List! 

You can find Searching for Isabelle at weareo.tv/presents. 

While being held captive, Isabelle discovers a mysterious ability to project herself to the outside world. When she appears to her friends in a desperate appeal for help, they work together to try and find her - but time is running out.",,,,02/18/2020 08:25:29 PM, ,275,275,0,300,300,0,21,8,16,0,0,250,238,0,0,16,0,0,0,0,0,0,0,0,0,0,,16.0,2.0,,16.0,2.0,5,3.0,,,10,6.0,,,,,SFI|SFI
357045034501999_1238961906310303,https://www.facebook.com/weareotv/posts/1238961906310303,"OTV's first head of production and current head of the OTV Studio Stephanie Jeter drops knowledge in this interview. Congrats Stephanie! 

&quot;A deep passion for every project I work on drives me to the finish line, always, but I consider every project a preparation to tell my family’s story with great craftmanship. So, in short, I’m motivated by the idea of making my ancestors proud and to leave the imprint of their legacy on American cinema.&quot;",Link,,,02/17/2020 04:15:40 PM, ,284,284,0,299,299,0,25,16,20,0,0,254,239,0,0,24,0,0,0,0,0,0,0,0,0,0,,9.0,,,9.0,,10,7.0,,,13,7.0,,,,,None
357045034501999_1236988003174360,https://www.facebook.com/weareotv/posts/1236988003174360,"It's official! #BraveFutures Berlin is LIVE. Best of luck to all of the teams. We can't wait to meet and screen all of your work at Kino Moviemento Feb 25+26!  

Tickets are now on sale. RSVP to day: http://bit.ly/39nOKWv",Link,,,02/15/2020 02:40:27 AM, ,157,157,0,168,168,0,11,4,6,0,0,129,122,0,0,8,0,0,0,0,3,4,0,0,0,2000,,8.0,1.0,,8.0,1.0,3,1.0,,,5,1.0,,,,,None
357045034501999_1235747886631705,https://www.facebook.com/weareotv/posts/1235747886631705,"EXTENDED DEADLINE: FEBRUARY 17

Join our 2nd annual class of OTV Fellows! Fellows will receive a stipend of $6,000-8,000 to develop a pitch for an original television series or film as they take courses in the new OTV Study Hall. These projects will be exhibited during our second annual OTV x Sundance: Emerging Storytellers of Chicago initiative taking place in August 2020. Applications are open till Monday! 

Visit weareo.tv/otv-fellows for more details!",Link,,,02/13/2020 01:20:58 PM, ,1560,1560,0,1579,1579,0,245,103,146,0,0,757,719,0,0,143,0,0,0,0,0,0,0,0,0,0,26,171.0,17.0,33,232.0,25.0,74,40.0,,,103,43.0,,,,,None
357045034501999_1235382283334932,https://www.facebook.com/weareotv/posts/1235382283334932,"Have you seen us in the latest issue of Siegessäule? 

Check us out and learn more about #BraveFutures in Berlin! Deadline to register has been extended to tonight, Feb 13 23:59! Don't miss out on a chance to win €1000+ in prizes, a distribution deal with an Emmy-nominated platform and more!  

Register for #BraveFuturesFilmRace here: http://bit.ly/bravefuturesberlin",Photo,,,02/13/2020 03:13:02 AM, ,1347,1347,0,1420,1420,0,68,50,71,0,0,176,172,0,0,14,0,0,0,0,0,0,0,0,0,0,4,26.0,3.0,7,29.0,4.0,42,6.0,,10.0,55,6.0,,10.0,,,None
