Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_999278973611932,https://www.facebook.com/weareotv/posts/999278973611932,"Thanks Dazed and Confused Magazine!

&quot;I co-wrote this series with two other gay men of colour – KB Woodson and Zak Payne. We all agreed that we wanted to touch on the rawness of the queer community which meant we had to tackle drugs. We also wanted to push what it looked like to be a person of colour in a white-dominated workplace, which is so important and something so many of us can relate to. We wanted to portray it in a way that highlights how awkward and uncomfortable it can be for us in those situations.&quot; - Vincent Martell, co-writer and director of #DamagedGoods",Link,,,03/26/2019 06:48:56 PM, ,344,344,0,464,464,0,14,5,6,0,0,421,308,0,0,13,0,0,0,0,0,0,0,0,0,0,10,,,10,,,4,1.0,,,5,1.0,,,,,,,None
357045034501999_999269330279563,https://www.facebook.com/weareotv/posts/999269330279563,Thanks Queerty!!,Link,,,03/26/2019 06:25:05 PM, ,685,685,0,917,917,0,57,34,39,0,0,877,649,0,0,56,0,0,0,0,0,0,0,0,0,0,27,,,28,,,13,24.0,,,15,24.0,,,,,,,None
357045034501999_998613740345122,https://www.facebook.com/weareotv/posts/998613740345122,"Barely surviving the city of Chicago, four messy young adults will experience a complete loss of self-identity, which propels them onto a path of uncertainty. In Damaged Goods from Vincent Martell and VAM, the nuanced characters, their lives, and the situations they get themselves into reflect a gritty creative community we rarely see played out on screen. 

#DamagedGoodswebseries will be screened at Screening: Open TV Tonight and have a Q&amp;A with creator Vincent Martell and executive producers Sam Bailey and Fatima Asghar (of #BrownGirlsTV !). 

Presale tickets are no longer available but if you join the waitlist and arrive early enough, you will get in. Waitlist is first come first serve. Click our link in bio for more info. Also please note that the MCA staff manages the waitlist ;) love y’all. https://bit.ly/2HSE1Zs

If you can't make it, catch them at the kickoff of #OTVWednesdays 
OTV Presents: Damaged Goods &amp; FOBia on 4/10 where we will screen the series and the pilot of FOBia Series",SharedVideo,,,03/25/2019 01:29:36 PM, ,198,198,0,256,256,0,14,9,12,0,0,217,164,0,0,12,0,0,0,0,51,54,0,0,0,99475,6,,,6,,,9,,,,12,,,,,,,,DG|OTV|DG|FOB|FOB
357045034501999_998587093681120,https://www.facebook.com/weareotv/posts/998587093681120,"Thank you Paper Magazine for this excellent interview with Vincent Martell, founder of VAM, director and co-writer of #DamagedGoods: 

&quot;I've never seen proper representation of myself as a gay, Black man. We were tired of waiting for people to figure it out, so we took matters into our own hands. The representation we have seen is plastic — based off a white, Hollywood perspective and not authentic or relatable. Growing up without any proper characters on TV to look up to can be detrimental to someone's psyche, and we're just now seeing a shift in Hollywood where the people behind the lens are also in front of the lens. There's power in that, and artists around the world can connect with these experiences.&quot; 

#DamagedGoods premieres on OTV on April 4!",Link,,,03/25/2019 12:10:49 PM, ,2063,2063,0,3332,3332,0,210,139,258,0,0,1887,959,0,0,149,0,0,0,0,0,0,0,0,0,0,106,8.0,5.0,119,8.0,5.0,108,50.0,,,208,50.0,,,,,,,SH
357045034501999_996584747214688,https://www.facebook.com/weareotv/posts/996584747214688,"Like the main character of her show Quare Life Web Series, M Shelly Conner's loves to be dapper! 

&quot;The … first time I wore a bowtie, it did not imbue me with masculinity. I did not become butch, stud, or any other masculine-male identity. It did, however, provide a buffer for me to experience some of the liberties attributed to the masculine. My mannerisms and behaviors were no longer regulated by my style of dress.&quot;",Link,,,03/21/2019 09:28:14 PM, ,504,504,0,666,666,0,24,16,24,1,1,605,468,0,0,23,0,0,0,0,0,0,0,0,0,0,10,,1.0,10,,1.0,9,9.0,,,15,9.0,,,1,,1,,QL
357045034501999_996410397232123,https://www.facebook.com/weareotv/posts/996410397232123,Sunday vibes.,Link,,,03/21/2019 01:16:49 PM, ,156,156,0,209,209,0,4,1,1,0,0,183,132,0,0,4,0,0,0,0,0,0,0,0,0,0,3,,,3,1.0,,1,,,,1,,,,,,,,None
357045034501999_996381340568362,https://www.facebook.com/weareotv/posts/996381340568362,"Congrats Andre Perez, creator of Been T/here!",Link,,,03/21/2019 12:03:56 PM, ,3783,3783,0,5208,5208,0,99,69,89,1,1,1070,697,0,0,59,0,0,0,0,0,0,0,0,0,0,34,7.0,,34,49.0,,41,30.0,1.0,,57,31.0,1.0,,1,,1,,BTH
357045034501999_995883053951524,https://www.facebook.com/weareotv/posts/995883053951524,"#OTVTonight the official kickoff of our fourth cycle of programming, is coming soon! 

Advance free tickets are no longer available, but the waitlist is first come first serve so show up early and you should get in.

We will be screening the super trailer which show all of our releases this cycle, and selections from Damaged Goods FOBia Series The Right Swipe and #GoodEnoughtv with with brief interviews their respective creators. 

There will also be live alternating DJ sets from Hijo Pródigo. Learn more on the event page!",Link,,,03/20/2019 01:47:56 PM, ,188,188,0,242,242,0,13,8,10,0,0,216,167,0,0,13,0,0,0,0,0,0,0,0,0,0,5,,,5,,,7,2.0,,,8,2.0,,,,,,,DG|FOB|TRS
357045034501999_995858927287270,https://www.facebook.com/weareotv/posts/995858927287270,Thank you WCIU for talking to The Right Swipe and FOBia Series teams about their premieres! Both shows will screen at the Museum of Contemporary Art Chicago April 4 at 5:30pm! Get there early and should get seats! #weareotv,Link,,,03/20/2019 12:31:44 PM, ,1031,1031,0,1530,1530,0,85,34,49,0,0,984,597,0,0,56,0,0,0,0,0,0,0,0,0,0,57,5.0,1.0,66,5.0,1.0,28,9.0,,,40,9.0,,,,,,,TRS|FOB
