Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_644502792422887,https://www.facebook.com/weareotv/posts/644502792422887:0,"In Real Life Premiere May 14, 2017",Photo,,,05/31/2017 10:50:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,IRL
357045034501999_644153779124455,https://www.facebook.com/weareotv/posts/644153779124455,"#TheTTV is 🔥🔥🔥

Join us this Sunday for an exclusive sneak peak of The T, Quare Life Web Series by M Shelly Conner, and Two Queens in a Kitchen by Eli Micky at the 2nd Annual Open TV Friendraiser!

#2QIK #QuareLife",Photo,,,05/30/2017 02:30:49 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,TQIK
357045034501999_644074655799034,https://www.facebook.com/weareotv/posts/644074655799034,OTV - Open Television,Status,,,05/30/2017 08:48:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,OTV
357045034501999_642387469301086,https://www.facebook.com/weareotv/posts/642387469301086,"Thank you to Colorlines for this coverage of Geeta's Guide To Moving On ! 

&quot;On the surface, people may say or assume the show was created for women, singles, people of color, South Asians, Indians, Indian-Americans or Brown people,&quot; explains Mohindra. &quot;But the show is a new take on the modern, American self-love story. Geeta's heartache, struggle to move forward and journey to self-acceptance is a story that is for everyone who has taken the risk to love—and who keep loving, despite the risk involved.&quot;

#GeetasGuide",Link,,,05/26/2017 08:37:57 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,1.0,,,,,,GGMO
357045034501999_641994472673719,https://www.facebook.com/weareotv/posts/641994472673719,"All episodes of Geeta's Guide To Moving On are now LIVE! 

This series by Puja Mohindra is incredibly genuine and heartfelt. It's palpable that it's based off of her own life. 

#GeetasGuide",Link,,,05/25/2017 11:20:47 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,1.0,1.0,,,,,GGMO
357045034501999_641981252675041,https://www.facebook.com/weareotv/posts/641981252675041,"Ok this will actually have you fallin out at your desk.

All episodes of #STARvingArtists are LIVE!

Chicago comedy duo Aasia LaShay Bullock and Dewayne Perkins  go to extravagant lengths to reach their goals of international stardom and complete world domination. A show about being young, gifted, and black in a world that praises straight, white, and wack.",Link,,,05/25/2017 10:31:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,2.0,,,,,,None
357045034501999_641665106039989,https://www.facebook.com/weareotv/videos/641665106039989/,,Video,,,05/24/2017 05:36:20 PM, ,1982,1959,0,2827,2797,0,7,6,26,0,0,755,425,0,0,5,2,2,0,0,58,77,0,0,0,1699755,1,1.0,2,,2.0,3,4.0,11,7.0,
357045034501999_641662729373560,https://www.facebook.com/weareotv/videos/641662729373560/,Q&amp;A with Aasia LaShay Bullock Dewayne Perkins of #STARvingArtists and Puja Mohindra of #GeetasGuide,Video,,,05/24/2017 05:32:43 PM, ,2357,2316,0,3319,3249,0,14,13,16,0,0,817,446,0,0,6,1,2,0,0,53,58,0,0,0,188395,1,,1,,,6,7.0,7,7.0,None
357045034501999_641584639381369,https://www.facebook.com/weareotv/posts/641584639381369,"Tonight's the big night and we're adding some more goodness to the lineup! 

In honor of Asian Pacific American Heritage Month, a series of Public Service Announcements (PSAs) from artists within our communities. Inspired by ‘The More You Know’ campaign, the current administration and Asians who think this is stuff you should know by now, written by Fawzia Mirza. 

See you tonight for Geeta's Guide to Moving On &amp; Starving Artists - Open TV Premiere 6-8pm in the Chicago Cultural Center!",Link,,,05/24/2017 12:31:31 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,GGMO|SA|OTV
357045034501999_641274809412352,https://www.facebook.com/weareotv/posts/641274809412352,"Thanks Paper Magazine for talking to Brown Girls creators Fatimah Asghar and Sam Bailey! 

&quot;I'm never going to be Olivia Pope or Michelle Obama. They're amazing, but I can't live under that pressure. So, one of my goals with Brown Girls is to show brown and black women as flawed and yet still worthy of love and of the same kindness and benefit of the doubt that white people get.&quot; - #BrownGirlsTV director Samantha Bailey",Link,,,05/23/2017 06:40:26 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,1.0,,,,,,BG|BG
357045034501999_640704922802674,https://www.facebook.com/weareotv/posts/640704922802674:0,"Reality Isn't Good Enough Premiere April 23, 2017",Photo,,,05/22/2017 01:58:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,GE
357045034501999_640707409469092,https://www.facebook.com/weareotv/posts/640707409469092,"Colorlines profiles the creator of #BrujosTV, Ricardo Gamboa, about why he created the show and about his work in theater, performance, and podcasting!

&quot;[I was] thinking about us, people of color and queer people, having been invalidated to the point of not trusting ourselves,&quot; he says about the show's inspiration. &quot;And I wanted to respond to the media landscape, which [too often] reduces queer people to homonormative White guys.&quot;",Link,,,05/22/2017 01:38:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,5.0,,,,,,None
357045034501999_640628039477029,https://www.facebook.com/weareotv/posts/640628039477029,"This Wednesday! We are so excited for this beautiful lineup, we will have an intro from Andre Perez, director of #OpenTVOriginals #BeenThere speaking about his latest project America in Transition, a documentary series telling stories of trans people of color from rural communities. 

We will then be screening all of #STARvingArtists a comedy about being young, gifted, and black in a world that praises straight, white, and wack written and created by Aasia LaShay Bullock and Dewayne Perkins.  

Next up is the premiere of the heavily anticipated Geeta's Guide To Moving On, a comedic webseries by Puja Mohindra about self-love and the power of family after a devastating breakup. 

We have so much goodness for you wrapped up in our LAST Cultural Center Screening! Some come through, laugh, cry, take some pictures because you're cute and we love you.",Link,,,05/22/2017 09:11:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,GGMO
357045034501999_639367366269763,https://www.facebook.com/weareotv/posts/639367366269763,"Are you coming to the Petty Biennial opening tonight at the Arts Incubator? If so, stay for the after party for a DJ set by Rae Chardonnay Taylor of Party Noire at the BING Reading Room, 305 East Garfield Park Boulevard",Link,,,05/19/2017 11:43:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_638967746309725,https://www.facebook.com/weareotv/posts/638967746309725,#BrujosTV will screen at Newberry Library next week in this forum on indigenous histories!,Link,,,05/18/2017 03:47:56 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,,,,,,,None
357045034501999_638965699643263,https://www.facebook.com/weareotv/posts/638965699643263,"Rashayla Marie Brown's #RealityIsNotGoodEnough will screen again Saturday and her family, the subject of the film, will be in attendance and performing! We'll be there. Don't miss it. #opentvpresents",Link,,,05/18/2017 03:37:46 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_638547839685049,https://www.facebook.com/weareotv/posts/638547839685049,See you tonight !,Link,,,05/17/2017 02:10:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_638075856398914,https://www.facebook.com/weareotv/posts/638075856398914,Dig into this intimate look and watch #GeetasGuide with us next Wednesday: Geeta's Guide to Moving On &amp; Starving Artists - Open TV Premiere !,Link,,,05/16/2017 09:18:52 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,GGMO|SA|OTV
