Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_824470521092779,https://www.facebook.com/weareotv/posts/824470521092779,"MEET THE QUEENS: 

Queen Saya Naomi is an ORIGINAL Drag Queen artist whose presence is best known for her unique and fresh performances in New York and Chicago. 

Saya Naomi holds true drag queen badness in her tiny fist, with one of the freshest, fishiest looks around today. Saya Naomi - the “Bad Girl of Halsted” - has arrived and is fiercer than ever, slaying the stages with the hottest jams and putting Beyoncé’s weave to shame.

She'll be serving lqqks and cake tomorrow at SLAY x OTV present Two Queens in a Kitchen (LIVE) with Mister Wallace. Tune in at 8pm CST for this whole ass snack www.2QIK.live or buy a ticket to be a part of the live studio audience at Reunion Chicago: https://bit.ly/2yQLuVX",Link,,,06/29/2018 03:15:31 PM, ,147,147,0,198,198,0,4,1,1,0,0,164,122,0,0,3,0,0,0,0,0,0,0,0,0,0,3,,,3,,,1,,,,1,,,,,,TQIK
357045034501999_823460701193761,https://www.facebook.com/weareotv/posts/823460701193761,"We've added 5 more tickets to SLAY x OTV present Two Queens in a Kitchen (LIVE) for a few of you lucky QTs. Come and get your life as we welcome our dear friend and OTV writer, Ashley Ray to the set of #2QIK this Saturday. Ray is a Chicago-based comic, writer and storyteller. Her work has been featured in The A.V. Club, Vice, Jezebel, The Chicago Reader and most recently in OTV - Open Television's #HairStory.

As a comic and storyteller, she has performed at
Helltrap Nightmare, Clickhole Live, the Best Night Ever showcase, You're Being Ridiculous, The Laugh Factory, iO, and the Steppenwolf Theatre. She has been featured as a guest on a number of podcasts and radio shows. In 2017, The Chicago Reader voted Ashley the 2nd Best Chicagoan to Follow on Twitter. Get dem tickets: https://bit.ly/2yQLuVX or tune in live at www.2qik.live.",Photo,,,06/28/2018 03:12:00 PM, ,749,749,0,989,989,0,61,41,46,0,0,304,241,0,0,14,0,0,0,0,0,0,0,0,0,0,31,1.0,1.0,33,1.0,1.0,31,11.0,1.0,,34,11.0,1.0,,,,TQIK
357045034501999_820581738148324,https://www.facebook.com/weareotv/posts/820581738148324,"It's the Monday after #pride weekend, you're tired, maybe a bit hungover, and looking for something to binge watch. Don't worry we gotchu. The first 11 episodes of Brujos are available to stream created by artist, writer, academic, The Hoodoisie creator, and Two Queens in a Kitchen Season 1 alum, Ricardo Gamboa. 

Donate to help them finish the finale: https://bit.ly/2IrHwmc

BRUJOS is a supernatural series about gay, Latino doctoral students who are also witches trying to survive the semester and a witch hunt led by a secret society of the straight, wealthy, white male descendants of the first New World colonizers.

Brujos is directed by Gamboa and Reshmi Hazra Rustebakke, executive produced by Cinema Libertad in association with Full Spectrum Features. It's produced by Olivia Curry and Adela and Pedro Gamboa. Directors of Photography: Zoe Lubeck and Zapata. 

#Brujostv stars Gamboa, Justin Ignatius Mitchell, Isaac Gomez, Jake Szczepaniak, and many more. 

#OTVRewind #2QIK

RSVP to join the studio audience of Two Queens in a Kitchen (LIVE) at Reunion this Saturday: https://bit.ly/2JQ85pU",Link,,,06/25/2018 02:51:26 PM, ,298,298,0,364,364,0,25,14,17,0,0,323,261,0,0,20,0,0,0,0,0,0,0,0,0,0,14,,,14,,,13,,1.0,,15,,2.0,,,,TQIK
357045034501999_817604528446045,https://www.facebook.com/weareotv/posts/817604528446045,"&quot;For other actors, artists, and performers struggling to find the roles they deserve, Puja Mohindra advises, 

'No matter what people’s age, ethnicity, sexuality, race is… create your own work so that you can have the opportunity to do things that you love.'&quot;

Thank you ReelChicago.com for this incredible feature on Geeta's Guide To Moving On! #GeetasGuide",Link,,,06/22/2018 05:29:10 PM, ,184,184,0,234,234,0,10,4,6,0,0,191,153,0,0,7,0,0,0,0,0,0,0,0,0,0,7,,,7,,,4,,1.0,,4,,2.0,,,,GGMO
357045034501999_817425448463953,https://www.facebook.com/weareotv/videos/817425448463953/,"#TheDarlingSeries is a docu-series by Diana Quinones Rivera that follows choreographer and #2QIK season 1 alum Darling Shear and her group of dancers as they explore their personal understandings of identity, expression, movement, and collaboration.

Keep your ear to the ground, the series premieres next month. 

See if this season's queens cast spells as tasty as Darling's and RSVP to be a part of our LIVE studio audience:  https://bit.ly/2JQ85pU",Video,,,06/22/2018 12:31:24 PM, ,428,428,0,557,557,0,43,36,58,1,1,359,264,0,0,25,14,17,0,0,142,176,0,0,0,150185,11,2.0,,14,2.0,,25,,1.0,15.0,39,,1.0,18.0,1,1,DS
357045034501999_816455345227630,https://www.facebook.com/weareotv/posts/816455345227630,"Kiam Marcelo Junio is a holistic healer and interdisciplinary artist creating work across media through dance and performance, video, installation, photography, and writing. They are also one of the stars of Two Queens in a Kitchen season 1! 

Kiam is the creator of BLOOM, a new self care potion. They were inspired to make BLOOM when they realized how much societal shame they’ve inherited about the butt. Contemporary culture values the butt as an aesthetic object and hardly as an integral part of the body that deserves love and care. Junio wants to help change that. BLOOM is crafted with all-natural botanicals, working with nature’s inherent healing intelligence. DM Kiam Marcelo Junio if you’d like a bottle! [1oz $10, 2oz $15, 4oz $25 ] ( Booth photos by @adrianlordz )

Get your snaps and claps ready for Two Queens in a Kitchen (LIVE) at Reunion coming at you June 30th, RSVP link: https://bit.ly/2JQ85pU

#OTVrewind #2QIK",Photo,,,06/21/2018 03:01:00 PM, ,208,208,0,277,277,0,15,9,12,0,0,242,183,0,0,12,0,0,0,0,0,0,0,0,0,0,9,,,9,,,5,6.0,,,6,6.0,,,,,TQIK
357045034501999_816362058570292,https://www.facebook.com/weareotv/posts/816362058570292,"Congratulation to Daniel Kyri Madison, co-creator of #TheTTV, for being recognized in this year's Windy City Times 30 under 30!

Kyri, alongside co-creator Bea Cordelia Sullivan-Knoff, have truly created a masterpiece in the T - Web Series, which premiered on Monday. 

The #TheTTV, Jo, a trans woman craving an increasingly elusive intimacy, and Carter, a queer Black man at odds with his conservative upbringing, converge from opposite sides of Chicago for a magical New Year's Eve night.

Watch #TheTTV now: http://www.weareo.tv/originals/the-t",,,,06/21/2018 11:51:59 AM, ,926,926,0,1335,1335,0,141,85,108,0,0,300,210,0,0,33,0,0,0,0,0,0,0,0,0,0,78,3.0,3.0,81,3.0,3.0,70,,21.0,,87,,21.0,,,,TT
357045034501999_815570521982779,https://www.facebook.com/weareotv/posts/815570521982779,"Sur La Nuit is a soliloquy to the night, reflecting on love, loss, and identity. Presented thru the lens of otherness – queer identity, race, familial dynamics, gender, and access into classical art forms.

#SurLaNuit is composed by and stars ALEXA GRÆ, the piece is co-created by Jon Wes as videographer and Matthew Ozawa as director.

Watch it here or at http://www.weareo.tv/presents/sur-la-nuit

#pride #blackpride",Link,,,06/20/2018 07:33:50 PM, ,182,182,0,220,220,0,7,3,4,0,0,185,154,0,0,6,0,0,0,0,0,0,0,0,0,0,6,,,6,,,2,,2.0,,2,,2.0,,,,None
357045034501999_815350285338136,https://www.facebook.com/weareotv/videos/815350285338136/,"If you've picked up a Chicago publication in the last week you've probably seen cultural producer and resident party mom Kristen Kaza in it. You can learn about her queer root in the Chicago Reader: https://bit.ly/2MLoxqi or check out her interview in Time Out Chicago with LGBT hall-of-famer Pat McCombs: https://bit.ly/2Lxw4rj

Well, this cornerstone of Chicago queer programming and star of Two Queens in a Kitchen season 2 has the #pride blowout to end all blowouts coming up on June 23rd! It's lovingly called #QueerthePier/ Navy Pier Pride presented by American Airlines. The femme future will be in full effect.  

Two Queens in a Kitchen (LIVE) at Reunion (a gallery co-managed by Kaza) is coming at you 6/30 complete with a LIVE feed so you can join the party wherever you are. If you're in Chicago, join our studio audience: https://bit.ly/2JQ85pU",Video,,,06/20/2018 02:15:01 PM, ,196,196,0,252,252,0,19,13,14,0,0,201,159,0,0,17,7,7,0,0,13,13,0,0,0,5040,9,,,9,,,9,,1.0,3.0,10,,1.0,3.0,,,TQIK
