"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
680,0,1785,0,2018-02-01,2018-02-02,0,0,0,0,0,0,0,0
646,0,1940,0,2018-02-02,2018-02-03,1,0,0,0,0,0,0,0
856,0,5217,44,2018-02-03,2018-02-04,0,0,0,79,89,76534,96512,0
624,0,2789,110,2018-02-04,2018-02-05,1,0,0,72,356,222535,306713,0
699,0,2291,138,2018-02-05,2018-02-06,8,0,0,71,255,178267,248307,0
634,0,2008,142,2018-02-06,2018-02-07,1,0,0,71,313,198596,278804,0
503,0,1655,110,2018-02-07,2018-02-08,1,0,0,66,315,158595,239296,0
490,1,1604,49,2018-02-08,2018-02-09,1,0,0,72,128,62879,86751,0
455,0,1296,0,2018-02-09,2018-02-10,0,0,0,0,0,0,0,0
574,0,1489,0,2018-02-10,2018-02-11,5,0,0,0,0,0,0,0
600,3,1490,121,2018-02-11,2018-02-12,2,0,0,67,284,170624,254407,0
559,0,1590,139,2018-02-12,2018-02-13,0,0,0,69,316,176998,255362,0
555,5,1711,106,2018-02-13,2018-02-14,3,0,0,65,290,160995,245981,0
497,1,1691,71,2018-02-14,2018-02-15,8,0,0,64,191,95027,148226,0
567,0,1950,134,2018-02-15,2018-02-16,1,0,0,58,270,153183,262847,0
442,1,1524,92,2018-02-16,2018-02-17,1,0,0,59,242,107180,179601,0
452,0,1518,120,2018-02-17,2018-02-18,0,0,0,65,273,123525,189821,0
605,1,1633,142,2018-02-18,2018-02-19,1,0,0,64,279,168966,262925,0
514,3,1862,119,2018-02-19,2018-02-20,0,0,0,69,239,123255,176333,0
537,1,1638,135,2018-02-20,2018-02-21,1,0,0,58,239,128599,218132,0
510,0,1483,121,2018-02-21,2018-02-22,1,0,0,65,271,138484,210468,0
556,0,1574,125,2018-02-22,2018-02-23,0,0,0,70,272,151546,213737,0
503,0,1445,92,2018-02-23,2018-02-24,0,0,0,64,288,145118,223409,0
416,3,1227,90,2018-02-24,2018-02-25,0,0,0,62,270,112420,179976,0
446,0,1376,97,2018-02-25,2018-02-26,0,0,0,62,311,139039,223705,0
472,0,1541,104,2018-02-26,2018-02-27,0,0,0,61,265,125355,204824,0
516,1,1428,118,2018-02-27,2018-02-28,0,0,0,63,269,139294,219124,0
555,0,1471,104,2018-02-28,2018-03-01,1,1,0,59,222,123735,208154,0
"
",,,,,,,,,,,,,
