"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
5203,0,12494,1884,vimeo.com,,0,72,335,1745141,2709782,0
3664,0,3760,730,browngirlswebseries.com,,0,80,365,1337558,1974425,0
1576,0,2218,322,weareo.tv,,0,67,298,469855,784112,0
1338,2,4645,98,unknown,,0,16,40,53796,875041,0
377,0,571,52,thetwebseries.com,,0,81,333,125849,159978,0
196,0,1291,27,seedsseries.com,,0,73,254,49825,83993,0
170,0,406,14,onemorelesbian.com,,0,67,412,70068,109215,0
136,0,136,14,youresotalented.net,,0,71,290,39506,56661,0
84,0,1709,16,remezcla.com,,0,62,101,8514,26578,0
71,0,79,8,bing.com,,0,65,238,16922,33946,0
60,0,104,6,lesbianmedia.tv,,0,84,660,39624,47059,0
55,0,99,0,vimeo-chromecast-prod.s3.amazonaws.com,,0,0,0,0,45436,0
37,0,2739,5,teenvogue.com,,0,52,164,6088,15612,0
24,0,131,1,kingisafink.com,,0,46,156,3749,10245,0
22,0,454,3,ijoc.org,,0,55,72,1593,5991,0
19,0,215,6,thedailybeast.com,,0,67,110,2100,3254,0
17,0,17,1,samqbailey.com,,0,55,58,991,2183,0
17,0,18,1,mixcopenhagen.dk,,0,62,78,1328,2413,0
15,0,296,3,vice.com,,0,66,600,9001,13559,0
15,0,24,1,yahoo.com,,0,56,316,4745,12516,0
15,0,224,1,cdn.embedly.com,,0,56,243,3656,8902,0
14,0,116,1,velvetwebseries.com,,0,61,427,5978,10377,0
13,0,240,4,shadowandact.com,,0,62,290,3781,6032,0
13,0,13,0,twitter.com,,0,46,161,2100,4561,0
11,0,94,2,indiegogo.com,,0,47,87,963,2442,0
10,0,81,0,theverge.com,,0,65,271,2711,4110,0
10,0,26,2,zackarydrucker.com,,0,72,207,2071,2840,0
8,0,314,2,fatimahasghar.com,,0,86,357,2859,3288,0
7,0,1300,0,safe.txmblr.com,,0,13,47,335,3379,0
6,0,53,0,deadline.com,,0,18,76,459,2466,0
6,0,37,0,tvinsider.com,,0,67,276,1656,2466,0
6,0,32,3,oembed.vice.com,,0,77,45,270,348,0
5,0,43,3,theguardian.com,,0,82,117,588,710,0
5,0,41,1,aletral.com.br,,0,44,171,855,2124,0
5,0,33,0,afropunk.com,,0,57,615,3077,5336,0
4,0,20,0,reclaimingyoursexy.com,,0,41,574,2298,5504,0
4,0,41,0,spectrumsouth.com,,0,32,118,475,1972,0
4,0,18,0,startrek.com,,0,52,41,166,424,0
4,0,14,1,ajchristian.org,,0,25,51,204,791,0
4,0,79,1,latina.com,,0,56,115,460,812,0
4,0,100,0,tvisual.org,,0,91,313,1253,1371,0
4,0,110,0,vod-server.wix.com,,0,74,243,973,1531,0
4,0,6,0,yastatic.net,,0,51,297,1191,2291,0
4,0,6,3,midwestfilm.com,,0,95,67,270,284,0
4,0,57,2,fullspectrumfeatures.com,,0,80,58,233,288,0
4,0,57,0,mrbrianmorgan.com,,0,15,87,348,2228,0
4,0,188,1,futurehood.net,,0,24,72,289,1693,0
4,0,11,0,chicagotribune.com,,0,54,253,1014,1856,0
3,0,63,0,honeypotperformance.org,,0,13,73,220,2457,0
3,0,13,0,deadline-com.cdn.ampproject.org,,0,28,77,233,1233,0
3,0,97,0,amphitheater.caa.com,,0,54,315,945,1739,0
3,0,117,0,intogirls.nl,,0,83,114,343,1233,0
3,0,10,0,smilefart.com,,0,53,25,76,425,0
3,0,34,0,www-refinery29-com.cdn.ampproject.org,,0,88,121,364,1232,0
3,0,30,0,kiam-marcelo-junio.com,,0,46,1142,3428,7377,0
3,0,5,1,whohaha.com,,0,42,61,183,426,0
3,0,15,0,ashnimusic.com,,0,72,299,898,1233,0
3,0,5,0,www-out-com.cdn.ampproject.org,,0,91,148,444,555,0
3,0,34,1,odinakaezeokoli.com,,0,64,485,1457,2258,0
3,0,5,0,glappitnova.com,,0,7,16,48,984,0
3,0,74,0,gofundme.com,,0,98,93,280,425,0
3,0,32,0,out.com,,0,88,42,127,285,0
2,0,44,0,reinesdestempsmodernes.com,,0,48,34,69,284,0
2,0,37,0,secondcity.instructure.com,,0,90,187,374,822,0
2,0,8,0,bet.com,,0,91,65,130,284,0
2,0,68,0,billboard.com,,0,32,82,164,506,0
2,0,12,0,andrealanperez.com,,0,69,568,1136,1628,0
2,0,20,0,thedojochi.com,,0,34,269,538,1542,0
2,0,3,0,kimberlymichellevaughn.com,,0,20,69,139,1338,0
2,0,17,0,tubefilter.com,,0,44,199,399,904,0
2,0,9,0,tumbex.com,,0,88,125,251,567,0
2,0,34,0,blacktvfilmcollective.org,,0,18,42,85,928,0
2,0,9,0,brandonmarkell.com,,0,9,137,274,2900,0
2,0,18,0,www-theverge-com.cdn.ampproject.org,,0,96,397,794,822,0
2,0,50,0,newnownext.com,,0,44,220,441,986,0
2,0,13,0,m.lesbianmedia.tv,,0,67,536,1072,1591,0
2,0,166,0,glaad.org,,0,44,74,148,666,0
2,0,2,0,profporn.co,,0,5,12,25,986,0
1,0,44,0,refinery29.com,,0,98,403,403,411,0
1,0,6,0,tv.avclub.com,,0,29,17,17,58,0
1,0,13,0,courrierinternational.com,,0,67,96,96,142,0
1,0,1,0,wolfmovice.nctu.me,,0,77,383,383,493,0
1,0,8,0,rtbf.be,,0,0,0,0,141,0
1,0,14,0,ryanedmundphoto.com,,0,43,322,322,735,0
1,0,8,1,afterellen.com,,0,99,410,410,411,0
1,0,1,0,iframe-toloka.com,,0,15,104,104,669,0
1,0,87,1,seedandspark.com,,0,98,71,71,72,0
1,0,5,0,yeseniamejiasite.wordpress.com,,0,55,266,266,476,0
1,0,10,0,tendernessandtiaras.tumblr.com,,0,42,122,122,284,0
1,0,35,0,seemoremelanin.com,,0,16,67,67,411,0
1,0,3,0,datereliz.com,,0,0,0,0,566,0
1,0,29,0,indiewire.com,,0,4,23,23,521,0
1,0,17,1,sinequanonsalons.com,,0,99,556,556,557,0
1,0,1,0,social-blog.wix.com,,0,41,21,21,51,0
1,0,163,1,intomore.com,,0,98,57,57,58,0
1,0,9,0,eugene-park.squarespace.com,,0,0,0,0,72,0
1,0,10,0,superselected.com,,0,92,132,132,142,0
1,0,6,1,libertine-mag.com,,0,99,141,141,142,0
1,0,200,0,teens.ms,,0,43,62,62,142,0
1,0,15,0,dirtylooksla.org,,0,48,28,28,58,0
1,0,14,1,ajlinks.com,,0,98,70,70,71,0
1,0,20,0,wmagazine.com,,0,21,90,90,411,0
1,0,9,0,thelgbtupdate.com,,0,84,120,120,142,0
1,0,59,0,ellesgirls.skyrock.com,,0,72,655,655,904,0
1,0,1,0,vk.com,,0,37,211,211,557,0
1,0,3,0,lesbian-lips.com,,0,72,103,103,142,0
1,0,1,1,fawziamirza.com,,0,97,42,42,43,0
1,0,3,0,www-indiewire-com.cdn.ampproject.org,,0,46,240,240,521,0
1,0,11,1,vibe.com,,0,99,141,141,142,0
1,0,1,0,maxgmooney.com,,0,58,430,430,735,0
1,0,22,0,mcachicago.org,,0,2,5,5,183,0
1,0,44,0,latinorebels.com,,0,13,8,8,58,0
1,0,39,0,browngirlmagazine.com,,0,15,22,22,142,0
1,0,1,0,nathan-salter.com,,0,11,90,90,767,0
1,0,4,1,www-refinery29-uk.cdn.ampproject.org,,0,99,410,410,411,0
1,0,23,0,candorarts.com,,0,7,64,64,805,0
1,0,24,0,buzzfeed.com,,0,94,267,267,284,0
1,0,177,0,nowtoronto.com,,0,0,0,0,58,0
1,0,11,1,amp-theguardian-com.cdn.ampproject.org,,0,0,0,0,142,0
