plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
3833,0.0,27395.0,354.0,11.0,0.0,/videos/206503473,BRUJOS -- Episode 1 -- Aries,492.0,2017-03-03T00:46:07+00:00,Array,0.0,57.0,248.0,950763.0,1662832.0,0.0,B
3534,0.0,9933.0,902.0,9.0,1.0,/videos/203924325,Brown Girls -- Episode 1,410.0,2017-02-14T00:43:46+00:00,Array,0.0,68.0,254.0,897823.0,1309782.0,0.0,BG
2410,0.0,10230.0,489.0,4.0,0.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,0.0,64.0,73.0,177931.0,277413.0,0.0,BG
2298,0.0,2810.0,633.0,1.0,0.0,/videos/204010747,Brown Girls -- Episode 2,874.0,2017-02-14T14:31:09+00:00,Array,0.0,76.0,594.0,1365248.0,1795464.0,0.0,BG
1750,0.0,2707.0,549.0,0.0,0.0,/videos/204010519,Brown Girls -- Episode 3,636.0,2017-02-14T14:29:31+00:00,Array,0.0,80.0,472.0,826368.0,1024899.0,0.0,BG
1688,0.0,2102.0,640.0,1.0,0.0,/videos/204008552,Brown Girls -- Episode 7,628.0,2017-02-14T14:15:33+00:00,Array,0.0,76.0,435.0,735510.0,967752.0,0.0,BG
1608,0.0,2760.0,440.0,1.0,0.0,/videos/204010226,Brown Girls -- Episode 4,770.0,2017-02-14T14:27:31+00:00,Array,0.0,81.0,586.0,942561.0,1152611.0,0.0,BG
1446,0.0,1693.0,470.0,0.0,0.0,/videos/204009737,Brown Girls -- Episode 6,476.0,2017-02-14T14:24:17+00:00,Array,0.0,84.0,369.0,534000.0,634508.0,0.0,BG
1445,0.0,1751.0,503.0,0.0,0.0,/videos/204010026,Brown Girls -- Episode 5,508.0,2017-02-14T14:26:06+00:00,Array,0.0,83.0,393.0,568755.0,683262.0,0.0,BG
1279,0.0,1667.0,56.0,0.0,0.0,/videos/198624799,Open TV (beta) Trailer,179.0,2017-01-09T03:10:34+00:00,Array,0.0,30.0,44.0,57284.0,189499.0,0.0,OTV
1110,0.0,8599.0,159.0,2.0,0.0,/videos/206503243,BRUJOS -- Episode 2 -- Taurus,637.0,2017-03-03T00:43:42+00:00,Array,0.0,73.0,403.0,447387.0,611184.0,0.0,B
953,0.0,8479.0,207.0,2.0,0.0,/videos/206503072,BRUJOS -- Episode 3 -- Gemini,522.0,2017-03-03T00:41:50+00:00,Array,0.0,75.0,339.0,323506.0,425952.0,0.0,B
