Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_588507541355746,https://www.facebook.com/weareotv/videos/588507541355746/,Interview with Ricardo Gamboa and Reshmi Hazra Rustebakke of Brujos !,Video,,,01/31/2017 05:15:51 PM, ,508,471,0,788,750,0,18,13,25,0,0,334,174,0,0,9,3,4,0,0,48,60,0,0,0,676182,6,,,6,,,9,5.0,,13,6.0,,B
357045034501999_588495974690236,https://www.facebook.com/weareotv/videos/588495974690236/,Interview with Hannah Welever and Minita Gandhi of Brown Girls,Video,,,01/31/2017 04:51:18 PM, ,512,512,0,765,765,0,9,8,19,0,0,331,202,0,0,5,2,2,0,0,39,45,0,0,0,620459,1,,,1,,,5,4.0,,9,4.0,,BG
357045034501999_588483508024816,https://www.facebook.com/weareotv/videos/588483508024816/,Interview with Kayla Ginsburg and Ruby Western of Afternoon Snatch !,Video,,,01/31/2017 04:27:02 PM, ,2556,2460,0,3043,2902,0,27,24,59,0,0,358,193,0,0,11,3,3,0,0,84,110,0,0,0,661328,7,2.0,2.0,7,2.0,2.0,15,14.0,,26,19.0,,AS
357045034501999_588477614692072,https://www.facebook.com/weareotv/videos/588477614692072/,#opentvtonight,Video,,,01/31/2017 04:05:27 PM, ,623,612,0,994,981,0,5,5,6,0,0,439,229,0,0,4,2,2,0,0,24,28,0,0,0,36438,1,,,1,,,5,,,5,,,None
357045034501999_588475018025665,https://www.facebook.com/weareotv/posts/588475018025665:0,Look at this beautiful crowd showing out for #OpenTVTonight!,Photo,,,01/31/2017 03:56:52 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,13,,,,,,,,,None
357045034501999_588458271360673,https://www.facebook.com/weareotv/posts/588458271360673:0,#behindthescenes of #OpenTVTonight ! We start at 6pm doors at 5:30pm. We are guaranteed to fill up so make sure you grab a seat!,Photo,,,01/31/2017 02:50:38 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_588410004698833,https://www.facebook.com/weareotv/posts/588410004698833,"This just in: We're premiering a very exclusive teaser of #2QIK Season Two tonight at MCA Screen: #OpenTVTonight! Don't miss a chance to see who will star in the second season of &quot;Two Queens in a Kitchen&quot;! Doors at 5:30pm! Program starts promptly at 6pm. See you at #OpenTVTonight! 

BTS photos Alexus McLane &lt;3 &lt;3 &lt;3",Photo,,,01/31/2017 12:17:31 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
357045034501999_588335291372971,https://www.facebook.com/weareotv/posts/588335291372971,"The day is finally here! Don't miss these exclusive sneak previews of Afternoon Snatch , Brujos , and Brown Girls. Thank you to everyone that has made this night possible, we can't wait to celebrate with you all at the MCA Screen: #OpenTVTonight After Party co-hosted by Party Noire as well!",Link,,,01/31/2017 08:28:08 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,AS|B|BG
357045034501999_588012501405250,https://www.facebook.com/weareotv/posts/588012501405250,Sending special thanks to the Chicago Reader for featuring MCA Screen: #OpenTVTonight in your weekly roundup of cultural happenings around Chicago! Make sure to arrive early and get a good seat! We're cooking up a program that you definitely don't want to miss! #weareopentv #opentvcommunity,Link,,,01/30/2017 04:50:45 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
