Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_761237337416098,https://www.facebook.com/weareotv/posts/761237337416098,"&quot;Late night ranks among the least diverse hours of TV, even though late-night programming tends to be the &quot;edgiest&quot; in broadcast TV history. Instead of promoting the latest macho blockbuster to be sold internationally, I wanted to use the format of the talk show to showcase Chicago's queer artists.&quot; - Aymar Jean Christian founder and Head of Development

Read on for more about the program and to watch the recap of last year's #OTVTonight. 

Save the date for this year's, coming up next Tuesday March 6th, at Museum of Contemporary Art Chicago.
Event page: In Progress: OTV | Open Television Tonight",Link,,,02/28/2018 10:01:47 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,12.0,,,,,,,,,,OTV
357045034501999_760845767455255,https://www.facebook.com/weareotv/videos/760845767455255/,"The Roach is Coming - Trailer by Derrick Woods-Morrow.

In 2017 artist Derrick Woods-Morrow returned home to Greensboro, NC to reconnect with a police officer, who was once just another feral young boy on the playgrounds much like himself. Throughout a 72 hour period, they return to past moments of play, in an attempt to build a future where they could like they once were - two young boys, searching for each other, deep into the bushes, one white &amp; one unaware of his blackness.

The Roach is Coming premieres March 30th at the The Art Institute of Chicago. 

#BlackHistoryMonth",Video,,,02/27/2018 12:55:37 PM, ,583,583,0,836,836,0,32,25,32,0,0,229,166,0,0,12,18,18,0,0,173,213,0,0,0,69587,2,8.0,,2,10.0,,15,13.0,,16,16.0,,,,RIC|RIC
357045034501999_760355770837588,https://www.facebook.com/weareotv/videos/760355770837588/,"Code-Switched is a comedy-drama series that follows the interconnected lives of five South Asian-American roommates and friends trying to blaze their own trails in a world of high-expectations, fleeting relationships, and gentrified workplaces. 

See the premiere of Code-Switched at In Progress: OTV | Open Television Tonight March 6th! 

Stay up to date with all of our premieres and events by signing up for the #OTVProgram weareo.tv/program",Video,,,02/26/2018 10:50:32 AM, ,504,504,0,665,665,0,48,41,80,0,0,399,288,0,0,29,31,38,0,0,207,238,0,0,0,70419,3,15.0,,3,17.0,,20,28.0,,29,51.0,,,,OTV
357045034501999_758953020977863,https://www.facebook.com/weareotv/posts/758953020977863,"On the #weareOTV rebrand:
&quot;With OTV we are dropping ‘beta’ and focusing on raising our production value, cultivating partners in distribution and exhibition, all while continuing to develop experimental, genre-defying works that expand the art of video narrative.” - founder and Head of Development Aymar Jean Christian for Cassius Mag

Don't forget to #savethedate for our kick-off of cycle 3, In Progress: OTV | Open Television Tonight March 6th at Museum of Contemporary Art Chicago!

#OTVTonight 

Sign up for the #OTVprogram and stay up to date with our premieres and events: weareo.tv/program",Link,,,02/23/2018 11:39:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,21.0,,,,,,,,,,OTV
357045034501999_758532114353287,https://www.facebook.com/weareotv/posts/758532114353287,"One of the #OTVOriginals we will be premiering in our #OTVWednesday series is VELVET. Catch their premiere at the Chicago Cultural Center 3/28 6-8pm.

When Demetra, a competitive professional, is forced to reevaluate her social life, she strikes up a friendship with Cymone, her seemingly much cooler coworker. As their worlds collide to form a brand new #squad, these five young Chicagoans begin to reevaluate their own identities as well as their relationships to each other. By weaving together public and private experiences, VELVET comedically explores the joys, vulnerabilities, and everything in-betweens of making new friends in your mid-twenties. 

VELVET is created by Allie Dunn, Leo J Gilbert, Dru Greenwood, Tyla Landry, Sydney Levison, Clifton Lyons, and Becky Schultz. 

Don't forget to save the date for In Progress: OTV | Open Television Tonight March 6th at the Museum of Contemporary Art Chicago. 

Sign up for the #OTVProgram to stay up to date with our premieres and events: weareo.tv/program

#BlackHistoryMonth",Photo,,,02/22/2018 03:07:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,10,27.0,,,,,,,,,,VT|VT|VT|OTV
357045034501999_758235341049631,https://www.facebook.com/weareotv/posts/758235341049631,OTV - Open Television,Link,,,02/21/2018 08:46:40 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2.0,,,,,,,,,,OTV
357045034501999_758140927725739,https://www.facebook.com/weareotv/videos/758140927725739/,"Now presenting the trailer for #Yogma by Karla Huffman!

Yogma is about a hopeful, young yoga instructor who dreams of being a bright star in a beautiful culture finds out that her rise to the top, and the world shes fighting to be a part of... aren't exactly what she thought they'd be.

You can watch Yogma and an interview with creator, Karla Huffman, at In Progress: OTV | Open Television Tonight March 6th at Museum of Contemporary Art Chicago!

Stay up to date by signing up for the #OTVProgram: weareo.tv/program",Video,,,02/21/2018 03:26:35 PM, ,658,658,0,989,989,0,82,67,112,1,1,333,219,0,0,33,60,65,0,0,296,359,0,0,0,117142,8,29.0,8.0,10,45.0,8.0,33,49.0,,41,71.0,,1,1,YMA|YMA|YMA|OTV
357045034501999_757643551108810,https://www.facebook.com/weareotv/posts/757643551108810,"Now presenting: the official trailer for Seeds!

#Seedsseries is a comedic, socially conscious web series from Deja Harrell, following the misadventures of four young black women. 

You can see the premiere of Seeds at In Progress: OTV | Open Television Tonight at the Museum of Contemporary Art Chicago on March 6th! Make sure to RSVP. 

#BlackHistoryMonth",Link,,,02/20/2018 01:15:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10.0,2.0,,,,,,,,,SDS|SDS|OTV
357045034501999_757051194501379,https://www.facebook.com/weareotv/posts/757051194501379,"It's still #BlackHistoryMonth y'all. THE BLACKEST BLACKITY BLACK SHOUT OUT to #BlackPanther and the fam that supported and destroyed the box office projections, raking in $361 million globally in its opening weekend. Again, proving what we all BEEN saying-- people want intersectional art. #WakandaForever

In case you missed it, last week we debuted our trailer for the third cycle with all new #OTVPresents and #OTVOriginals! Keep supporting intersectional artists and #savethedate for #OTVTonight March 6th: In Progress: OTV | Open Television Tonight which kicks off our season of premieres at the Chicago Cultural Center.",Status,,,02/19/2018 10:12:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,3.0,,,,,,,,,,OTV
