Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,
357045034501999_371694236370412,https://www.facebook.com/weareotv/posts/371694236370412,"&quot;You're So Talented offers another side to the coming-into-adult narrative that is both refreshing, and needing of a larger platform. 
[It] is without doubt, an intriguing web series that’s worth watching. In Bea, Black millennial women now have a relatable protagonist we can invest in.&quot; Thanks for the lovely review Bitch Media! 

http://bitchmagazine.org/post/new-web-series-youre-so-talented-gives-us-a-black-female-protagonist-to-root-for",Link,,,03/31/2015 03:41:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,,,None
357045034501999_371693686370467,https://www.facebook.com/weareotv/posts/371693686370467,"We're cooking up all the good stuff over at www.weareopen.tv: 
Go #explore!",Link,,,03/31/2015 02:58:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_371693516370484,https://www.facebook.com/weareotv/posts/371693516370484,It's time for you to catch up with the &quot;Who's So Talented #Series: http://youresotalented.tumblr.com/ #interview #makeyourown,Link,,,03/31/2015 01:36:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_371693326370503,https://www.facebook.com/weareotv/posts/371693326370503,Our #website is doing that thing that we like. Check it out and tell us what you think: http://buff.ly/1DPFicc #design #uxui #webdesign,Link,,,03/30/2015 03:35:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_371692643037238,https://www.facebook.com/weareotv/posts/371692643037238,"If you're in #LA this week here's where to catch the She's Out Of Order and Under the Spell Productions, Inc. team LAWeb Fest! 
http://shesoutoforder.com/2015/03/29/la-webfest-screening-and-panel-info/ #makeyourown #losangeles #production",Link,,,03/30/2015 12:32:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_371696529703516,https://www.facebook.com/weareotv/posts/371696529703516,Based on your feedback we've published some new #content for you to explore in the #OpenTVCommunity. Thanks for your continued support and keep the feedback coming! We love hearing from you! Phttp://www.weareopen.tv/open-tv-community,Link,,,03/30/2015 10:42:27 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_370883133118189,https://www.facebook.com/weareotv/posts/370883133118189,"The Trans 100 may be sold out but you can still find other ways to participate in the event this weekend. Check out the live stream and make sure to do your part by donating to their efforts! 

#trans #equality #chicago #trans100",Link,,,03/27/2015 02:54:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_370204573186045,https://www.facebook.com/weareotv/posts/370204573186045,We could use your help with this: www.weareopen.tv/intervene,Link,,,03/27/2015 01:32:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_370249906514845,https://www.facebook.com/weareotv/posts/370249906514845:0,"Tons of new #content on the site for you to connect with and #explore; tell us what you think: 
http://www.weareopen.tv/open-tv-community",Photo,,,03/25/2015 02:44:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_370202386519597,https://www.facebook.com/weareotv/posts/370202386519597,"We just #released &quot;Chapter Two&quot; of You're So Talented on #OpenTV. After Bea's show closes early due to bad reviews, she tries a different medium and ends up speaking a little too honestly at an art gallery. Are you ready for the story that unfolds? 
#watch and #share: https://vimeo.com/123121866",Link,,,03/25/2015 10:10:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.0,1.0,YST
357045034501999_369960599877109,https://www.facebook.com/weareotv/posts/369960599877109,"Did you know that Whatever Spectrum created and produced all of the music for our original series, You're So Talented? Stay tuned for our #Spotlight and make sure you like their page to stay updated when new songs are released!",Link,,,03/24/2015 12:52:38 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,YST
357045034501999_369674289905740,https://www.facebook.com/weareotv/posts/369674289905740,Our #website is doing that thing that we like. Check it out and tell us what you think: http://buff.ly/1DPFicc #design,Link,,,03/24/2015 11:39:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,1.0,None
357045034501999_369674903239012,https://www.facebook.com/weareotv/posts/369674903239012,"We're really digging, GENDER TALENTS, a new web-based project by artist Carlos Motta that engages movements and discourses for gender self-determination within #trans and #intersex communities internationally. http://gendertalents.info/about/",Link,,,03/24/2015 10:42:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
