Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_788246651381833,https://www.facebook.com/weareotv/posts/788246651381833,"Enjoy this video of Aymar Jean Christian's CommFest presentation and Q&amp;A with #OTV artists Bea Cordelia Sullivan-Knoff and Daniel Kyri Madison, creators #TheTTV , Karan Sunil, creator of Code-Switched and Deja Harrell, creator of Seeds Series! 

The video includes an overview of Christian's research, an introduction to OTV - Open Television and some preliminary findings from the release of #BrownGirlsTV and Brujos.",Link,,,04/30/2018 03:00:01 PM, ,242,242,0,333,333,0,16,11,21,0,0,312,225,0,0,16,0,0,0,0,0,0,0,0,0,0,6,,,6,,,10,6.0,,,14,7.0,,,,,,,SDS|OTV|B
357045034501999_788228764716955,https://www.facebook.com/weareotv/posts/788228764716955,Tomorrow! Catch Seeds Series and a special sneak peek at Code-Switched at the The Midwest Independent Film Festival!,Link,,,04/30/2018 12:35:57 PM, ,67,67,0,95,95,0,4,1,1,0,0,78,52,0,0,2,0,0,0,0,0,0,0,0,0,0,3,,,3,,,1,,,,1,,,,,,,,SDS
357045034501999_788211341385364,https://www.facebook.com/weareotv/posts/788211341385364,"Our #mcm goes out to Daniel Kyri Madison co-creator of #TheTTV which will be hosted on OTV. They're just $100 away from $8000 and nearing their halfway point!

Jo (played by co-creator Bea Cordelia Sullivan-Knoff), a white trans woman craving an increasingly elusive intimacy, and Carter (played by Kyri), a queer Black man at odds with his conservative upbringing, converge from opposite sides of Chicago for a magical New Year's Eve night. As hangovers fade, and the two friends face awkward hook-ups, nervous dates, and the unlikely pursuit of lasting love, at least they have each other. 

Told in small, quotidian moments—by turns private, public, quietly tragic, and painfully hilarious—the T tells realer-to-life stories about the LGBTQ community than are often portrayed in mainstream media.",Link,,,04/30/2018 11:51:54 AM, ,286,286,0,374,374,0,16,14,18,0,0,352,269,0,0,16,0,0,0,0,0,0,0,0,0,0,5,,,5,,,9,6.0,,,10,8.0,,,,,,,HU|TT
357045034501999_786918754847956,https://www.facebook.com/weareotv/posts/786918754847956,"&quot;[Geeta's Guide To Moving On creator, Puja Mohindra] hopes Geeta's Guide to Moving On breaks down the perfect woman myth, lessens the pressure to &quot;have it all&quot; and prompts viewers to define success for themselves.&quot;

Watch #GeetasGuide now: http://www.weareo.tv/originals/geetas-guide-to-moving-on

#femalefilmmakerfriday",Link,,,04/27/2018 02:22:00 PM, ,244,244,0,295,295,0,7,4,4,0,0,217,177,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1.0,,4,1.0,,1,3.0,,,1,3.0,,,,,,,GGMO
357045034501999_786953724844459,https://www.facebook.com/weareotv/posts/786953724844459,"Thank you Into for covering Brujos!

“I can't think of a show right now that is as multiracial as ours, that looks at queer sexuality as unabashedly as ours, that handles all of our issues as much as ours,” creator Ricardo Gamboa says. “Not like in a Glee way, where you can just tell that this is the episode where they're talking about this. … I'm not interested in representation, I’m interested in revolution.”",Link,,,04/27/2018 02:02:10 PM, ,385,385,0,513,513,0,26,13,14,1,1,496,372,0,0,26,0,0,0,0,0,0,0,0,0,0,16,,1.0,17,,1.0,10,4.0,,,10,4.0,,,1,,1,,B
357045034501999_786915464848285,https://www.facebook.com/weareotv/posts/786915464848285,"&quot;Black queer artists are having a moment, but you wouldn’t know if you consume black media... black media owners have yet to fully embrace intersectionality—the theory that folks who are marginalized by their race along with gender, sexuality, class and other characteristics have specific experiences and forms of oppression.&quot; 

- OTV - Open Television founder and head of development Aymar Jean Christian for Into.",Link,,,04/27/2018 12:02:22 PM, ,1271,1271,0,1701,1701,0,125,74,93,0,0,707,515,0,0,66,0,0,0,0,0,0,0,0,0,0,63,6.0,1.0,64,6.0,1.0,35,47.0,,,45,48.0,,,,,,,OTV
357045034501999_786512478221917,https://www.facebook.com/weareotv/posts/786512478221917,"Happy #LesbianVisibilityDay ! We're celebrating with the release of Quare Life Web Series created by M Shelly Conner. 

When her girlfriend not only rejects her marriage proposal but also breaks up with her, thirties-something Black professional Michelle Jones finds herself unemployed, unengaged, and without a home. In order to regroup, she moves in with her formerly homophobic mother and leans on her twin brother and close-knit group of friends for emotional support.

CAST // 
Ambria Sylvain (Michelle Jones)
Tara Smith (Dana Williams)
Dina Nina Martinez (Nari Diaz)
Dominica Strong (Pam Morris)",Link,,,04/26/2018 04:29:42 PM, ,1483,1483,0,2017,2017,0,64,48,68,0,0,337,246,0,0,15,0,0,0,0,0,0,0,0,0,0,24,11.0,5.0,31,11.0,6.0,30,22.0,,,45,23.0,,,,,,,QL
357045034501999_786413184898513,https://www.facebook.com/weareotv/posts/786413184898513,"You can now watch all of Geeta's Guide To Moving On season one at http://www.weareo.tv/originals/geetas-guide-to-moving-on !

When her fiancé, Dani, dumps her after 10 years of dating, Geeta loses her one true love. Refusing to believe it’s over, she moves in with her Indian family, in the hopes that she and Dani will eventually get back together. The way this all-American girl comes to accept this loss and learns to move on is a new take on the modern American self-love story. 

Created by Puja Mohindra.

Pick up where we left off last cycle and check out Episode 4 now.",Link,,,04/26/2018 09:42:09 AM, ,245,245,0,301,301,0,13,7,9,0,0,280,227,0,0,12,0,0,0,0,0,0,0,0,0,0,8,,,8,,,6,2.0,,,7,2.0,,,,,,,GGMO
357045034501999_786117718261393,https://www.facebook.com/weareotv/videos/786117718261393/,Q&amp;A with Geeta's Guide To Moving On creator Puja Mohindra and Quare Life Web Series creator M Shelly Conner.,Video,,,04/25/2018 05:43:52 PM, ,450,450,0,587,587,0,22,14,19,0,0,239,186,0,0,13,1,2,0,0,132,143,0,0,0,1277429,12,1.0,,12,1.0,,10,,6.0,,13,,6.0,,,,,,GGMO|QL
