Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_494646357408532,https://www.facebook.com/weareotv/posts/494646357408532,"New interview with Sam Bailey! &quot;You're So Talented’s episodes are fairly short but I think they pack a punch. They’re dense. The comedy is a little less flashy and a lot more lived-in. Also, the amount of money/time it takes to make a five minute anything is crazy.&quot;",Link,,,05/31/2016 12:56:57 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,10.0,,,,,,,,None
357045034501999_491984611008040,https://www.facebook.com/weareotv/videos/491984611008040/,"We had a blast at the premiere of #LipstickCity at GMan Tavern and Smartbar Chicago! If you missed it check out this #BTS recap video with interviews from creator and star Shea Couleé, producer Kelly Schmader, and art director Dan Polyak. Thank you to Ariel Zetina for the track, &quot;Application,&quot; on this video! Watch it on weareopen.tv! #opentvcommunity",Video,,,05/23/2016 09:51:57 AM, ,4082,1791,0,7555,2877,0,334,273,454,0,0,1355,386,0,0,38,155,162,0,0,1200,1369,0,0,0,134677,11,130.0,10.0,11,150.0,10.0,98,219.0,2.0,104,335.0,2.0,None
357045034501999_489024557970712,https://www.facebook.com/weareotv/posts/489024557970712,"TODAY at the Gene Siskel Film Center of the School of the Art Institute of Chicago! 

1:30pm-3pm! 

We have very cute exclusive treats for y'all! #weareopentv #lakefx Lake FX Chicago #opentvcommunity",Link,,,05/14/2016 10:53:42 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.0,,,,,,,,None
357045034501999_487874301419071,https://www.facebook.com/weareotv/posts/487874301419071,Introducing the first write-up of #NupitaObama and #OpenTVPresents! Open TV Head of Development Dr. Aymar Jean Christian writes about how making queer television is a form of knowledge production.,Link,,,05/11/2016 08:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5.0,,,,,,,,OTV
357045034501999_487543621452139,https://www.facebook.com/weareotv/posts/487543621452139,You're So Talented creators Our Names Are Sam teamed up with VAM to produce this stimulating conversation among women in film and TV in Chicago!,SharedVideo,,,05/09/2016 01:27:10 PM, ,149,46,0,294,91,0,26,17,27,0,0,261,125,0,0,26,0,0,0,0,16,20,0,0,0,413184,,10.0,,,12.0,,,17.0,1.0,,25.0,2.0,YST
357045034501999_487530614786773,https://www.facebook.com/weareotv/posts/487530614786773,"We continue to document the #OpenTVCommunity in Chicago! We're debuting a short documentary about the Chicago Home Theater Festival shot by IamKiam Studios and edited by Open TV founder Aymar Jean Christian, who is also a producer for the festival!",Link,,,05/09/2016 12:38:40 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,10.0,,,,,,,,OTV
357045034501999_486198978253270,https://www.facebook.com/weareotv/posts/486198978253270,Check out this newly released trailer for the Chicago film festival where #Futurewomen took home the award for best cinematography -- documentary!,Link,,,05/05/2016 02:55:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,FW
357045034501999_486140788259089,https://www.facebook.com/weareotv/posts/486140788259089,We got our whole life at the premiere of #LipstickCity at Queen! the Lipstick City After Party with Michael Serafini / Garrett David / Hosts Lucy Stoole &amp; Jojo Baby / Shea Coulee / Valentine Addams!,Photo,,,05/05/2016 10:21:44 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,LC
357045034501999_485486061657895,https://www.facebook.com/weareotv/posts/485486061657895,Head of development Aymar Jean Christian talks with Postloudness and Chakka Reeves' Highwater Mag podcast about Open TV!,Link,,,05/03/2016 09:53:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,33.0,,,,,,,,OTV
