Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_1038451283028034,https://www.facebook.com/weareotv/posts/1038451283028034,"i - LOVE // Me is a new piece by multi-disciplinary artist ALEXA GRÆ #nowstreaming on #weareotv ! 

explore ways //love// came to knowledge - seek the foundation before the fountain.",Link,,,05/31/2019 10:32:48 AM, ,301,301,0,401,401,0,11,11,17,0,0,369,272,0,0,11,0,0,0,0,0,0,0,0,0,0,2,2.0,,2,2.0,,5,7.0,,,10,7.0,,,,,None
357045034501999_1038421403031022,https://www.facebook.com/weareotv/posts/1038421403031022,Invest in intersectional spaces. Join our fam tomorrow at Reunion Chicago featuring Futurehood and Slo 'Mo. Slide thru &lt;3,Link,,,05/31/2019 09:37:05 AM, ,82,82,0,109,109,0,2,1,2,0,0,90,65,0,0,2,0,0,0,0,0,0,0,0,0,0,,1.0,,,1.0,,1,1.0,,,1,1.0,,,,,None
357045034501999_1037879339751895,https://www.facebook.com/weareotv/posts/1037879339751895,"Fck Stan is #NOWSTREAMING on weareo.tv ! 

Fck Stan is a limited series by Marrissa Coccaro. 

What happens when you try to f*ck with a f*ckboi? Follow three women as they find out their target is much more than originally thought.",Link,,,05/30/2019 03:20:51 PM, ,546,546,0,777,777,0,75,26,42,0,0,529,406,0,0,22,0,0,0,0,0,0,0,0,0,0,5,52.0,6.0,5,56.0,7.0,15,11.0,,,28,14.0,,,,,FS|FS
357045034501999_1065655903822207,https://www.facebook.com/weareotv/videos/1065655903822207/,"Fck Stan is a limited series by Marrissa Coccaro.

What happens when you try to f*ck with a f*ckboi? Follow three women as they find out their target is much more than originally thought.",Video,,,05/29/2019 05:00:23 PM, ,280,280,0,366,366,0,16,10,14,0,0,316,241,0,0,13,0,0,0,0,82,85,0,0,19924,1093011,,8.0,,,8.0,,7,,5.0,,9,,5.0,,,,FS
357045034501999_677882485958773,https://www.facebook.com/weareotv/videos/677882485958773/,Join 3 friends as they discover the importance of standing up for themselves and taking back what's theirs in this comedic web series created by Mighty Mice Media Co.,Video,,,05/29/2019 05:00:14 PM, ,229,229,0,309,309,0,9,8,11,0,0,272,199,0,0,7,0,0,0,0,71,74,0,0,7755,1093011,1,,,1,,,7,,1.0,,10,,1.0,,,,None
357045034501999_1037249636481532,https://www.facebook.com/weareotv/posts/1037249636481532,Join 3 friends as they discover the importance of standing up for themselves and taking back what's theirs in this comedic web series created by Mighty Mice Media Co.,Status,,,05/29/2019 04:45:32 PM, ,128,128,0,167,167,0,1,1,1,0,0,155,117,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,1,,,,,,None
357045034501999_1037199219819907,https://www.facebook.com/weareotv/posts/1037199219819907,"Fck Stan is a limited series by Marrissa Coccaro.

What happens when you try to f*ck with a f*ckboi? Follow three women as they find out their target is much more than originally thought.",Status,,,05/29/2019 02:25:02 PM, ,164,164,0,211,211,0,2,0,0,0,0,189,145,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1.0,,1,1.0,,,,,,,,,,,,FS
357045034501999_1037166433156519,https://www.facebook.com/weareotv/posts/1037166433156519,What happens when grandma goes bad? Trailer for #FreakyPhyllis by Arnetta Randall -Author.,Video,,,05/29/2019 12:54:52 PM, ,212,212,0,273,273,0,10,6,7,0,0,236,181,0,0,9,15,15,0,0,71,76,0,0,5966,35433,2,5.0,,2,5.0,,4,,2.0,,5,,2.0,,,,None
357045034501999_1036516029888226,https://www.facebook.com/weareotv/posts/1036516029888226,"TOMORROW 

Kickback and enjoy our this watch party with the premieres of #FreakyPhyllis by Arnetta Randall, i - LOVE//ME by ALEXA GRÆ, and Fck Stan by Marrissa Coccaro!

$Free.99 with RSVP: https://bit.ly/2W7ti5I",Link,,,05/28/2019 10:53:30 AM, ,130,130,0,166,166,0,6,4,6,0,0,151,116,0,0,6,0,0,0,0,0,0,0,0,0,0,,3.0,,,3.0,,4,,,,6,,,,,,FS
