Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_658053911067775,https://www.facebook.com/weareotv/posts/658053911067775,"Wow! Shout out to The Bravesome for repping Open TV series 3 times on this list of 6 Web Series By/Featuring Black and Brown Women and Femmes. 

Geeta's Guide To Moving On, Brown Girls, and You're So Talented are all up here! 

https://www.thebravesome.com/single-post/2017/06/28/6-Web-Series-ByFeaturing-Black-and-Brown-Women-and-Femmes",Link,,,06/30/2017 09:29:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,OTV|GGMO|BG|YST
357045034501999_657522154454284,https://www.facebook.com/weareotv/posts/657522154454284,"Triggers, a short by Kai M. Green, is now available on our site! 

Triggers is a short film that centers black women and girls’ trauma. A poetic journey through the weight of witness, the stories of Marissa Alexander and other instances of intimate partner violence that I witnessed as an adult and a child are central. I talk to my former little black girl self. This piece honors her struggle and the struggles of little black girls everywhere. What does it mean to hold the history of a little black girl in my trans-male body? Or better, how does it feel?

Triggers stars Kai M Green, Anna Martine Whitehead, Julian Kevon Glover, and Mlondi Zondi.",Link,,,06/29/2017 11:22:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,2.0,,,,,,,,,,TR|TR|TR
357045034501999_657520701121096,https://www.facebook.com/weareotv/posts/657520701121096,"ambivert. by Fempow Tarot is now available on our site! 

ambivert. is a meditation in manic visuals and ethereal sounds. Transmuting energy from chronic pain, anxiety, and lethargy into thrusting sexual freedom, joy, anger, empathy for self and communities of color.",Link,,,06/29/2017 10:19:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,3.0,,,,,,,,,,AV|AV
357045034501999_656520164554483,https://www.facebook.com/weareotv/posts/656520164554483,Starting in half an hour babes! Can't wait to kiki with y'all.,Link,,,06/27/2017 04:24:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,None
357045034501999_656518687887964,https://www.facebook.com/weareotv/posts/656518687887964,"We are so excited to be a part of Jen Richards and Laura Zak's Vimeo picks for Pride Month! 

Brown Girls and Brujos are in great company alongside some other brilliant works like Suicide Kale and Honey and the Trombones by Tayarisha Poe. Check out the rest of the list!",Link,,,06/27/2017 04:20:49 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,,,,,,,,,,,BG|B
357045034501999_656408444565655,https://www.facebook.com/weareotv/posts/656408444565655,Come say hi for our last event of the season! It's FREE.99 -- you know how we do. Bring bae and a snack. Can't wait to share season two with all of you!,Link,,,06/27/2017 12:01:20 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
357045034501999_655880251285141,https://www.facebook.com/weareotv/posts/655880251285141,"We know y'all are crawling out of your #pride spiral. 

Come recharge with us tomorrow night for a potluck n chill at Reunion Chicago and get a preview of the entire first season of Two Queens in a Kitchen!",Link,,,06/26/2017 10:48:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,TQIK
357045034501999_654532511419915,https://www.facebook.com/weareotv/posts/654532511419915,Miss our Ideas on Fire webinar Art and Community-Based Research with Aymar Jean Christian?  Catch the replay anytime,Link,,,06/23/2017 01:06:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
357045034501999_654060741467092,https://www.facebook.com/weareotv/posts/654060741467092,OTV - Open Television,Photo,,,06/22/2017 11:49:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,OTV
