Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_1057412554465240,https://www.facebook.com/weareotv/posts/1057412554465240,Check out Bambi Banks-Couleé on the COVER of RedEye! Her starring role in #KingsandQueens premieres tomorrow! #pride,Link,,,06/27/2019 02:34:49 PM, ,971,971,0,1284,1284,0,44,18,23,0,0,879,646,0,0,31,0,0,0,0,0,0,0,0,0,0,1,29.0,,4,32.0,,8,10.0,,,13,10.0,,,,,,,None
357045034501999_1057411477798681,https://www.facebook.com/weareotv/posts/1057411477798681,Kissing Walls is coming soon to OTV! Check out the trailer exclusively on Paper Magazine and behold the beautiful work Zak Payne put into season 2!,Link,,,06/27/2019 02:32:59 PM, ,961,961,0,1337,1337,0,71,41,55,0,0,912,621,0,0,60,0,0,0,0,0,0,0,0,0,0,5,38.0,,6,41.0,,25,22.0,,,31,24.0,,,,,,,None
357045034501999_1057255504480945,https://www.facebook.com/weareotv/posts/1057255504480945,"Throw some coins to  Reunion Chicago, one of the only sliding-scale venues and project incubators in Chicago prioritized for LGBTQ+ and communities of color. Reunion has been integral to OTV - Open Television's growth over the years and we can't wait to keep building with this dream manifested by our day-one staff, Eli Micky and Associate Board Member, Kristen Kaza! Any and every donation makes a difference!",Link,,,06/27/2019 08:39:10 AM, ,551,551,0,724,724,0,46,30,45,0,0,683,525,0,0,43,0,0,0,0,0,0,0,0,0,0,,23.0,,3,23.0,,17,17.0,,,27,18.0,,,,,,,None
357045034501999_1055953674611128,https://www.facebook.com/weareotv/posts/1055953674611128,"Happy 🌈pride🌈 family! This #pridemonth consider going #beyondboystown and supporting Reunion Chicago! This space has been integral to the growth of OTV. In our Reunion residency, our team members hold office hours, have screenings, host workshops, shared countless hugs, and many a well earned disco nap. 

Reunion is one of Chicago’s only sliding scale venues and project incubators prioritized for and run by LGBTQ+ folk and communities of color. It’s managed by our girl, Head of Marketing, Eli Micky and OTV fam and board member Kristen Kaza (happy birthday!!!) Supporting Reunion is supporting OTV and our community.

Donate to their gofundme and learn more about the ways you can support: https://www.gofundme.com/reunionchi

Photos by Paul Octavious for the Family Faces of Reunion series",Photo,,,06/25/2019 12:55:40 PM, ,483,483,0,617,617,0,54,31,58,1,1,582,459,0,0,53,0,0,0,0,0,0,0,0,0,0,,29.0,1.0,,29.0,2.0,25,,20.0,,38,,20.0,,1,,1,,None
357045034501999_1053257138214115,https://www.facebook.com/weareotv/posts/1053257138214115,"The Kings and Queens Pilot online release is in one week, the same day as Chicago Is A Drag Fest w Raja, Tiffany Pollard, TS Madison &amp;more !

In the pilot by Rachel Relman , drag performers and best friends Polly Glamory (Bambi Banks-Couleé ) and Stevie Stars (Amber Thomas) ditch their boring college graduation to compete in the last round of a drag competition. Their relationships with each other and everyone around them are tested as they try to become the best performers in the most competitive drag scene in the country.

Look out for the release on weareo.tv",SharedVideo,,,06/21/2019 06:09:09 PM, ,182,182,0,262,262,0,8,8,10,0,0,226,158,0,0,8,0,0,0,0,42,44,0,0,0,49150,,1.0,,,1.0,,8,1.0,,,9,1.0,,,,,,,"KQ
"
357045034501999_1053256008214228,https://www.facebook.com/weareotv/posts/1053256008214228,"Kings and Queens is an independent comedy pilot created, written and directed by Chicago comedian Rachel Relman. Drag performers Polly Glamory and Stevie Stars ditch their boring college graduation to make it to the last round of a drag competition on time so they can compete for the title of the best Drag Queen and King in Boystown. With performances from some of Chicago's real top drag performers, Kings and Queens is a story about what it means to be a young queer artist in one of the most competitive drag markets in the world.

Pilot written and directed by Rachel Relman.",Video,,,06/21/2019 06:06:29 PM, ,500,500,0,710,710,0,51,34,46,0,0,291,182,0,0,26,12,12,0,0,182,220,0,0,7143,49150,2,24.0,,2,29.0,,30,2.0,,7.0,37,2.0,,7.0,,,,,"KQ
|KQ
"
357045034501999_1052284421644720,https://www.facebook.com/weareotv/posts/1052284421644720,"We are thrilled to finally announce that thanks to the Pop Culture Collaborative (c/o Rockefeller Philanthropy Advisors) we are funding artists to write new, longer form TV/film projects for the very first time! 

We selected four artists who have projects on OTV and are at an inflection point in their careers to develop their short projects into more ambitious stories! Stephanie Jeter, our head of production, is running the program with Britt Julious, who is our first artist manager.

Thank you Northwestern for helping us make this announcement!",Link,,,06/20/2019 08:21:00 AM, ,1253,1253,0,1873,1873,0,353,166,272,1,1,1415,898,0,0,203,0,0,0,0,0,0,0,0,0,0,17,280.0,24.0,17,324.0,28.0,116,70.0,,,200,72.0,,,,1.0,,1.0,None
357045034501999_1050949801778182,https://www.facebook.com/weareotv/posts/1050949801778182,"“It was a cold night in January and Kyra and I were gonna go to the club but it was like, minus 20 windchill so, instead, we sat on the couch and started swiping through Bumble. We just kind of noticed that all of the men on these dating apps were either underselling themselves or were actively offensive.” 

The story of The Right Swipe in These Days!",Link,,,06/18/2019 11:32:42 AM, ,580,580,0,769,769,0,31,21,28,0,0,731,551,0,0,28,0,0,0,0,0,0,0,0,0,0,2,19.0,,2,19.0,,14,9.0,,,19,9.0,,,,,,,TRS
357045034501999_1050936428446186,https://www.facebook.com/weareotv/posts/1050936428446186,Damaged Goods is queer AF!,Link,,,06/18/2019 11:00:19 AM, ,367,367,0,496,496,0,18,7,8,1,1,364,268,0,0,15,0,0,0,0,0,0,0,0,0,0,2,11.0,,2,11.0,,4,3.0,,,5,3.0,,,,1.0,,1.0,DG
