Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_408714669335035,https://www.facebook.com/weareotv/posts/408714669335035,"Rashayla Marie Brown made a meme to commemorate the campaign for her next anti-reality series, &quot;Reality Is Not Good Enough&quot; and we LOVE it! 
Support the project at the link below: only 4 more days! 

#blackart #RashaylaMarieBrown #meme #conceptualart",Link,,,07/30/2015 01:24:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_408010792738756,https://www.facebook.com/weareotv/posts/408010792738756,The Queers Left Behind: How LGBT Assimilation Is Hurting Our Community's Most Vulnerable,Link,,,07/30/2015 12:34:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_408269146046254,https://www.facebook.com/weareotv/posts/408269146046254,"#OpenTVPresents &quot;#NUPITAOBAMA CREATES VOGUA&quot;
INDULGE IN ALL HER MAGNIFICENT GLORY 
WATCH &amp; SHARE @ THE LINK BELOW:",Link,,,07/29/2015 10:02:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,12.0,1.0,,,,,None
357045034501999_408010672738768,https://www.facebook.com/weareotv/posts/408010672738768,"Hijo Pródigo released a sultry little something, something. 
Enjoy: https://soundcloud.com/hijoprodigomusic/perrero-saudade-mix",Link,,,07/29/2015 08:33:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,1.0,,,,,None
357045034501999_408242889382213,https://www.facebook.com/weareotv/posts/408242889382213,"#NUPITAOBAMA premieres @ NOON 
WATCH &amp; SHARE @ www.weareopen.tv",Link,,,07/29/2015 07:38:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,1.0,,,,,,None
357045034501999_408242602715575,https://www.facebook.com/weareotv/posts/408242602715575,"#NUPITAOBAMA premieres @ NOON 
WATCH &amp; SHARE @ www.weareopen.tv",Link,,,07/29/2015 07:36:49 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,1.0,,,,,,None
357045034501999_408242469382255,https://www.facebook.com/weareotv/posts/408242469382255,"#NUPITAOBAMA premieres @ NOON 
WATCH &amp; SHARE @ www.weareopen.tv",Link,,,07/29/2015 07:35:32 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_408241366049032,https://www.facebook.com/weareotv/posts/408241366049032,While you were sleeping Mister Wallace leaked their single &quot;WHOREMOAN&quot; that is featured in #NUPITAOBAMA premiering online today at NOON.,Link,,,07/29/2015 07:25:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_408078296065339,https://www.facebook.com/weareotv/posts/408078296065339,"A special thanks to everyone that came out to the final screening of &quot;#NUPITAOBAMA CREATES VOGUA&quot; in Pilsen on Sunday! T'was a magical evening indeed; the perfect close to a series of shady events. 
Take a peek at the festivities you missed and tune in for the ONLINE  premiere TOMORROW at NOON on www.weareopen.tv",Link,,,07/28/2015 01:35:53 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,1.0,3.0,,,,,None
