Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)","Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",
357045034501999_430424900497345,https://www.facebook.com/weareotv/posts/430424900497345,"#SOUTHERNFORPUSSY is now LIVE on #OpenTV! 

Over a long weekend, a mother and daughter discuss thinning vaginal walls and humiliate a handsome stranger. Starring, written and directed by the ever-amazing Zackary Drucker.  

#weareopentv #indie #chicago #openTVPresents",Link,,,10/29/2015 07:49:50 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,None
357045034501999_430250163848152,https://www.facebook.com/weareotv/posts/430250163848152,"Due to a overwhelming response to this evening's premiere of #SouthernForPussy at Trans Tech Social Enterprises are asking that you RSVP at the link below. 

Space is limited. Only a few slots left. See you at 7pm! 
 http://www.weareopen.tv/open-tv-presents/southern-for-pussy
#weareopentv #opentvpresents #pilots",Link,,,10/28/2015 07:25:14 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,None
357045034501999_430081240531711,https://www.facebook.com/weareotv/posts/430081240531711,** flips hair / rolls eyes **,Link,,,10/27/2015 08:04:15 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,None
357045034501999_429898033883365,https://www.facebook.com/weareotv/posts/429898033883365,#FLOTUS explains the power of arts programming in educational settings!,SharedVideo,,,10/26/2015 09:33:25 AM, ,1005,232,0,1070,300,0,9,7,12,0,0,124,61,0,0,5,0,0,0,0,20,22,0,0,0,148615,2,2,,,7,12,None
357045034501999_429891780550657,https://www.facebook.com/weareotv/posts/429891780550657,"An event you wont want to miss! Produced by the ever-amazing Rashayla Marie Brown of School of the Art Institute of Chicago! 

The Women of AFRICOBRA panel brings together two founding members of one of Chicago's most famous arts movements, Jae Jarrell and Carolyn Lawrence, in conversation with curator Arlene Turner-Crawford.",Link,,,10/26/2015 08:53:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,None
357045034501999_429433670596468,https://www.facebook.com/weareotv/posts/429433670596468,"The second season of You're So Talented is on its way! If you missed the debut of the trailer yesterday at the Chicago International Film Festival, here's your tease of what's in store for Bea, her family and friends. #yst #youresotalented #opentvoriginals #weareopentv",Link,,,10/24/2015 07:25:25 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,7.0,,,,YST
357045034501999_429086397297862,https://www.facebook.com/weareotv/posts/429086397297862,"Peep our dear friend Kiam serving as one of the many talented **featured artists** apart of Chicago Artists Month! 
And make sure to catch Kiam in #NUPITAOBAMA Creates Vouga -- #OpenTV's first pilot!",Link,,,10/22/2015 10:38:37 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,None
357045034501999_428901093983059,https://www.facebook.com/weareotv/posts/428901093983059,"Our friends are the coolest. Come out and support The Good Night Ladies! 

And there just may be a certain little ditty released by a certain little web series called You're So Talented but you didn't hear it from us!",Link,,,10/21/2015 10:17:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,YST
357045034501999_428874620652373,https://www.facebook.com/weareotv/posts/428874620652373,"Curious about the #design of OPEN TV - beta? 

Elijah McKinnon, Open TV's Head of Marketing and Design shares the strategy behind our beta-website, their inspiration for our color scheme and more in the latest#opentvcommunity #viewpoints 

#weareopentv #designer #chicago",Link,,,10/21/2015 08:01:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,1.0,1.0,,,OTV
