Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_915982151941615,https://www.facebook.com/weareotv/posts/915982151941615,"This is a six-week writing workshop for Chicago-based creators!

To join, writers can sign up at the official Script to Silverscreen Initiative page at www.scripttosilverscreen.com",Link,,,10/31/2018 09:20:53 PM, ,443,443,0,680,680,0,31,27,59,0,0,336,181,0,0,26,0,0,0,0,0,0,0,0,0,0,2,3.0,,2,3.0,,9,22.0,,,22,37.0,,,,,,,None
357045034501999_915777858628711,https://www.facebook.com/weareotv/posts/915777858628711,Check this out if you're writing for genre!,Link,,,10/31/2018 11:12:57 AM, ,261,261,0,329,329,0,18,13,18,0,0,310,246,0,0,16,0,0,0,0,0,0,0,0,0,0,,6.0,,,6.0,,12,1.0,,,17,1.0,,,,,,,None
357045034501999_915377652002065,https://www.facebook.com/weareotv/posts/915377652002065,Thank you ReelChicago.com! #theTTV,Link,,,10/30/2018 05:20:09 PM, ,347,347,0,397,397,0,43,17,22,0,0,204,179,0,0,35,0,0,0,0,0,0,0,0,0,0,2,28.0,,2,29.0,,7,11.0,,,8,14.0,,,,,,,None
357045034501999_915250188681478,https://www.facebook.com/weareotv/posts/915250188681478,"Join Coriama for #QueertheAir LIVE! On November 7 guests will include drag queen extraordinaire Lucy Stoole &amp; queen of black/inclusive burlesque Jeez Loueez! 

You can watch the pilot concept for Queer the Air on OTV: https://vimeo.com/244731429",Link,,,10/30/2018 10:36:15 AM, ,269,269,0,389,389,0,21,14,20,2,2,198,139,0,0,11,0,0,0,0,0,0,0,0,0,0,2,9.0,,2,11.0,,10,6.0,,,14,6.0,,,2,,2,,QTA
357045034501999_913230148883482,https://www.facebook.com/weareotv/posts/913230148883482,Did you know the T - Web Series represents the SECOND YEAR IN A ROW an OTV-distributed series won Best Indie Series at the Streamy Awards? #FBF to #BrownGirlsTV director/producer Sam Bailey accepting the award last year!,Link,,,10/26/2018 10:12:09 AM, ,485,485,0,641,641,0,62,19,24,0,0,603,456,0,0,59,0,0,0,0,0,0,0,0,0,0,,53.0,1.0,,53.0,1.0,16,4.0,,,20,4.0,,,,,,,TT
357045034501999_913223885550775,https://www.facebook.com/weareotv/posts/913223885550775,"Last weekend in Santa Monica OTV founder Aymar Jean Christian accepted the award for Best Indie Series for &quot;the T&quot; on behalf of creator/writer/director/producer/stars Bea Cordelia and Daniel Kyri! After thanking Full Spectrum Features, Periscope Post &amp; Audio, Department of Cultural Affairs and Special Events, Voqal and Chicago Filmmakers, he read an excerpt of this speech Bea and Daniel prepared:

&quot;We, the creators, are a trans woman and queer Black man from opposite sides of Chicago. We both grew up without any sense of who we were, or who we could grow up to be. Such alienation from your actual self leaves a lasting, destructive impact. It took many years for either of us to even recognize the harm we internalized from measuring ourselves up to the only, impossible images that were accessible to us. Only more recently have we begun to see the validity in ourselves as we come, and it is a gift we wish to share as much as possible.

We once heard a gay activist use the term 'reverse diaspora' to describe the LGBTQ community. 'We are born scattered, then find each other,' he said. Often queer folks need to seek out chosen family and build homes and community that can hold space for every part of us in the ways the larger world will not. This is the shape of our show: our characters separately struggle to stand in their own full truths, but they increasingly find family amongst each other, and those bonds hopefully allow them to grow stronger, make wiser decisions, and live more authentically.

It is this reverse diaspora that led the two of us to work together although the logics of the most segregated city in the country intended to keep us apart. We created #theTTV in this spirit of unlikely family, in the hopes we inspire others to do so themselves, and to stand in their own full truths.&quot;

PS - Aymar's dope sweater inspired by Vogue editor and black queer icon André Leon Talley c/o Reformed School - Chicago! #buylocal #weareotv",Link,,,10/26/2018 09:54:04 AM, ,1967,1967,0,3308,3308,0,239,125,186,0,0,953,492,0,0,99,0,0,0,0,0,0,0,0,0,0,11,177.0,10.0,11,202.0,10.0,101,33.0,,,147,39.0,,,,,,,None
357045034501999_911874829019014,https://www.facebook.com/weareotv/posts/911874829019014,"the T - Web Series creators Daniel Kyri &amp; Bea Cordelia are fresh off their Streamy Awards win for Best Indie Series and would like you to celebrate by watching the show! After a week of terrible transphobia and queerphobia, enjoy a lovingly crafted story about trans/queer folks trying to live their best lives.",Link,,,10/23/2018 06:10:06 PM, ,203,203,0,259,259,0,16,7,8,0,0,81,73,0,0,12,0,0,0,0,0,0,0,0,0,0,1,8.0,,1,9.0,,4,3.0,,,5,3.0,,,,,,,TT
357045034501999_911429485730215,https://www.facebook.com/weareotv/posts/911429485730215,Announced on tonight’s telecast during a commercial break: Indie Series winner @thetwebseries! #streamys #theTTV #weareotv,Video,,,10/22/2018 09:36:38 PM, ,2175,2175,0,3364,3364,0,214,155,223,2,2,858,612,0,0,55,135,138,0,0,630,699,0,0,0,26468,7,104.0,4.0,7,117.0,6.0,149,,35.0,,187,,36.0,,1,1.0,1,1.0,None
357045034501999_910387562501074,https://www.facebook.com/weareotv/posts/910387562501074,Congratulations @thetwebseries creators @beacordelia &amp; @danielkyri on your #streamys win!  @ The Broad Stage,Photo,,,10/20/2018 08:56:05 PM, ,267,267,0,345,345,0,16,8,9,0,0,317,246,0,0,16,0,0,0,0,0,0,0,0,0,0,,9.0,,,9.0,,4,,,4.0,4,,,5.0,,,,,None
