Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_561957310677436,https://www.facebook.com/weareotv/posts/561957310677436,"#OpenTVRewind - Bronx Cunt Tour 

Episode 3

Journey with NIC to Atlanta on the second stop of the Bronx Cunt Tour.",Link,,,11/30/2016 10:03:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,BCT|BCT
357045034501999_561923220680845,https://www.facebook.com/weareotv/posts/561923220680845,"#OpenTVRewind - Bronx Cunt Tour 

Dig into NIC's process in #Viewpoints by NIC Kay. 

&quot;lil BLK and the process of rehearsing and developing the piece has been an act of resistance. I have and continue to face opposition from folks who don't want to see BLACK people flying/transcending subjected positions.&quot;",Link,,,11/30/2016 08:03:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,BCT
357045034501999_561609610712206,https://www.facebook.com/weareotv/posts/561609610712206,"#OpenTVRewind - Bronx Cunt Tour

Episode 2

Watch and learn about NIC Kay​ 's journey to their current artistic  practice and where they get their inspiration. Also, see clips from their Lil Blk performances.",Link,,,11/29/2016 03:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,1.0,,,,,,,,BCT
357045034501999_561607897379044,https://www.facebook.com/weareotv/posts/561607897379044,"Struggling through the work day? Download this mix by Jared Brown and get free. 

#OPENTVREWIND - Bronx Cunt Tour",Link,,,11/29/2016 01:36:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,BCT
357045034501999_561184324088068,https://www.facebook.com/weareotv/posts/561184324088068,"#OpenTVRewind - Bronx Cunt Tour

Come along with us on the Bronx Cunt Tour with NIC Kay as they take their debut solo performance, lil BLK, to Atlanta, Toronto, Berlin, and Amsterdam.",Link,,,11/28/2016 01:49:14 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,,,,,,,,BCT|BCT
357045034501999_561090364097464,https://www.facebook.com/weareotv/posts/561090364097464,"#OpenTVRewind - Bronx Cunt Tour 

Have you been lucky enough to see NIC Kay  work ? If not, you'll thank me later. 

NIC Kay is a performance artist whose work involves sculpture, video, sound, installation, collage and printmaking. Obsessed with the act and process of moving, the change of place, position, and the clarity/ meaning gleaned from said activity, NIC’s current transdisciplinary projects explore movement as a place of reclamation of the body, history and identity. Get to know this beautiful and brilliant artist this week during our #BCT feature.",Link,,,11/28/2016 08:26:05 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,1.0,,,,,,,,BCT
357045034501999_560827334123767,https://www.facebook.com/weareotv/posts/560827334123767:0,Bronx Cunt Tour Premiere,Photo,,,11/27/2016 07:37:33 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,BCT
357045034501999_559228050950362,https://www.facebook.com/weareotv/posts/559228050950362:0,"You diggin this #OpenTVRewind thang we're doing? 

Sign up at weareopen.tv/program to never miss a beat.",Photo,,,11/25/2016 10:15:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
357045034501999_559227200950447,https://www.facebook.com/weareotv/posts/559227200950447:0,"There are a lot of folks behind the magic that is #2QIK. Did you know that the show features artwork from over 6 Chicago-Based visual artists? 

Look closely to see work from:
Cqqchifruit
Latham Zearfoss
Latham Zearfoss
Dav Yendler​
Rusty Cook
Zac Hall",Photo,,,11/25/2016 08:45:09 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,9,1.0,,,,,,,,None
