"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Content Tags","Custom Labels","Is Broadcast","Universal Video ID","Lifetime Post Total Impressions","Lifetime Post Total Reach","Lifetime Total Video Views","Lifetime Unique Video Views","Lifetime Total 30-Second Views","Lifetime Unique 30-Second Views","Lifetime Total watches at 95%","Lifetime Unique watches at 95%","Lifetime Total 60-Second Video Views","Lifetime Unique 60-Second Video Views","Lifetime Auto-Played Video Views","Lifetime Clicked-to-Play Video Views","Lifetime Auto-Played 30-Second Views","Lifetime Clicked-to-Play 30-Second Views","Lifetime Auto-Played watches at 95%","Lifetime Clicked-to-Play watches at 95%","Lifetime Post Paid Impressions","Lifetime Post Organic Impressions","Lifetime Paid Video Views","Lifetime Organic Video Views","Lifetime Paid 30-Second Views","Lifetime Organic 30-Second Views","Lifetime Paid watches at 95%","Lifetime Organic watches at 95%","Lifetime Percentage of views at each interval (video post) - 0","Lifetime Percentage of views at each interval (video post) - 1","Lifetime Percentage of views at each interval (video post) - 2","Lifetime Percentage of views at each interval (video post) - 3","Lifetime Percentage of views at each interval (video post) - 4","Lifetime Percentage of views at each interval (video post) - 5","Lifetime Percentage of views at each interval (video post) - 6","Lifetime Percentage of views at each interval (video post) - 7","Lifetime Percentage of views at each interval (video post) - 8","Lifetime Percentage of views at each interval (video post) - 9","Lifetime Percentage of views at each interval (video post) - 10","Lifetime Percentage of views at each interval (video post) - 11","Lifetime Percentage of views at each interval (video post) - 12","Lifetime Percentage of views at each interval (video post) - 13","Lifetime Percentage of views at each interval (video post) - 14","Lifetime Percentage of views at each interval (video post) - 15","Lifetime Percentage of views at each interval (video post) - 16","Lifetime Percentage of views at each interval (video post) - 17","Lifetime Percentage of views at each interval (video post) - 18","Lifetime Percentage of views at each interval (video post) - 19","Lifetime Percentage of views at each interval (video post) - 20","Lifetime Percentage of views at each interval (video post) - 21","Lifetime Percentage of views at each interval (video post) - 22","Lifetime Percentage of views at each interval (video post) - 23","Lifetime Percentage of views at each interval (video post) - 24","Lifetime Percentage of views at each interval (video post) - 25","Lifetime Percentage of views at each interval (video post) - 26","Lifetime Percentage of views at each interval (video post) - 27","Lifetime Percentage of views at each interval (video post) - 28","Lifetime Percentage of views at each interval (video post) - 29","Lifetime Percentage of views at each interval (video post) - 30","Lifetime Percentage of views at each interval (video post) - 31","Lifetime Percentage of views at each interval (video post) - 32","Lifetime Percentage of views at each interval (video post) - 33","Lifetime Percentage of views at each interval (video post) - 34","Lifetime Percentage of views at each interval (video post) - 35","Lifetime Percentage of views at each interval (video post) - 36","Lifetime Percentage of views at each interval (video post) - 37","Lifetime Percentage of views at each interval (video post) - 38","Lifetime Percentage of views at each interval (video post) - 39","Lifetime Percentage of views at each interval (video post) - 40","Lifetime Post Consumptions by type - clicks to play","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post consumers by type - clicks to play","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share"
,,,,,,,,,,,,"Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: Total number of times your video was viewed for more than 3 seconds. (Total Count)","Lifetime: Number of unique people who viewed your video for more than 3 seconds. (Unique Users)","Lifetime: Total number of times your video was viewed for 30 seconds or viewed to the end, whichever came first. (Total Count)","Lifetime: Number of unique people who viewed your video for 30 seconds or to the end, whichever came first. (Unique Users)","Lifetime: The number of times your video was watched at 95% of its length , including watches that skipped to this point. (Total Count)","Lifetime: The number of unique people who watched your video at 95% of its length, including people that skipped to this point. (Unique Users)","Lifetime: The number of people who viewed your video for at least 60 seconds, given that the video is at least 60 seconds long. (Total Count)","Lifetime: The number of unique people who viewed your video for at least 60 seconds, given that the video is at least 60 seconds long. (Unique Users)","Lifetime: Number of times your video started automatically playing and people viewed it for more than 3 seconds. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it more than 3 seconds. (Total Count)","Lifetime: Number of times your video started automatically playing and people viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times people clicked to play your video and viewed it for 30 seconds or to the end, whichever came first. (Total Count)","Lifetime: Number of times your video started automatically playing and people watched it at 95% of its length, including watches that skipped to this point. (Total Count)","Lifetime: Number of times people clicked to play your video and watched it at 95% of its length, including watches that skipped to this point. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, after a paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for 30 seconds or viewed to the end, whichever came first, without a paid promotion. (Total Count)","Lifetime: The number of times your video was watched at 95% of its length after paid promotion, including watches that skipped to this point. (Total Count)","Lifetime: The number of times your video was watched at 95% of its length without any paid promotion, including watches that skipped to this point. (Total Count)","Lifetime: Views of your video at each interval as a percentage of all views. This metric doesn't count views of videos while they were live. Retention graphs may show more viewers later in the video than at the beginning. People might start the video in the middle, skip ahead, save and rewatch it from that point, or other similar behaviors. (Total Count)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,
357045034501999_622647601275073,https://www.facebook.com/weareotv/posts/622647601275073,"Miss  Open TV Presents: 195 Lewis Chicago Preview ft. Nappy Nina &amp; YCA? Check out this livestream of Emon Lauren Black of Young Chicago Authors performing!",SharedVideo,,,"04/12/2017 10:17:18 AM"," "," ",,0,,108,64,29,26,0,0,0,0,0,0,29,0,0,0,0,0,0,108,0,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,1,,,1,
357045034501999_628385204034646,https://www.facebook.com/weareotv/posts/628385204034646,"OTV - Open Television",SharedVideo,,,"04/24/2017 02:10:53 PM"," "," ",,0,,306,186,65,60,0,0,0,0,0,0,65,0,0,0,0,0,0,306,0,65,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,1,4,,,1,,,1,
357045034501999_618381061701727,https://www.facebook.com/weareotv/posts/618381061701727,"Check out Another Life from our friends at The Triibe! #HealChicago",SharedVideo,,,"04/04/2017 11:32:06 AM"," "," ",,0,,245,136,42,38,0,0,0,0,0,0,41,1,0,0,0,0,0,245,0,42,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,4,,,4,,,3,
357045034501999_622301091309724,https://www.facebook.com/weareotv/videos/622301091309724/,"Bay Area rapper Nappy Nina",Video,,,"04/11/2017 04:43:39 PM"," "," ",,1,,520,341,22,22,3,3,0,0,0,0,20,2,3,0,0,0,0,520,0,22,0,3,0,0,1,0.2308,0.1538,0.1538,0.1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,6,,3,,4,,,,,,,
357045034501999_622304557976044,https://www.facebook.com/weareotv/videos/622304557976044/,"Kaycee Ortiz",Video,,,"04/11/2017 04:51:57 PM"," "," ",,1,,634,406,36,33,10,10,0,0,0,0,33,3,8,2,0,0,0,634,0,36,0,10,0,0,1,0.2609,0.1739,0.1304,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,4,,5,,4,,,1,,,1,
357045034501999_622289117977588,https://www.facebook.com/weareotv/videos/622289117977588/,"Ciera Mckissick of amfm doing the community introduction!",Video,,,"04/11/2017 04:26:00 PM"," "," ",,1,,667,423,23,15,7,6,3,3,0,0,16,7,4,3,2,1,0,667,0,23,0,7,0,3,1,0.5,0.35,0.35,0.3,0.3,0.25,0.25,0.2,0.2,0.2,0.2,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.1,12,,2,7,8,,2,3,1,2,,1,2,
357045034501999_622297614643405,https://www.facebook.com/weareotv/videos/622297614643405/,"Louder  Than a Bomb poet Aisha June",Video,,,"04/11/2017 04:35:47 PM"," "," ",,1,,606,387,33,30,6,6,1,1,0,0,28,5,5,1,0,1,0,606,0,33,0,6,0,1,1,0.7931,0.4138,0.3793,0.2414,0.2069,0.2069,0.1724,0.1724,0.1379,0.1034,0.1034,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.069,0.1034,0.069,0.069,0.069,0.0345,0.0345,0.0345,0.0345,0,11,,3,,6,,3,,,1,,,1,
357045034501999_622323544640812,https://www.facebook.com/weareotv/videos/622323544640812/,,Video,,,"04/11/2017 05:52:25 PM"," "," ",,1,,529,366,40,33,6,3,2,1,0,0,33,7,2,4,0,2,0,529,0,40,0,6,0,2,1,0.2083,0.125,0.0833,0.125,0.125,0.0833,0.0833,0.125,0.0417,0.0833,0.0833,0.0417,0.0833,0.0833,0.0833,0.0417,0.0417,0.125,0.0833,0.125,0.0833,0.0417,0.0833,0.0417,0.0417,0.0417,0.0417,0.0417,0.0833,0.0833,0.0833,0.0417,0.0417,0.0417,0.0833,0.0417,0.0417,0.0833,0.0417,0,11,,2,8,3,,2,1,,,,,,
357045034501999_627960567410443,https://www.facebook.com/weareotv/videos/627960567410443/,,Video,,,"04/23/2017 02:30:01 PM"," "," ",,1,,1373,928,80,57,22,8,3,1,0,0,64,16,9,13,0,3,0,1373,0,80,0,22,0,3,1,0.075,0.05,0.05,0.05,0.05,0.025,0.025,0.05,0.025,0.025,0.025,0.025,0.025,0.025,0.05,0.025,0.025,0.025,0.05,0.025,0.025,0.025,0.025,0.05,0.025,0.025,0.025,0.025,0.025,0.075,0.025,0.025,0.025,0.025,0.075,0.05,0.025,0.075,0.05,0,16,,6,13,4,,6,1,1,4,,1,4,
