"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
964,0,4719,41,0,0,/videos/164959147,"Open TV Presents: Lipstick City by Shea Couleé",556,2016-05-02T05:50:23+00:00,Array,0,59,305,294732,496283,0
868,0,1780,23,1,0,/videos/143933380,"Open TV Presents: Southern for Pussy",283,2015-10-28T22:38:55+00:00,Array,0,58,129,112412,192541,0
365,2,998,151,1,0,/videos/172604203,"Brujos (2017) -- Teaser Scenes",202,2016-06-28T16:29:17+00:00,Array,0,78,152,55592,70644,0
284,0,1122,108,0,0,/videos/147648438,"Full Out -- Season One Trailer",105,2015-12-02T21:48:19+00:00,Array,0,73,72,20462,27660,0
239,0,787,23,0,0,/videos/152854976,"Full Out -- Episode 1",903,2016-01-24T03:25:13+00:00,Array,0,60,513,122628,203215,0
180,0,585,59,1,0,/videos/177457277,"Two Queens in a Kitchen - Official Trailer",83,2016-08-03T19:32:34+00:00,Array,0,74,60,10846,14615,0
168,0,1509,19,0,0,/videos/154795991,"Full Out -- Episode 2",1349,2016-02-09T23:59:39+00:00,Array,0,71,954,160369,225283,0
166,0,1515,20,0,0,/videos/156421353,"Full Out -- Episode 3",688,2016-02-23T15:24:23+00:00,Array,0,77,511,84899,109492,0
143,0,709,51,0,0,/videos/175566185,"The Basic Tea on Brujos",282,2016-07-20T15:44:38+00:00,Array,0,68,182,26166,38352,0
122,0,460,10,0,0,/videos/158069617,"Full Out -- Episode 4",566,2016-03-07T19:39:45+00:00,Array,0,75,422,51577,68606,0
107,0,296,15,0,0,/videos/160115755,"Full Out -- Episode 5",1202,2016-03-23T16:14:37+00:00,Array,0,75,864,92462,122705,0
97,0,249,24,0,0,/videos/121810540,"You're So Talented, Chapter One",341,2015-03-10T18:04:57+00:00,Array,0,71,230,22315,31032,0
72,0,141,15,0,0,/videos/179722291,"#2QIK: Elijah McKinnon & AJ Christian (Part One)",473,2016-08-22T07:38:34+00:00,Array,0,54,239,17212,31691,0
60,0,467,15,0,0,/videos/179704860,"#2QIK: Cqqchifruit & Darling Shear (Part One)",276,2016-08-22T03:02:25+00:00,Array,0,68,177,10674,15611,0
58,0,121,14,0,0,/videos/179804458,"#2QIK: Roy Kinsey & MSMRJR (Part One)",736,2016-08-22T19:48:20+00:00,Array,0,61,438,25414,41216,0
57,0,104,12,0,0,/videos/179706662,"#2QIK: Sam Bailey  &  Kiam Marcelo Junio (Part One)",258,2016-08-22T03:30:27+00:00,Array,0,65,173,9862,15021,0
56,0,210,4,0,0,/videos/164162980,"Bronx Cunt Tour -- Episode 5",1086,2016-04-25T21:07:23+00:00,Array,0,53,569,31874,59730,0
55,0,79,4,0,0,/videos/175640352,"Been T/Here -- Suddenly, It All Changed",813,2016-07-21T02:12:10+00:00,Array,0,53,290,15967,30118,0
54,0,194,3,0,0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521,2016-02-04T16:44:07+00:00,Array,0,59,280,15143,25529,0
52,0,77,10,0,0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459,2015-03-24T18:39:13+00:00,Array,0,73,337,17525,23917,0
48,0,70,5,0,0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397,2015-04-07T22:23:45+00:00,Array,0,76,267,12836,16674,0
37,0,71,5,0,0,/videos/162385131,"You're So Talented, Season Two - Chapter Six",568,2016-04-11T15:02:31+00:00,Array,0,77,395,14646,18844,0
36,0,54,5,0,0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295,2015-04-13T17:46:12+00:00,Array,0,74,226,8162,10915,0
35,0,57,2,0,0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477,2015-06-03T14:13:37+00:00,Array,0,84,368,12898,15264,0
34,0,81,2,0,0,/videos/174737229,"Been T/Here -- Lessons Learned",735,2016-07-14T22:01:40+00:00,Array,0,46,253,8602,18475,0
34,0,52,2,0,0,/videos/157297665,"You're So Talented, Season Two - Chapter Three",555,2016-03-01T15:34:39+00:00,Array,0,61,310,10552,17235,0
33,0,50,3,0,0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266,2015-05-19T23:04:13+00:00,Array,0,80,208,6866,8512,0
32,0,59,2,0,0,/videos/159158733,"You're So Talented, Season Two - Chapter Four",546,2016-03-16T02:57:07+00:00,Array,0,74,354,11348,15288,0
31,0,45,6,0,0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668,2016-02-18T14:25:09+00:00,Array,0,75,518,16086,21406,0
31,0,58,3,0,0,/videos/160747140,"You're So Talented, Season Two - Chapter Five",520,2016-03-29T14:20:48+00:00,Array,0,71,322,9988,14040,0
29,0,46,5,0,0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292,2015-05-05T15:32:57+00:00,Array,0,81,228,6633,8176,0
25,0,221,10,0,0,/videos/143466703,"You're So Talented: Season 2 Official Trailer",119,2015-10-24T13:58:49+00:00,Array,0,65,84,2113,3213,0
25,0,59,7,0,0,/videos/162141163,"Bronx Cunt Tour -- Episode 1",500,2016-04-08T23:44:29+00:00,Array,0,59,285,7130,12000,0
23,0,56,1,0,0,/videos/178429087,"Been T/Here: In the Knowing of Me",780,2016-08-11T05:46:14+00:00,Array,0,44,272,6276,14140,0
21,0,55,3,0,0,/videos/162147393,"Bronx Cunt Tour -- Episode 2",609,2016-04-09T01:28:13+00:00,Array,0,58,371,7801,13398,0
17,0,30,3,0,0,/videos/176492543,"Been T/Here -- Practicing Love",896,2016-07-27T17:44:21+00:00,Array,0,35,284,4844,13540,0
14,0,60,3,0,0,/videos/179705167,"#2QIK: Cqqchifruit & Darling Shear (Part Two)",309,2016-08-22T03:07:25+00:00,Array,0,72,214,3006,4130,0
14,0,19,1,0,0,/videos/174734258,"Been T/Here -- Riot Grrrl Heart",721,2016-07-14T21:40:54+00:00,Array,0,39,224,3137,8031,0
13,1,33,1,0,0,/videos/140615202,"Futurewomen, The Characters -- Episode 2",915,2015-09-28T02:11:20+00:00,Array,0,31,290,3776,11907,0
12,0,37,1,0,0,/videos/146666127,"Open TV Presents: Let Go and Let God",1376,2015-11-23T17:13:07+00:00,Array,0,36,501,6014,16512,0
11,1,30,1,0,0,/videos/163350705,"Bronx Cunt Tour -- Episode 4",893,2016-04-19T03:12:52+00:00,Array,0,47,427,4703,9834,0
11,0,33,2,0,0,/videos/177571136,"Been T/Here: Art is Essential",943,2016-08-04T15:36:07+00:00,Array,0,57,396,4366,7651,0
11,0,59,4,0,0,/videos/179706932,"#2QIK: Sam Bailey  &  Kiam Marcelo Junio (Part Two)",667,2016-08-22T03:33:51+00:00,Array,0,55,402,4424,8004,0
11,0,78,3,0,0,/videos/179804836,"#2QIK: Roy Kinsey & MSMRJR (Part Two)",667,2016-08-22T19:51:20+00:00,Array,0,52,351,3871,7341,0
11,1,34,1,0,0,/videos/136670475,"Futurewomen, The Origins -- Episode 1",805,2015-08-18T23:17:14+00:00,Array,0,11,86,949,8050,0
