Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,
357045034501999_475040039369164,https://www.facebook.com/weareotv/posts/475040039369164,"Chapter 5 of You're So Talented is LIVE! 

Tune in as Bea and Rob deal with residual romantic feelings. 

#weareopentv #opentvoriginals #yst #youresotalented",Link,,,03/31/2016 08:17:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,,YST
357045034501999_474566379416530,https://www.facebook.com/weareotv/posts/474566379416530,"Today we're premiering a new programming vertical, #OpenTVCommunity! We've been publishing interviews and essays in the Community section of weareopen.tv but today we'll start releasing videos documenting Chicago's cultural life. First up: a video recap of Honey Pot Performance's first fundraiser /Shift/ benefitting the production of Ma(s)king Her, whose development Open TV documented in #Futurewomen!",Link,,,03/30/2016 08:42:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9.0,2.0,SH|OTV|FW
357045034501999_470614783145023,https://www.facebook.com/weareotv/posts/470614783145023,"HOW WAS MAKING FULL OUT DIFFERENT FROM YOUR EARLIER SERIES?

&quot;Similarly, I had to believe in Kaitlin’s skills as a choreographer completely. I had seen her work and enjoyed her style, so I was hopeful. But if Kaitlin had fallen short in directing the dance, I wouldn’t have been able to step in and compensate. My trust in her had to be complete, and I was not let down. In the middle of the shoot, when we shot the dance-off scene for Episode 2, Kaitlin and I worked closely, making sure that the dancing and interactions on the dance floor reflected very particular emotional trials of the characters, and that process was exhilarating.&quot; 

King is a Fink Productions talk #FullOutSeries in the #OpenTVCommunity 
http://www.weareopen.tv/open-tv-community//spotlight-on-king-is-a-fink-productions",Link,,,03/23/2016 12:08:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9.0,1.0,FO
357045034501999_470668889806279,https://www.facebook.com/weareotv/posts/470668889806279,The #SeasonFinale of #FullOutSeries is now LIVE!  #OpenTVOriginals #weareopentv www.weareopen.tv/fulloutseries,Link,,,03/23/2016 10:42:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,,None
357045034501999_470134159859752,https://www.facebook.com/weareotv/posts/470134159859752,"Less than 24 hours till the season one finale of #FullOutSeries! 

Get ready for tomorrow by catching up on episodes 1-4 on OPEN TV - beta at http://ow.ly/ZJ2Ag

#weareopentv #opentvcommunity #opentvoriginals",SharedVideo,,,03/22/2016 09:52:41 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,51431,,2.0,1.0,OTV
357045034501999_468511710021997,https://www.facebook.com/weareotv/posts/468511710021997:0,"Did you catch Shea Couleé in the latest chapter of You're So Talented? #OpenTVCommunity #OpenTVOriginals #weareopentv
Watch here: https://vimeo.com/159158733",Photo,,,03/21/2016 12:29:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.0,1.0,YST
357045034501999_468515433354958,https://www.facebook.com/weareotv/posts/468515433354958,TOMORROW!,Link,,,03/18/2016 03:43:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.0,,None
357045034501999_467058263500675,https://www.facebook.com/weareotv/posts/467058263500675,"Have you checked out the March #OpenTVProgram?  
We have tons of goodies in store for you this month! 
http://www.weareopen.tv/program",Link,,,03/18/2016 12:16:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,None
357045034501999_468389003367601,https://www.facebook.com/weareotv/posts/468389003367601,"You're So Talented's binge-worthiness approved by Consequence of Sound! &quot;The creators of the show capture that awkwardness so well, that awkwardness of growing up and not knowing who you are in ways that are different from #Girls or other shows set in NYC or LA. I love that this is set in Chicago. It gives it such a unique feel, and it's beautifully shot too.&quot;",Link,,,03/18/2016 06:29:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.0,,None
357045034501999_468035773402924,https://www.facebook.com/weareotv/posts/468035773402924,"Chapter 4 of You're So Talented Season 2 is LIVE! While at the cafe, Bea runs into Renee who is looking to start a poetry night there.",Link,,,03/17/2016 08:58:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.0,,YST|RN
357045034501999_467052023501299,https://www.facebook.com/weareotv/posts/467052023501299,"Watch Episodes 1-4 of #FullOutSeries exclusively at 

Season One Finale Next Week (3/23) 

#OpenTVCommunity #weareopentv #OpenTVOriginals",Link,,,03/16/2016 12:51:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,,None
357045034501999_467050960168072,https://www.facebook.com/weareotv/posts/467050960168072,"#OpenTVPresents: Reclaiming Your Sexy℠

Reclaiming Your Sexy℠ is a half day workshop created by Woman Untamed with Rashida Khanbey. This workshop designed to help women find their power and joy after trauma. 

Our bodies holds trauma in it's muscle memory and if it's not properly released the memory of that trauma can rise up impeding us from living a full and vibrant life.

RSVP for free below: #opentvcommunity #letgoandletgod",Link,,,03/15/2016 01:43:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,,None
357045034501999_467047780168390,https://www.facebook.com/weareotv/posts/467047780168390,Paging Mister Wallace &lt;3,Photo,,,03/14/2016 12:19:25 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.0,,None
357045034501999_467035063502995,https://www.facebook.com/weareotv/posts/467035063502995,"Get to know LaNisa Frederick, who plays Bea's sister in #YoureSoTalented!",Link,,,03/14/2016 11:21:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.0,1.0,None
357045034501999_465377320335436,https://www.facebook.com/weareotv/posts/465377320335436,"Episode Four of #FullOutSeries is now LIVE!

Stop what you're doing and watch the story unfold exclusively at www.weareopen.tv/fulloutseries #OpenTVOriginals 
King is a Fink Productions",Link,,,03/09/2016 08:13:06 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,None
357045034501999_464811830391985,https://www.facebook.com/weareotv/posts/464811830391985,"Support our sistah's this Wednesday (3/9)! 
#PrEP4Love #carefreeblackgirls",Link,,,03/07/2016 11:56:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.0,,P4L
357045034501999_464781590395009,https://www.facebook.com/weareotv/posts/464781590395009,"Get to know Aaron Todd Douglas, co-star of the latest episode of #YoureSoTalented, season two, chapter three!",Link,,,03/07/2016 09:19:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15.0,,None
357045034501999_463539277185907,https://www.facebook.com/weareotv/posts/463539277185907,Episode 4 for #FullOutSeries goes LIVE on 3/9. Binge watch the first three episodes exclusively on #weareopentv!,Link,,,03/05/2016 09:14:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.0,,None
357045034501999_463535803852921,https://www.facebook.com/weareotv/posts/463535803852921,The next #OpenTVProgram goes live next week! Are you on the list! Get with the program! Sign up for the #OpenTVProgram --  it's the best way to keep up with us as we move and shake about town. #newsletter  #opentvcommunity,Link,,,03/04/2016 08:15:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.0,,None
357045034501999_463527527187082,https://www.facebook.com/weareotv/posts/463527527187082,"Chapter Three of You're So Talented is LIVE!

Tune in as Bea and her dad, played by Aaron Todd Douglas, take a stroll through #LoganSquare. 

#OpenTVOriginals #weareopentv #YST #youresotalented",Link,,,03/03/2016 07:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16.0,,YST
