Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_1265931520280008,https://www.facebook.com/weareotv/posts/1265931520280008:0,"Throw your hands in a circle for Miles Blakely, aka Emy Bop, Open Television’s first visual designer. Over the next few months, Miles will work directly with Eli Micky &amp; the Open Television tribe to bring our multimedia campaigns to life! Miles will support our Activation Officer as we upgrade OTV's creative vision with a dash of the bizarre and a sprinkle of divinity. 

Emy was born in Hotlanta, and moved to Chicago to explore his identity and craft. His multimedia art practice includes: animation, short film, digital art, and painting. He has been fortunate to work with brands like Under Armor and Balenciaga as a content creator &amp; video coordinator. Emy uses digital materials to craft new worlds with imagery that challenges the sensory to experience the world in alternative ways. 

Please send love and doves to OTV's newest addition!",Photo,,,03/23/2020 02:38:03 PM, ,218,218,0,237,237,0,19,7,10,0,0,199,186,0,0,18,0,0,0,0,0,0,0,0,0,0,14,1.0,,16,1.0,,5,3.0,,7,3.0,,None
357045034501999_1263370067202820,https://www.facebook.com/weareotv/posts/1263370067202820,SYMBIOTIC EXPLORES TWO DISABLED WOMEN AS THEY TRY TO NAVIGATE THEIR ADULT LIVES AFTER IMPULSIVELY MOVING IN TOGETHER.,Video,,,03/20/2020 04:06:00 PM, ,78,78,0,86,86,0,4,3,3,0,0,75,69,0,0,2,2,2,0,0,21,22,0,0,25793,506794,1,,,1,,,1,,2.0,1,,2.0,SYM
357045034501999_1263673540505806,https://www.facebook.com/weareotv/posts/1263673540505806,"Blessing your feed with #OTVPlayback's grand finale! OTV restreams Fck Stan, The Right Swipe, FOBia Series, Kings and Queens, Symbiotic, Just Call Me Ripley, and Renee. The party begins Friday at 6 pm CST.",Status,,,03/20/2020 04:00:19 PM, ,489,489,0,551,551,0,17,12,12,0,0,101,81,0,0,9,2,11,0,0,43,0,0,0,0,0,4,2.0,3.0,7,5.0,3.0,12,,,12,,,"FS|TRS|FOB|KQ
|SYM|JCMR|RN"
357045034501999_1263370057202821,https://www.facebook.com/weareotv/posts/1263370057202821,A DARK COMEDY ABOUT AN ELDER MILLENNIAL WOMAN SERVING AS CARETAKER FOR HER AILING AND ABUSIVE PARENTS AT THE EXPENSE OF LIVING HER OWN LIFE.,Video,,,03/20/2020 04:00:00 PM, ,82,82,0,86,86,0,12,11,11,0,0,76,73,0,0,5,3,3,0,0,27,28,0,0,31976,566058,1,,,1,,,3,,8.0,3,,8.0,None
357045034501999_1263370300536130,https://www.facebook.com/weareotv/posts/1263370300536130,DRAG PERMFORS AND BEST FRIENDS POLLY GLAMORY AND STEVIE STARS DITCH THEIR BORING COLLEGE GRADUATION TO COMPLETE THE LAST ROUND OF A DRAG COMPETITION. THEIR RELATIONSIP WITH EACH OTHER AND EVERYONE AROUND THEM ARE TESTED AS THEY TRY TO BECOME THE BEST PERFORMERS IN THE MOST COMPETITIVE DRAG SCENE IN THE COUNTRY.,Video,,,03/20/2020 04:00:00 PM, ,76,76,0,93,93,0,16,16,16,0,0,80,65,0,0,1,3,3,0,0,19,20,0,0,44484,1074090,,,,,,,,,16.0,,,16.0,None
357045034501999_1263370083869485,https://www.facebook.com/weareotv/posts/1263370083869485,AN INDIAN IMMIGRANT WOMAN ADAPTS TO LIFE IN AMERICA WITH HER AMERICAN ROOMMATE AND INDIAN NEIGHBOR WHILE DEALING WITH CULTURAL MISUNDERSTANDINGS AND GENERAL MAYHEM IN FOBIA.,Video,,,03/20/2020 04:00:00 PM, ,75,75,0,94,94,0,16,15,15,0,0,77,65,0,0,6,2,2,0,0,24,29,0,0,68409,1615168,1,,,1,,,3,,12.0,3,,12.0,FOB
357045034501999_1263370087202818,https://www.facebook.com/weareotv/posts/1263370087202818,"JUST CALL ME RIPLEY IS A COMING OUT STORY WHERE NOBODY CRIES! THIS COMEDIC WEB SERIES CENTERS ON RIPLEY WHO’S GROUP OF DIVERSE, QUEER, WACKY FRIENDS WILL SUPPORT HER NO MATTER WHAT SHE DECIDES ABOUT HER SEXUALITY - BUT THAT DOESN’T ALWAYS MAKE THINGS EASIER... (OK MAYBE THERE’S A LITTLE CRYING).",Video,,,03/20/2020 04:00:00 PM, ,70,70,0,77,77,0,7,7,7,0,0,69,63,0,0,4,3,3,0,0,16,16,0,0,27585,365183,,,,,,,3,,4.0,3,,4.0,JCMR
357045034501999_1263370073869486,https://www.facebook.com/weareotv/posts/1263370073869486,"WHEN BEST FRIENDS INDIA AND MARGO START A BUSINESS FIXING MEN'S DATING APP PROFILES, HOW MUCH WILL THEY F*CK THEIR OWN LOVE LIVES UP ON THE PROCESS?&quot; THE RIGHT SWIPE IS A ROMANTIC COMEDY WEB SERIES EXPLORING THE CHALLENGES OF DATING AT VARIOUS INTERSECTIONS OF MARGINALIZED IDENTITY.",Video,,,03/20/2020 04:00:00 PM, ,469,469,0,485,485,0,37,27,31,0,0,126,114,0,0,9,3,3,0,0,163,174,0,0,19290,896512,12,1.0,1.0,12,1.0,1.0,18,,11.0,20,,11.0,TRS
357045034501999_1263023840570776,https://www.facebook.com/weareotv/posts/1263023840570776,"Blessing your feed with #OTVPlayback's grand finale!  OTV restreams Fck Stan, The Right Swipe, FOBia Series, Kings and Queens, Symbiotic, Just Call Me Ripley, and Renee. The party begins Friday at  6 pm CST.",Status,,,03/19/2020 08:15:08 PM, ,243,243,0,273,273,0,5,0,0,0,0,107,86,0,0,2,0,0,0,0,0,0,0,0,0,0,3,,2.0,5,,2.0,,,,,,,"OTV|FS|TRS|FOB|KQ
|SYM|JCMR|RN"
