Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,
357045034501999_630007633872403,https://www.facebook.com/weareotv/posts/630007633872403,"So happy to partner with #PrEP4Love to curate an Open TV lounge with some of our BLACKEST content for this gorgeous event. Come thru to celebrate spring and #blackboyjoy in your fiercest all white lqqk. 

If y'all love brunch as much as us, we have a hosted boujee brunch moment from 2-3:30 RSVP with this link: https://prep4loveblacktea.eventbrite.com",Photo,,,04/28/2017 05:32:59 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,P4L|OTV
357045034501999_629540617252438,https://www.facebook.com/weareotv/posts/629540617252438,"Ok best workshop title we've heard in a while. Dive deeper into Reality is Not Good Enough in this workshop led by Rashayla Marie Brown. 

&quot;In this workshop, emerging filmmaker Rashayla Marie Brown (RMB) is busting open her editing process with the community at High Concept Labs. RMB will ask everyone to get turnt with her, enjoying her favorite music and films, drinking her favorite wines, and reviewing the process of her film in progress, Reality Is Not Good Enough. 

We will call some of the characters and crew in Atlanta on Skype, make story and mood boards of characters’ motivations, and take advantage of the bomb space HCL has to offer. RMB will eventually create a social platform for the project via Instagram and Twitter, where those who can’t attend the workshops can also participate in online chats about the story line. 

By allowing non-artists and fellow artists alike to comment on tropes of reality television shows, especially those featuring a mostly African-American female cast, we will collectively inspire a shift in the way we see Black families in moving images. All are welcome to participate regardless of their background, artistic level, or age. However, we will get turnt and stay woke.
&quot;

#RINGE",Link,,,04/27/2017 02:13:48 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,16,,,,,,,,,RNGE|GE|RNGE|GE|SH
357045034501999_629480880591745,https://www.facebook.com/weareotv/posts/629480880591745,"Thank you Chicago Tribune for this write up on Brujos! 

&quot;Creator Ricardo Gamboa (who also co-stars) calls the series a &quot;dark comedy and supernatural thriller that draws on telenovela forms but also shows like 'Charmed' and horror films of the '80s.&quot; Shot on the South Side (primarily Little Village), the first four episodes are available online. According to Gamboa, eight more episodes will be shot this summer and released in the fall, rounding out a 12-episode season.&quot;

#BrujosTV",Link,,,04/27/2017 10:17:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,24,10.0,,,,,,,,B
357045034501999_629199597286540,https://www.facebook.com/weareotv/posts/629199597286540,#OpenTVPresents: Inertia by Brandon Markell Holmes is AFROPUNK-endorsed!,Link,,,04/26/2017 04:26:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,1.0,,,,,,,IN
357045034501999_628385204034646,https://www.facebook.com/weareotv/posts/628385204034646,OTV - Open Television,SharedVideo,,,04/24/2017 02:10:53 PM, ,186,151,0,306,252,0,5,5,5,0,0,247,147,0,0,4,0,0,0,0,60,65,0,0,0,58233,1,,,1,,,4,1.0,,4,1.0,,OTV
357045034501999_628343130705520,https://www.facebook.com/weareotv/posts/628343130705520,Mark your calendars! Open TV - beta will be in the house helping #SpeadTingle and #TransmitLove w/ the #PrEP4Love family on May 6 from 2-6pm!,Link,,,04/24/2017 11:22:03 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,,1.0,,,,,,,OTV|P4L
357045034501999_628311410708692,https://www.facebook.com/weareotv/posts/628311410708692,"Thank you to everyone that came out yesterday for Open TV Presents: Reality is Not Good Enough w/ Jennifer Reeder, the film is now available to view right here and on our site!

http://www.weareopen.tv/open-tv-presents//reality-is-not-good-enough

In Reality Is Not Good Enough by Rashayla Marie Brown, an emerging filmmaker tries to make a film subverting racial and gender stereotypes about reality television using her family as a subject. Instead, she ends up questioning her relationships, the stability of her mother to withstand the project, and the challenges of independent filmmaking in general.",Link,,,04/24/2017 09:28:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,,,,,,,,RNGE|GE|RNGE|GE
357045034501999_627960567410443,https://www.facebook.com/weareotv/videos/627960567410443/,,Video,,,04/23/2017 02:30:01 PM, ,928,841,0,1373,1247,0,14,9,35,0,0,468,287,0,0,9,1,3,0,0,57,80,0,0,0,2290560,4,1.0,,4,,1.0,6,,4.0,6,,16.0,
357045034501999_627894750750358,https://www.facebook.com/weareotv/posts/627894750750358,Doors open at 3 and the screening begins at 3:30 -- see you soon!,Link,,,04/23/2017 10:53:33 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,None
