Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
357045034501999_1018934711646358,https://www.facebook.com/weareotv/posts/1018934711646358,OTV - Open Television updated their phone number.,Link,,,04/30/2019 06:49:35 PM, ,150,150,0,175,175,0,0,0,0,0,0,129,113,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,OTV
357045034501999_1018273905045772,https://www.facebook.com/weareotv/posts/1018273905045772:0,"OTV Presents: Renee, Good Enough &amp; Kings and Queens",Photo,,,04/29/2019 02:29:18 PM, ,329,329,0,469,469,0,27,24,53,0,0,413,291,0,0,23,0,0,0,0,0,0,0,0,0,0,4,,,6,,,13,16.0,,,21,32.0,,,,,,,"RN|GE|KQ
"
357045034501999_1015508565322306,https://www.facebook.com/weareotv/posts/1015508565322306,🔥🔥🔥,Link,,,04/24/2019 08:50:57 PM, ,604,604,0,784,784,0,34,21,23,2,2,716,551,0,0,31,0,0,0,0,0,0,0,0,0,0,15,,,15,,,3,,19.0,,4,,19.0,,1,1.0,1,1.0,None
357045034501999_1015338848672611,https://www.facebook.com/weareotv/posts/1015338848672611:0,OTV presents: Low Strung and Border'd,Photo,,,04/24/2019 01:04:11 PM, ,283,283,0,365,365,0,37,32,62,0,0,352,272,0,0,27,0,0,0,0,0,0,0,0,0,0,8,,,26,,,12,30.0,,,25,37.0,,,,,,,LS|BOR
357045034501999_1014672062072623,https://www.facebook.com/weareotv/posts/1014672062072623,"RSVP for our final premiere at the Chicago Cultural Center before we move the remaining #OTVwednesdays to Reunion Chicago May-June 2019! 

#weareotv",Link,,,04/23/2019 08:43:13 AM, ,227,227,0,292,292,0,9,7,8,0,0,257,202,0,0,9,0,0,0,0,0,0,0,0,0,0,4,,,4,,,7,,1.0,,7,,1.0,,,,,,None
357045034501999_1014289478777548,https://www.facebook.com/weareotv/posts/1014289478777548,"Thank you ReelChicago.com for giving some shine to Border'd: A Web Series! 

“This show is incredibly personal for all of us as we explore imperative themes within the Latinx community,” said Adrian Nuño, co-creator and producer of Border’d. “Whether it's sexuality, immigration, or the difficulties associated with satisfying two cultures simultaneously, we want to tackle it all.”",Link,,,04/22/2019 05:30:48 PM, ,860,860,0,1397,1397,0,50,32,43,0,0,906,485,0,0,30,0,0,0,0,0,0,0,0,0,0,30,4.0,1.0,38,4.0,1.0,22,,12.0,,30,,13.0,,,,,,BOR
357045034501999_1012340702305759,https://www.facebook.com/weareotv/posts/1012340702305759,OTV - Open Television,SharedVideo,,,04/19/2019 09:21:13 AM, ,169,169,0,222,222,0,5,3,3,0,0,188,147,0,0,5,0,0,0,0,34,36,0,0,0,11347,2,,,2,,,1,,2.0,,1,,2.0,,,,,,OTV
357045034501999_1011932032346626,https://www.facebook.com/weareotv/posts/1011932032346626,OTV - Open Television,Link,,,04/18/2019 05:23:48 PM, ,303,303,0,383,383,0,18,8,11,0,0,349,280,0,0,15,0,0,0,0,0,0,0,0,0,0,12,,,12,,,7,,3.0,,7,,4.0,,,,,,OTV
357045034501999_1011273442412485,https://www.facebook.com/weareotv/posts/1011273442412485,Surprise !!!! Melissa DuPrey- Performer,Photo,,,04/17/2019 12:15:57 PM, ,117,117,0,174,174,0,10,8,12,0,0,135,95,0,0,8,0,0,0,0,0,0,0,0,0,0,5,,,5,,,8,1.0,,,11,1.0,,,,,,,None
