Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
357045034501999_802799589926539,https://www.facebook.com/weareotv/posts/802799589926539,"Congratulations Fawz Mirza!!

Check out her series &quot;You Should Know This By Now&quot; on #weareotv: https://vimeo.com/channels/1362984

#AsianPacificAmericanHeritageMonth",Photo,,,05/31/2018 08:09:16 PM, ,119,119,0,132,132,0,27,21,31,0,0,118,108,0,0,25,0,0,0,0,0,0,0,0,0,0,10,,,11,,,20,1.0,,,30,1.0,,,,,,,,,None
357045034501999_802227426650422,https://www.facebook.com/weareotv/posts/802227426650422,"Set across Chicago, 'the T' follows Jo and Carter, a young trans woman and queer Black man, as they learn how to be best friends in the wake of their romantic relationship and Jo's transition.

Join us for the world premiere of this revolutionary web series on June 18th at the Chicago Cultural Center. Doors open at 6:00pm and the screening will begin at 7:00pm. Following the screening will be a moderated discussion with co-creators and stars Bea Cordelia Sullivan-Knoff and Daniel Kyri Madison.",Link,,,05/30/2018 01:25:58 PM, ,588,588,0,773,773,0,53,37,47,0,0,728,555,0,0,50,0,0,0,0,0,0,0,0,0,0,25,,,25,,,37,,,,47,,,,,,,,,,TT
357045034501999_801644133375418,https://www.facebook.com/weareotv/videos/801644133375418/,"Miss us? On June 8th we will premiering an array of brilliant new works at Rebuild Foundation. One of the pieces is &quot;Darling Shear&quot;, a docu-series by Diana Quinones Rivera that follows choreographer Darling Shear and her group of dancers: AaLiyah ChrisTina, Alix Schillaci, Andy Slavin, Rashida KhanBey-Miller, and Tila Von Twirl, as they explore their personal understandings of identity, expression, movement, and collaboration.

RSVP and find more information here: Open Television Premieres: New Black TV",Video,,,05/29/2018 03:00:01 PM, ,1828,1828,0,2540,2540,0,169,139,217,0,0,483,335,0,0,44,92,107,0,0,743,904,0,0,0,48128,70,8.0,5.0,94,9.0,6.0,116,,57.0,,156,,60.0,,,,,,,,DS
357045034501999_800528756820289,https://www.facebook.com/weareotv/posts/800528756820289,"Congrats to Stephanie Jeter, our head of production, on your recognition by the American Black Film Festival!",Photo,,,05/27/2018 03:09:23 AM, ,122,122,0,145,145,0,9,2,3,0,0,133,112,0,0,6,0,0,0,0,0,0,0,0,0,0,7,,,8,,,2,,,,3,,,,,,,,,,None
357045034501999_799715503568281,https://www.facebook.com/weareotv/posts/799715503568281,"OTV - Open Television's Head of Marketing, Eli Micky is dabbling more and more with LIVE TV. Check out Untitled Intimacy, an interactive performance piece debuting next week at the Queer Biennial 2018: What if Utopia in LA and make sure to keep your eyes peeled for more LIVE content from OTV coming your way very soon.",Link,,,05/25/2018 01:28:40 PM, ,86,86,0,94,94,0,10,4,4,0,0,80,75,0,0,5,0,0,0,0,0,0,0,0,0,0,6,,,6,,,4,,,,4,,,,,,,,,,None
357045034501999_799645060241992,https://www.facebook.com/weareotv/videos/799645060241992/,"The Middle East isn't a continent y'all. C'mon. 

Your Friday pearl of wisdom brought to you by Muslim Iranian-American comedian, Zahra Noorbakhsh. 

#AsianPacificAmericanHeritageMonth #femalefilmmakerfriday

In honor of Asian Pacific American Heritage Month, a series of Public Service Announcements (PSAs) from artists within our communities. Inspired by ‘The More You Know’ campaign, the current administration and Asians who think this is stuff you should know by now. Watch the others right here: https://vimeo.com/channels/1362984

Directed by Reena Dutt
Produced by Archana M Jain &amp; Fawzia Mirza
Written by Fawzia Mirza 
Additional Writing by Reena Dutt &amp; some awesome improv by the cast!
Director of Photography Lisa Tom
Edited by Ryan Logan
Location Sound Daniel Trujillo
Graphics Jake Myers
Original Theme Song @Timo Chen 
PAs Sreejith Nair &amp; Mayuri Bhandari
Special Thanks: Mimi, Michelle, Roshan, Nabeela",Video,,,05/25/2018 10:10:01 AM, ,196,196,0,257,257,0,20,17,18,0,0,205,158,0,0,7,7,7,0,0,53,54,0,0,0,43689,5,,1.0,5,,1.0,5,,12.0,,6,,12.0,,,,,,,,None
357045034501999_799233386949826,https://www.facebook.com/weareotv/posts/799233386949826,"Congratulations to #theTTV! There's still time left to join #TeamT and support bringing this project to its fullest potential: http://kck.st/2HYqZaW

the T - Web Series premieres next month!",SharedVideo,,,05/24/2018 12:31:30 PM, ,60,60,0,72,72,0,8,6,6,0,0,56,48,0,0,7,0,0,0,0,0,0,0,0,0,3400,4,,,4,,,6,,,,6,,,,,,,,,,TT
357045034501999_798741330332365,https://www.facebook.com/weareotv/videos/798741330332365/,"Our #wcw goes out to Arnetta Randall, the creator of Hook-Ups, a new comedic web series that explores modern dating practices among black people from many backgrounds, gender expressions, and sexual orientations. 

See Hook-Ups June 8th at Open Television Premieres: New Black TV at Dorchester Art + Housing Collaborative | Rebuild Foundation.",Video,,,05/23/2018 11:00:57 AM, ,2745,2745,0,3957,3957,0,150,127,175,0,0,307,222,0,0,16,67,68,0,0,498,566,0,0,0,49854,30,13.0,2.0,36,13.0,3.0,73,,70.0,,97,,77.0,,,,,,,,HU|HU
357045034501999_798323570374141,https://www.facebook.com/weareotv/posts/798323570374141,"THREE DAYS LEFT to support #theTTV 's brilliance:

Former lovers/best friends Jo &amp; Carter, a trans woman &amp; queer Black man, search for love, sex, &amp; kinship in their native Chicago.

Support: http://kck.st/2HYqZaW",SharedVideo,,,05/22/2018 03:01:00 PM, ,140,140,0,154,154,0,17,14,23,0,0,140,129,0,0,17,0,0,0,0,41,45,0,0,0,47800,4,,,4,,,12,5.0,,,17,6.0,,,,,,,,,None
