Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,
357045034501999_399769890229513,https://www.facebook.com/weareotv/posts/399769890229513,"Are you interested in creating a little something, something with  #OpenTV? We have a bunch of amazing projects in development and would love to add your dreams and such to the slate. 

Follow the link below to explore how to get involved with #OpenTVPresents: 
http://www.weareopen.tv/open-tv-presents/2015/2/5/work-in-progress",Link,,,06/30/2015 01:21:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,,None
357045034501999_399041153635720,https://www.facebook.com/weareotv/posts/399041153635720:0,"Cheers to all of our PRIDEFUL friends out there! This is a moment to lift up and celebrate. Let's lead everyone towards the light. 

&quot;It is so ordered.&quot; 

#chicagopride #LoveWins #SCOTUS",Photo,,,06/27/2015 10:54:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_397931093746726,https://www.facebook.com/weareotv/posts/397931093746726,"Look who made it on to this real cute list of &quot;Modern Day Club Kids&quot; ... we see you Lucy Stoole! 

http://www.buzzfeed.com/markstrehlow/15-modern-day-club-kids-1nah8
#chicago #nightlife #community",Link,,,06/26/2015 01:29:07 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_397930293746806,https://www.facebook.com/weareotv/posts/397930293746806,"You better werq on over to the Annoyance Theatre &amp; Bar this Sunday for a real fruity takeover by our friends over at Do312 / Do312 Rainbow! 

You're welcome! 

https://www.facebook.com/events/1629594847284381/",Link,,,06/25/2015 02:23:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,None
357045034501999_397929727080196,https://www.facebook.com/weareotv/posts/397929727080196,"There are really cute things happening this Wednesday at Fabitat. Do yourself a favor and get your life alongside some of the best. CC:  Swaguerrilla, DJ Adam E, LDY PRBLMS, Curlene Ribbon, Joan Waters, Fox E. Kim, Lucy Stoole and more! 

https://www.facebook.com/events/1610225965914721/",Link,,,06/23/2015 02:19:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_395074524032383,https://www.facebook.com/weareotv/posts/395074524032383,"Are you ready for QUEER, ILL, &amp; OKAY, another fabulous production by Joseph Varisco &amp; Co.? 
https://www.facebook.com/weareqio",Link,,,06/22/2015 02:38:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_395073767365792,https://www.facebook.com/weareotv/posts/395073767365792,"&quot;Shea Couleé is definitely a tasty treat that melts in your mouth...&quot; Read the entire spotlight in the #OpenTVCommunity right now! 

http://www.weareopen.tv/open-tv-community//spotlight-on-shea-coulee 
#performance #chicago #interview",Link,,,06/19/2015 12:33:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,,None
357045034501999_396302850576217,https://www.facebook.com/weareotv/videos/396302850576217/,"In this TEDxNortheasternU talk our head of development, Dr. Aymar Jean Christian introduces how #OpenTV experiments with TV series development.

Covered: how TV has and continues to marginalize people of color, how web series producers intervene, and how non-profit, community-based and artist-focused development can continue to push TV to new heights of innovation. WATCH &amp; SHARE today! 
#chicago #tedx #tedtalk #tv #media",Video,,,06/19/2015 08:04:27 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,0,0,481,573,0,0,0,1039271,31,7.0,8.0,None
357045034501999_395072750699227,https://www.facebook.com/weareotv/posts/395072750699227,"&quot;The largest fixed population of homeless people in the United States are #LBGTQ youth. They make up 40 to 60 percent of all registered homeless people in the United States—and that’s just registered.&quot;

http://www.thefader.com/2015/06/09/pier-kids-elegance-bratton-interview",Link,,,06/18/2015 01:25:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
