Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_416400041899831,https://www.facebook.com/weareotv/posts/416400041899831,#BTS Rashi Bey's &quot;Let Go and Let God&quot; premiering exclusively on Open TV. #WeAreOpenTV,SharedVideo,,,08/29/2015 07:50:56 AM, ,82,53,0,137,76,0,2,0,0,0,0,113,62,0,0,1,0,0,0,0,14,14,0,0,0,66266,2,,,3,,,,,,,,,,,OTV
357045034501999_414092478797254,https://www.facebook.com/weareotv/posts/414092478797254,"A special thanks to Windy City Times for this compelling write up on the first series in our #OpenTVPresents vertical, #NUPITAOBAMA.

Learn more about the conception of &quot;Nupita Obama Creates Vogua&quot; 
starring Mister Wallace, Saya Naomi and Kiam Marcelo Junio!",Link,,,08/20/2015 01:47:45 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,8.0,,,,,,,,,,ANO
357045034501999_413721532167682,https://www.facebook.com/weareotv/posts/413721532167682,"We're extremely proud to announce the release of #FUTUREWOMEN: An Alternate Reality Series that explores the creation of black superheroines!  

This is our first reality series that stars Honey Pot Performance and was directed and executive produced by AJ Christian. Episode 2 in September. 
#weareopentv #opentvoriginals #hpp2015",Link,,,08/19/2015 07:59:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,20.0,,,,,,,,,,FW
357045034501999_412889182250917,https://www.facebook.com/weareotv/posts/412889182250917,We're juiced for Season 2 of You're So Talented's first day of shooting! Follow along: #ystseason2 http://buff.ly/1Ps1yLL #youresotalnted,Link,,,08/16/2015 06:20:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
357045034501999_412715228934979,https://www.facebook.com/weareotv/posts/412715228934979:0,"TONIGHT at &quot;Ma(s)king Her&quot; there will be an advanced screening of our first reality series #FUTUREWOMEN. 

See you at the Reva and David Logan Center for the Arts at 7pm. 
We'll be showcasing the 1st of 3 episodes AND a performance of Ma(s)king Her, the show whose development we're documenting! 

#weareopentv #afrofuturism #blackfeminism #hpp2015",Photo,,,08/15/2015 12:47:58 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,FW
357045034501999_412482422291593,https://www.facebook.com/weareotv/videos/412482422291593/,"We hope you didn't think the the gag was over. This time around catch exclusive footage of Mister Wallace, Saya Naomi and Kiam Marcelo Junio performing at #NUPITAOBAMA's series of shady events around Chicago. 
#fbf #weareopentv #opentvpresents #makeyourown #chicago",Video,,,08/14/2015 02:15:17 PM, ,828,163,0,1341,253,0,101,92,126,1,1,190,88,0,0,25,33,37,0,0,248,280,0,0,0,111986,18,3.0,1.0,24,3.0,1.0,54,52.0,,60,65.0,,1,1,ANO
357045034501999_411593509047151,https://www.facebook.com/weareotv/posts/411593509047151:0,"Saya Naomi aka &quot;The Bad Girl of Halsted&quot; shared a few secrets with us. They're pretty cute. &lt;3 &lt;3 &lt;3 
http://bit.ly/1J7B6rF",Photo,,,08/14/2015 01:15:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1.0,,,,,,,,,,None
357045034501999_412191692320666,https://www.facebook.com/weareotv/posts/412191692320666,"Our dear friend, Rashayla Marie Brown 's work made the cover of the Chicago Reader! Do yourself a favor and check it out!",Link,,,08/13/2015 07:03:45 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,1.0,,,,,,,,,None
357045034501999_411593039047198,https://www.facebook.com/weareotv/posts/411593039047198,"What does #artistic television look like? How do we plan to intervene the current state of mainstream media?
Professor AJ Christians shares a couple of #viewpoints. 
#weareopentv #chicago",Link,,,08/12/2015 12:06:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,None
