Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)","Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",
357045034501999_681755492030950,https://www.facebook.com/weareotv/posts/681755492030950:0,Geeta's Guide to Moving on &amp; Starving Artists Premiere 5/24/17,Photo,,,08/24/2017 06:53:54 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,GGMO|SA
357045034501999_681588242047675,https://www.facebook.com/weareotv/posts/681588242047675,"Congrats Daniel Kyri Madison, co-writer and star of the forthcoming #TheTTV, and Bethany Thomas - Performer, who cameo'd in #YoureSoTalented, on your Jeff Award nominations!",Link,,,08/23/2017 07:11:40 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,3.0,,,,None
357045034501999_681141695425663,https://www.facebook.com/weareotv/posts/681141695425663,"🚨🚨 MAJOR KEY ALERT 🚨🚨

Congratulations Brown Girls for your not one, but TWO Streamy Awards nominations! #BrownGirlsTV has been nominated in the Drama Series and Indie Series categories. 

The takeover is real-- get em!",Photo,,,08/22/2017 02:09:15 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,,1.0,,,BG
357045034501999_680397075500125,https://www.facebook.com/weareotv/posts/680397075500125,"Yes! Shout out to Brown Girls and our friends at 195 Lewis ! 

#browngirlstv",Link,,,08/20/2017 12:43:37 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,,,,,BG
357045034501999_679223995617433,https://www.facebook.com/weareotv/posts/679223995617433,"Congrats to the creators of #StarvingArtists, now an Official Selection at the New York Television Festival!",Status,,,08/17/2017 01:13:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,,,,None
357045034501999_678083865731446,https://www.facebook.com/weareotv/posts/678083865731446,"Our friends over at Canvas are looking for presenters to pitch their creative projects at Canvas Primer | August 2017! This is a great opportunity to engage with like-minded artists to help you get that web series or experimental video project off the ground! Plus, our beloved Eli Micky hosts this event so you know it's cute AF!",Photo,,,08/14/2017 04:28:31 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,,,,,None
357045034501999_676276385912194,https://www.facebook.com/weareotv/posts/676276385912194,Thank you The Pride L.A. for this shout out! Watch #2QIK now: weareopen.tv/2qik,Link,,,08/10/2017 08:55:26 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,,2.0,,,None
357045034501999_675631562643343,https://www.facebook.com/weareotv/posts/675631562643343,"Join us at the DuSable Museum of African American History on August 24th for a special sneak peek at our upcoming programs, including M Shelly Conner's #QuareLife and Diana Quinones Rivera's documentary starring Darling Squire! Also screening will be work by Rashida KhanBey (Open TV Presents: Let Go and Let God) and Coquie Hughes (Granny Ballers)

#opentvpresents #opentvcommunity",Link,,,08/08/2017 02:21:36 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,,,,,LGLG
357045034501999_675538149319351,https://www.facebook.com/weareotv/posts/675538149319351,"Thank you GLAAD for featuring #2QIK in the #GlaadWrap ! 

Watch the second season of Two Queens in a Kitchen now: www.weareopen.tv/open-tv-originals/2qik",,,,08/08/2017 08:47:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,TQIK
