Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
357045034501999_1097617187111443,https://www.facebook.com/weareotv/posts/1097617187111443,✨✊🏿🖤✊🏿✨,Link,,,08/30/2019 06:35:48 PM, ,1136,1136,0,1580,1580,0,132,74,85,1,1,1387,1010,0,0,128,0,0,0,0,0,0,0,0,0,0,13,74.0,,20,77.0,,13,66.0,,,19,66.0,,,1,1,None
357045034501999_1097493443790484,https://www.facebook.com/weareotv/posts/1097493443790484,"Photos from PrEP4Love presents Lucy's Black Gay Gameshow are here!! 

#PrEP4Love, Chicago-based HIV-prevention campaign and beloved community joined forces with #Doingit (an Act Against AIDS) and OTV - Open Television to bring you Lucy Stoole’s Black Gay Gameshow.

THINK: Family Feud meets the Price the Right, but very black and very gay.

Photo credit: Eddie L Jay",Photo,,,08/30/2019 01:26:32 PM, ,342,342,0,435,435,0,34,25,84,0,0,390,320,0,0,30,0,0,0,0,0,0,0,0,0,0,,12.0,,,12.0,,12,1.0,20.0,,62,1.0,21.0,,,,P4L|OTV
357045034501999_1097369237136238,https://www.facebook.com/weareotv/posts/1097369237136238,Congrats The Right Swipe on your acceptance into Urbanworld Film Festival!,Link,,,08/30/2019 09:02:42 AM, ,831,831,0,1219,1219,0,77,38,49,0,0,1153,798,0,0,73,0,0,0,0,0,0,0,0,0,0,2,47.0,,2,48.0,,26,16.0,,,33,16.0,,,,,TRS
357045034501999_1096236270582868,https://www.facebook.com/weareotv/posts/1096236270582868,"Damaged Goods co-creator Vincent Martell on what to expect for season 2! 

&quot;We want to push the subject matter a bit further; we want more queer sex and nudity, more recreational drug use, trans representation, more celebrations of black and brown bodies absent of trauma and tragedy.

&quot;We’ve been contacted by a few networks and production companies in Hollywood who are interested in seeing Damaged Goods developed into a TV series, but before we’re thrown into the world of strenuous development deals, we want to continue to make art for the sake of art. Hollywood can wait, we want to continue to create this series for our community first.&quot;",Link,,,08/28/2019 01:11:25 PM, ,609,609,0,782,782,0,26,14,18,0,0,734,583,0,0,24,0,0,0,0,0,0,0,0,0,0,,14.0,2.0,,14.0,2.0,9,6.0,,,12,6.0,,,,,DG|DG
357045034501999_1094999474039881,https://www.facebook.com/weareotv/posts/1094999474039881,"Mid-August #weareotv hosted our first mentorship intensive in partnership with the Sundance Institute and Karim Ahmad. We brought 2 seasoned filmmakers and 3 executives at studios in Hollywood to talk to and connect with 30+ Chicago-based writers and directors. Sponsored by Hannibal Buress, hosted by the Lilly and Lana Wachowskis' studio Kinowerks, Reunion Chicago and Stage 18 Chicago, we brought Hollywood to Chicago and Chicago back to Hollywood.

OTV is a wholly Black queer/trans/femme-run platform representing everyone from South Asian Americans, disabled/crip folx, women of color, immigrants, first-gen, Latinx and trans people. Intersectionality is a Black feminist framework that is far from marginal. It's EVERYTHING WE NEED!

Jenna Anast produced this two-day event with a level of intentionality that blew the minds of our guests from Hollywood. Chris Walker and Eli Micky held it together on the event production side, and Stephanie Jeter stepped up to pitch our plan for a studio arm. We had incredible interns Ahlaam Delange, Vynique Moon, Elsa Medhin, Sydnee Johnson, Lauren Milan Rausaw, Kamari Marie to hold us down. 

All the food was hyperlocal and much of it farm-to-table (CHICAGO farm to table from the #LetUsBreathe Collective). We did a screening of amazing Chicago-produced work. We operated under organically crafted brave space agreements. We gave artists pitch training, 1-on-1 and group meetings. We hosted a panel on producing in Chicago with former Illinois Film Office managing director and Kartemquin Films executive director Betsy Steinberg, Cinecares Foundation executive director Sheila R. Brown, and indie producers Karla Huffman Barry and Brian Khan. We offered exclusive sneak peeks of upcoming series #GoodGenes by Tribble Tribble and Codeswitched by Karan Sunil. WE EVEN PREMIERED A NEW TALK SHOW, Craft Service, starring Jenna and Hannibal!!

Thank you so much to our artist and industry advisors for sharing your time, expertise, and warmth: Eva Vives, Andrew Ahn, Makiah Green, Christine Davila, and Sara Rastogi. Thank you to our partners Lyft and Ace Hotel Chicago for supporting this dream. 

We can build the world we want but only in solidarity with those of us who may face greater challenges but innovate new beautiful stories and paradigms from our unique experiences. #weareotv

Photo credit: Nuccio DiNuzzo",Photo,,,08/26/2019 12:43:25 PM, ,1483,1483,0,2020,2020,0,135,115,235,1,1,978,650,0,0,91,0,0,0,0,0,0,0,0,0,0,5,51.0,1.0,5,61.0,1.0,78,,86.0,,148,,87.0,,1,1,None
357045034501999_1092952767577885,https://www.facebook.com/weareotv/posts/1092952767577885,"OTV's Eli Micky will be on this panel alongside Jennicet Eva Gutiérrez and Gavin Rayna Russom at Chicago Filmmakers this evening from 6-8pm. Free and completely open to the public. 

Presented by our friends over at A Queer Pride &lt;3",Link,,,08/23/2019 08:50:47 AM, ,184,184,0,229,229,0,32,14,21,1,1,201,162,0,0,23,0,0,0,0,0,0,0,0,0,0,,22.0,,,22.0,,10,7.0,,,14,7.0,,,1,1,None
357045034501999_1090119167861245,https://www.facebook.com/weareotv/posts/1090119167861245,"Kissing Walls creator Zak Payne, interviewed by Queerty with co-star Nathaniel Tenenbaum, tells us how how season 2 keeps it real:

“If we’re going to show these characters than we need to show their sex lives. I always go back to the romantic comedy genre and the gay best friend trope. They’re usually sexless characters. If our whole thesis is taking those characters and putting them at the forefront of the romantic comedy, then they should be having as much sex as their straight, white counterparts in the genre.”",Link,,,08/19/2019 01:00:17 PM, ,599,599,0,822,822,0,54,26,37,2,2,777,568,0,0,41,0,0,0,0,0,0,0,0,0,0,2,32.0,3.0,2,34.0,3.0,19,10.0,,,27,10.0,,,2,2,None
357045034501999_1087935834746245,https://www.facebook.com/weareotv/posts/1087935834746245,"PrEP4Love presents Lucy's Black Gay Gameshow (!!!!)
PrEP4Love presents Lucy's Black Gay Gameshow (!!!!)
PrEP4Love presents Lucy's Black Gay Gameshow (!!!!)

$FREE.99 RSVP: blackgaygameshow.prep4love.com &lt;3",,,,08/15/2019 01:03:15 PM, ,164,164,0,207,207,0,4,3,3,0,0,174,141,0,0,3,66,98,0,0,66,0,0,0,0,0,,1.0,,,1.0,,2,,1.0,,2,,1.0,,,,
357045034501999_1082652695274559,https://www.facebook.com/weareotv/posts/1082652695274559,"LISTEN UP! We're producing a big ole, black a$$ gay gameshow and everyone's invited. Join us at PrEP4Love presents Lucy's Black Gay Gameshow! Brush up on your black queer history and don’t forget to RSVP for free entry and your chance to compete for cash prizes, surprise giveaways and more. Don’t miss out on all of the shenanigans taking place on 8/20 from 8-12am at Stony Island Arts Bank.  

RSVP: blackgaygameshow.prep4love.com 
#PrEP4Love #DoingIt #WeAreOTV",Video,,,08/07/2019 02:21:40 PM, ,9009,4203,5256,11694,5808,5886,613,497,649,0,0,1632,861,749,445,103,127,128,0,0,1813,1990,1998,2072,9792,92777,17,241.0,27.0,17,291.0,33.0,445,64.0,,35.0,544,69.0,,36.0,,,P4L
