"plays","downloads","loads","finishes","start_date","end_date","likes","comments","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
444,0,1117,110,2018-09-01,2018-09-02,0,0,0,71,346,153929,254567,0
360,0,1241,53,2018-09-02,2018-09-03,1,0,0,64,273,98482,194927,0
1039,1,1897,663,2018-09-03,2018-09-04,0,0,0,88,384,398989,506954,0
385,0,1159,108,2018-09-04,2018-09-05,0,0,0,73,324,124794,202947,0
429,0,2428,91,2018-09-05,2018-09-06,0,0,0,66,284,121978,242994,0
638,0,2145,318,2018-09-06,2018-09-07,0,0,0,80,345,220680,320432,0
305,1,1233,62,2018-09-07,2018-09-08,0,0,0,62,289,88162,164771,0
323,0,1062,38,2018-09-08,2018-09-09,0,0,0,67,278,89868,163678,0
270,0,1019,62,2018-09-09,2018-09-10,0,0,0,67,305,82619,149119,0
382,0,1531,62,2018-09-10,2018-09-11,2,0,0,62,245,93628,190028,0
488,0,1452,73,2018-09-11,2018-09-12,0,0,0,68,257,125554,301761,0
336,0,1171,72,2018-09-12,2018-09-13,0,0,0,63,270,90867,178656,0
465,0,1243,82,2018-09-13,2018-09-14,0,0,0,70,308,143565,254490,0
523,0,1259,103,2018-09-14,2018-09-15,0,0,0,71,288,150968,284753,0
419,0,1165,89,2018-09-15,2018-09-16,1,0,0,72,309,129796,225264,0
646,0,1257,129,2018-09-16,2018-09-17,0,0,0,70,332,214808,371664,0
591,0,1411,115,2018-09-17,2018-09-18,0,0,0,71,278,164850,317240,0
468,0,1161,98,2018-09-18,2018-09-19,1,0,0,68,324,151838,268279,0
538,0,1351,90,2018-09-19,2018-09-20,1,0,0,71,286,153955,273795,0
417,0,1163,70,2018-09-20,2018-09-21,0,0,0,64,290,120941,232852,0
359,0,1246,80,2018-09-21,2018-09-22,0,0,0,70,304,109187,178560,0
349,0,961,60,2018-09-22,2018-09-23,0,0,0,68,280,98057,182443,0
359,0,1019,54,2018-09-23,2018-09-24,1,0,0,68,299,107608,193065,0
370,0,1251,55,2018-09-24,2018-09-25,0,0,0,67,300,111288,189005,0
397,0,1407,64,2018-09-25,2018-09-26,2,0,0,65,246,97994,191596,0
574,0,1448,89,2018-09-26,2018-09-27,0,0,0,65,275,158040,288186,0
456,0,1165,82,2018-09-27,2018-09-28,0,0,0,70,275,125751,226036,0
337,0,1125,84,2018-09-28,2018-09-29,1,1,0,74,324,109441,174646,0
379,0,1260,80,2018-09-29,2018-09-30,0,0,0,65,259,98367,192057,0
360,0,1127,98,2018-09-30,2018-10-01,0,0,0,72,316,113991,193430,0
"
",,,,,,,,,,,,,
