"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
24,0,143,8,vimeo.com,,0,58,158,3807,6726,0
14,0,534,1,khadijahwhite.com,,0,40,47,670,3311,0
3,2,48,0,unknown,,0,6,44,132,3500,0
1,0,3,1,tvisual.org,,0,100,375,375,375,0
1,0,14,1,atomculture.wordpress.com,,0,100,626,626,626,0
1,0,4,0,safe.txmblr.com,,0,15,36,36,230,0
1,0,4,0,derekleemcphatter.com,,0,97,210,210,216,0
1,0,23,0,eulamusic.com,,0,93,352,352,376,0
1,0,3,1,gawker.com,,0,100,626,626,626,0
0,0,2,0,prlog.ru,,0,0,0,0,0,0
0,0,2,0,search.daum.net,,0,0,0,0,0,0
0,0,3,0,blackgirlrevolution.tumblr.com,,0,0,0,0,0,0
0,0,20,0,alura.com.br,,0,0,0,0,0,0
"
",,,,,,,,,,,
