plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
2684,0.0,7426.0,619.0,5.0,0.0,/videos/203924325,Brown Girls -- Episode 1,410.0,2017-02-14T00:43:46+00:00,Array,0.0,66.0,233.0,626400.0,938676.0,0.0,BG
1911,0.0,5202.0,347.0,3.0,0.0,/videos/189724238,Brown Girls -- Trailer,141.0,2016-11-01T01:03:06+00:00,Array,0.0,60.0,69.0,132477.0,218633.0,0.0,BG
1652,0.0,2033.0,438.0,1.0,0.0,/videos/204010747,Brown Girls -- Episode 2,874.0,2017-02-14T14:31:09+00:00,Array,0.0,74.0,568.0,939379.0,1264343.0,0.0,BG
1342,0.0,1813.0,24.0,0.0,0.0,/videos/198624799,Open TV (beta) Trailer,179.0,2017-01-09T03:10:34+00:00,Array,0.0,25.0,35.0,48279.0,189166.0,0.0,OTV
1271,0.0,2045.0,348.0,2.0,0.0,/videos/204010519,Brown Girls -- Episode 3,636.0,2017-02-14T14:29:31+00:00,Array,0.0,80.0,455.0,579015.0,719172.0,0.0,BG
1206,0.0,1437.0,417.0,4.0,0.0,/videos/204008552,Brown Girls -- Episode 7,628.0,2017-02-14T14:15:33+00:00,Array,0.0,72.0,398.0,480223.0,658772.0,0.0,BG
1166,0.0,2144.0,272.0,2.0,0.0,/videos/204010226,Brown Girls -- Episode 4,770.0,2017-02-14T14:27:31+00:00,Array,0.0,79.0,550.0,641377.0,807977.0,0.0,BG
1015,0.0,1180.0,310.0,2.0,0.0,/videos/204009737,Brown Girls -- Episode 6,476.0,2017-02-14T14:24:17+00:00,Array,0.0,81.0,342.0,347163.0,426020.0,0.0,BG
973,0.0,1164.0,303.0,2.0,0.0,/videos/204010026,Brown Girls -- Episode 5,508.0,2017-02-14T14:26:06+00:00,Array,0.0,83.0,378.0,368113.0,439930.0,0.0,BG
871,0.0,1567.0,35.0,0.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,0.0,49.0,118.0,103565.0,207195.0,0.0,SFP
747,0.0,5075.0,76.0,0.0,0.0,/videos/206503473,BRUJOS -- Episode 1 -- Aries,492.0,2017-03-03T00:46:07+00:00,Array,0.0,57.0,248.0,185495.0,322422.0,0.0,B
483,0.0,1468.0,87.0,1.0,0.0,/videos/205065077,Afternoon Snatch -- Episode 1,489.0,2017-02-21T15:54:29+00:00,Array,0.0,65.0,260.0,125636.0,191081.0,0.0,AS
357,0.0,2843.0,50.0,0.0,0.0,/videos/206503243,BRUJOS -- Episode 2 -- Taurus,637.0,2017-03-03T00:43:42+00:00,Array,0.0,69.0,373.0,133397.0,191391.0,0.0,B
342,0.0,2787.0,39.0,0.0,0.0,/videos/206503072,BRUJOS -- Episode 3 -- Gemini,522.0,2017-03-03T00:41:50+00:00,Array,0.0,67.0,285.0,97545.0,144594.0,0.0,B
330,0.0,2759.0,43.0,1.0,0.0,/videos/206502849,BRUJOS -- Episode 4 -- Cancer,592.0,2017-03-03T00:39:37+00:00,Array,0.0,65.0,325.0,107391.0,164860.0,0.0,B
245,0.0,1367.0,24.0,1.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,0.0,55.0,407.0,99826.0,178939.0,0.0,FO
219,0.0,393.0,24.0,0.0,0.0,/videos/221615090,Open TV Presents - Triggers by Kai M. Green,765.0,2017-06-14T16:50:10+00:00,Array,0.0,43.0,325.0,71185.0,163154.0,0.0,TR
201,0.0,1488.0,13.0,2.0,0.0,/videos/164959147,Open TV Presents: Lipstick City by Shea Couleé,556.0,2016-05-02T05:50:23+00:00,Array,0.0,62.0,312.0,62904.0,101370.0,0.0,LC
172,1.0,2458.0,49.0,1.0,0.0,/videos/172604203,Brujos (2017) -- Teaser Scenes,202.0,2016-06-28T16:29:17+00:00,Array,0.0,70.0,114.0,19721.0,27802.0,0.0,B
157,0.0,228.0,38.0,0.0,0.0,/videos/205064630,Afternoon Snatch -- Episode 2,527.0,2017-02-21T15:51:55+00:00,Array,0.0,83.0,408.0,64129.0,77081.0,0.0,AS
151,0.0,335.0,91.0,0.0,0.0,/videos/206113370,"BRUJOS -- ""The Devil"" Trailer",58.0,2017-02-28T18:46:12+00:00,Array,0.0,75.0,39.0,5950.0,7888.0,0.0,B
141,0.0,254.0,35.0,1.0,0.0,/videos/205064124,Afternoon Snatch -- Episode 3,492.0,2017-02-21T15:49:17+00:00,Array,0.0,87.0,380.0,53601.0,61128.0,0.0,AS
138,0.0,232.0,34.0,1.0,0.0,/videos/121810540,"You're So Talented, Chapter One",341.0,2015-03-10T18:04:57+00:00,Array,0.0,67.0,205.0,28425.0,41944.0,0.0,YST
120,0.0,182.0,20.0,1.0,0.0,/videos/205063704,Afternoon Snatch -- Episode 4,483.0,2017-02-21T15:47:02+00:00,Array,0.0,82.0,368.0,44184.0,53238.0,0.0,AS
115,0.0,291.0,18.0,0.0,0.0,/videos/154795991,Full Out -- Episode 2,1349.0,2016-02-09T23:59:39+00:00,Array,0.0,62.0,731.0,84114.0,133551.0,0.0,FO
113,0.0,169.0,38.0,1.0,0.0,/videos/205063251,Afternoon Snatch -- Episode 5,373.0,2017-02-21T15:44:40+00:00,Array,0.0,89.0,295.0,33393.0,37300.0,0.0,AS
110,0.0,142.0,37.0,1.0,0.0,/videos/205062754,Afternoon Snatch -- Episode 6,412.0,2017-02-21T15:41:40+00:00,Array,0.0,87.0,326.0,35930.0,40883.0,0.0,AS
96,0.0,138.0,28.0,0.0,0.0,/videos/218870668,Starving Artists -- Episode 3,607.0,2017-05-24T22:58:38+00:00,Array,0.0,66.0,370.0,35568.0,53416.0,0.0,SA
85,0.0,344.0,42.0,0.0,0.0,/videos/218832972,Starving Artists -- Episode 1,230.0,2017-05-24T18:14:22+00:00,Array,0.0,81.0,185.0,15770.0,19400.0,0.0,SA
80,0.0,126.0,12.0,0.0,0.0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459.0,2015-03-24T18:39:13+00:00,Array,0.0,74.0,308.0,24711.0,33118.0,0.0,YST
