plays,downloads,loads,finishes,likes,comments,uri,name,duration,created_time,sizes,unique_loads,mean_percent,mean_seconds,sum_seconds,total_seconds,unique_viewers,Project ID
5842,0.0,15948.0,739.0,11.0,0.0,/videos/152854976,Full Out -- Episode 1,903.0,2016-01-24T03:25:13+00:00,Array,0.0,18331668.0,157881007.0,922340844978.0,5276519.0,0.0,FO
2785,0.0,5613.0,380.0,5.0,0.0,/videos/154795991,Full Out -- Episode 2,1349.0,2016-02-09T23:59:39+00:00,Array,0.0,77.0,990.0,2758717.0,3788174.0,0.0,FO
1784,0.0,8119.0,908.0,0.0,0.0,/videos/147648438,Full Out -- Season One Trailer,105.0,2015-12-02T21:48:19+00:00,Array,0.0,83.0,82.0,146957.0,187090.0,0.0,FO
1580,0.0,3274.0,58.0,1.0,0.0,/videos/143933380,Open TV Presents: Southern for Pussy,283.0,2015-10-28T22:38:55+00:00,Array,0.0,70.0,124.0,196978.0,451685.0,0.0,SFP
1226,0.0,2275.0,129.0,5.0,0.0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521.0,2016-02-04T16:44:07+00:00,Array,0.0,62.0,300.0,368013.0,634381.0,0.0,YST
1099,0.0,2300.0,190.0,3.0,0.0,/videos/156421353,Full Out -- Episode 3,688.0,2016-02-23T15:24:23+00:00,Array,0.0,76.0,518.0,569411.0,801207.0,0.0,FO
560,0.0,1097.0,55.0,1.0,0.0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668.0,2016-02-18T14:25:09+00:00,Array,0.0,63.0,387.0,216885.0,371040.0,0.0,YST
341,0.0,856.0,81.0,2.0,0.0,/videos/121810540,"You're So Talented, Chapter One",341.0,2015-03-10T18:04:57+00:00,Array,0.0,76.0,245.0,83567.0,116182.0,0.0,YST
243,0.0,447.0,40.0,1.0,0.0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459.0,2015-03-24T18:39:13+00:00,Array,0.0,80.0,330.0,80275.0,112455.0,0.0,YST
231,0.0,530.0,77.0,3.0,0.0,/videos/143466703,You're So Talented: Season 2 Official Trailer,119.0,2015-10-24T13:58:49+00:00,Array,0.0,76.0,81.0,18871.0,27394.0,0.0,YST
170,0.0,252.0,22.0,2.0,0.0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397.0,2015-04-07T22:23:45+00:00,Array,0.0,82.0,320.0,54508.0,67844.0,0.0,YST
