"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
913,0,2213,47,2,0,/videos/143933380,"Open TV Presents: Southern for Pussy",283,2015-10-28T22:38:55+00:00,Array,0,61,155,142023,250983,0
669,0,1617,58,1,0,/videos/164959147,"Open TV Presents: Lipstick City by Shea Couleé",556,2016-05-02T05:50:23+00:00,Array,0,61,316,211747,371700,0
594,1,1002,240,1,0,/videos/172604203,"Brujos (2017) -- Teaser Scenes",202,2016-06-28T16:29:17+00:00,Array,0,81,155,92288,113577,0
438,0,1963,162,1,0,/videos/147648438,"Full Out -- Season One Trailer",105,2015-12-02T21:48:19+00:00,Array,0,75,76,33415,45531,0
380,0,2609,99,3,0,/videos/121810540,"You're So Talented, Chapter One",341,2015-03-10T18:04:57+00:00,Array,0,68,217,82562,125569,0
289,0,1238,29,0,0,/videos/152854976,"Full Out -- Episode 1",903,2016-01-24T03:25:13+00:00,Array,0,67,585,169189,263975,0
190,0,535,10,1,0,/videos/154795991,"Full Out -- Episode 2",1349,2016-02-09T23:59:39+00:00,Array,0,80,1027,195319,256346,0
173,0,481,13,0,0,/videos/158069617,"Full Out -- Episode 4",566,2016-03-07T19:39:45+00:00,Array,0,79,445,77013,100240,0
171,0,536,16,0,0,/videos/156421353,"Full Out -- Episode 3",688,2016-02-23T15:24:23+00:00,Array,0,80,525,89810,116202,0
166,0,409,18,0,0,/videos/160115755,"Full Out -- Episode 5",1202,2016-03-23T16:14:37+00:00,Array,0,75,891,147960,197184,0
142,0,221,31,0,0,/videos/123121866,"You're So Talented, Season One -- Chapter Two",459,2015-03-24T18:39:13+00:00,Array,0,71,323,45914,66644,0
131,0,387,24,0,0,/videos/154200807,"You're So Talented, Season Two -- Chapter One",521,2016-02-04T16:44:07+00:00,Array,0,71,366,47974,71872,0
117,0,176,24,1,0,/videos/124357625,"You're So Talented, Season One -- Chapter Three",397,2015-04-07T22:23:45+00:00,Array,0,68,266,31123,47229,0
115,0,162,11,0,0,/videos/155827723,"You're So Talented, Season Two -- Chapter Two",668,2016-02-18T14:25:09+00:00,Array,0,71,489,56294,82905,0
103,0,143,20,0,0,/videos/124849631,"You're So Talented, Season One -- Chapter Four",295,2015-04-13T17:46:12+00:00,Array,0,72,210,21727,30963,0
102,0,168,22,0,0,/videos/162385131,"You're So Talented, Season Two - Chapter Six",568,2016-04-11T15:02:31+00:00,Array,0,80,414,42272,55648,0
99,0,158,16,0,0,/videos/160747140,"You're So Talented, Season Two - Chapter Five",520,2016-03-29T14:20:48+00:00,Array,0,77,371,36769,49389,0
89,0,122,18,0,0,/videos/157297665,"You're So Talented, Season Two - Chapter Three",555,2016-03-01T15:34:39+00:00,Array,0,74,380,33829,49445,0
89,0,141,14,0,0,/videos/159158733,"You're So Talented, Season Two - Chapter Four",546,2016-03-16T02:57:07+00:00,Array,0,81,439,39143,50767,0
86,0,113,22,0,0,/videos/126932556,"You're So Talented, Season One -- Chapter Five",292,2015-05-05T15:32:57+00:00,Array,0,72,208,17917,24815,0
84,0,114,17,0,0,/videos/129668799,"You're So Talented, Season One -- Chapter Seven",477,2015-06-03T14:13:37+00:00,Array,0,74,352,29649,40065,0
78,0,107,7,0,0,/videos/128319423,"You're So Talented, Season One -- Chapter Six",266,2015-05-19T23:04:13+00:00,Array,0,71,187,14592,20742,0
68,0,163,3,0,0,/videos/164162980,"Bronx Cunt Tour -- Episode 5",1086,2016-04-25T21:07:23+00:00,Array,0,53,496,33758,70562,0
48,0,210,18,0,0,/videos/143466703,"You're So Talented: Season 2 Official Trailer",119,2015-10-24T13:58:49+00:00,Array,0,55,64,3113,6178,0
37,0,109,1,0,0,/videos/162147393,"Bronx Cunt Tour -- Episode 2",609,2016-04-09T01:28:13+00:00,Array,0,61,335,12410,23732,0
35,0,86,9,0,0,/videos/162141163,"Bronx Cunt Tour -- Episode 1",500,2016-04-08T23:44:29+00:00,Array,0,67,270,9466,17491,0
32,0,128,3,0,0,/videos/160674297,"On The Verge -- By Paige Cunningham Caldarella & Jessica King",658,2016-03-28T23:47:44+00:00,Array,0,41,264,8469,21699,0
14,0,74,1,0,0,/videos/163350705,"Bronx Cunt Tour -- Episode 4",893,2016-04-19T03:12:52+00:00,Array,0,31,298,4179,14295,0
13,0,82,1,0,0,/videos/146666127,"Open TV Presents: Let Go and Let God",1376,2015-11-23T17:13:07+00:00,Array,0,35,488,6351,20637,0
13,2,57,8,0,0,/videos/161135550,"NIC Kay's Bronx Cunt Tour -- Trailer",68,2016-04-01T03:39:53+00:00,Array,0,79,41,538,1016,0
12,0,32,2,0,0,/videos/140615202,"Futurewomen, The Characters -- Episode 2",915,2015-09-28T02:11:20+00:00,Array,0,44,445,5346,12814,0
11,1,45,2,0,0,/videos/134807299,"Open TV Presents: Nupita Obama Creates Vogua",731,2015-07-29T04:46:53+00:00,Array,0,65,478,5258,8110,0
9,0,57,0,0,0,/videos/163310995,"Bronx Cunt Tour -- Episode 3",483,2016-04-18T20:02:31+00:00,Array,0,53,228,2052,4349,0
8,0,14,5,0,0,/videos/145222124,"Two Queens in Kitchen - Teaser One",16,2015-11-10T02:06:53+00:00,Array,0,71,11,92,128,0
7,1,24,1,0,0,/videos/136670475,"Futurewomen, The Origins -- Episode 1",805,2015-08-18T23:17:14+00:00,Array,0,33,308,2162,6438,0
7,0,42,1,0,0,/videos/150002138,"Futurewomen: The Quest -- Episode 3",842,2015-12-25T07:13:40+00:00,Array,0,41,694,4864,18584,0
5,0,64,2,0,0,/videos/160678130,"On The Verge --  Trailer -- Open TV Community",35,2016-03-29T00:34:12+00:00,Array,0,35,14,74,242,0
4,0,247,4,0,0,/videos/121910493,"Teaser -- Nupita Obama Creates Vogua",55,2015-03-11T16:54:25+00:00,Array,0,65,53,214,328,0
2,0,17,0,0,0,/videos/160749794,"/Shift/ -- A Fundraiser for Honey Pot Performance",263,2016-03-29T14:37:47+00:00,Array,0,8,23,47,789,0
2,0,13,0,0,0,/videos/126751017,"Teaser -- Futurewomen, an alternate reality series by Honey Pot Performance",47,2015-05-03T21:57:12+00:00,Array,0,23,5,11,47,0
2,1,21,0,0,0,/videos/136578747,"Introducing Isis of #Futurewomen",263,2015-08-18T04:14:52+00:00,Array,0,10,14,28,788,0
2,0,8,0,0,0,/videos/133452075,"#NupitaObama Creates Vogua Premiere: Lakeview",77,2015-07-14T14:04:01+00:00,Array,0,85,65,131,154,0
2,0,6,1,0,0,,0,22,19,38,170,0
1,0,9,1,0,0,/videos/134753960,"#NupitaObama Creates Vogua Premiere: Pilsen",73,2015-07-28T17:24:03+00:00,Array,0,100,72,72,72,0
1,0,2,0,0,0,/videos/25944002,"Michaela Angela Davis on Race and Fashion: ""Color is a Distraction""",230,2011-07-03T22:21:57+00:00,Array,0,96,221,221,229,0
1,1,9,1,0,0,/videos/134346192,"#NupitaObama Creates Vogua Premiere: Wicker Park",98,2015-07-23T20:27:08+00:00,Array,0,49,96,96,195,0
1,1,19,0,0,0,/videos/136579050,"Introducing Peppa of #Futurewomen",187,2015-08-18T04:21:15+00:00,Array,0,95,179,179,374,0
