 ,Post Example,Match Keys,Formal Name,Is OTV project?,Notes
ANO,Kiam Marcelo Junio -- The Artists of Nupita Obama,Kiam Marcelo Junio,Nupita Obama Artists,PRESENTS,There will be two other videos for Erik Wallace and Saya Naomi
AP,,The Algebra Project,The Algebra Project,FALSE,
AS,Afternoon Snatch -- Episode 1,Afternoon Snatch,Afternoon Snatch,ORIGINALS,
AV,Open TV Presents - ambivert by ester alegria,Ambivert,Ambivert,PRESENTS,
BF,"
",Brave Futures,Brave Futures,PRESENTS,Note this will include around 12 separate short films
B,BRUJOS -- Episode 2 -- Taurus,BRUJOS,BRUJOS,ORIGINALS,
BCT,Bronx Cunt Tour -- Episode 5,Bronx Cunt Tour,Bronx Cunt Tour,PRESENTS,
BG,Brown Girls -- Episode 1,Brown Girls,Brown Girls,ORIGINALS,
BM,Black Melodies - Sam Trump,Black Melodies,Black Melodies,COMMUNITY,OTV Community
BNB,,Brand New Boy,Brand New Boy,PRESENTS,
BOR,Border'd - Pilot,Border'd,Border'd,ORIGINALS,
BSF,BSAYF by Roy Kinsey,BSAYF by Roy Kinsey,BSAYF by Roy Kinsey,PRESENTS,
BTH,Been T/Here: In the Knowing of Me,Been T/Here,Been T/Here,ORIGINALS,
CS,Code-Switched - Official Trailer,Code,Code,ORIGINALS,
CT,Conspiracy Theorist,Conspiracy Theorist,Conspiracy Theorist,PRESENTS,
DG,Damaged Goods - Episode 1,Damaged Goods,Damaged Goods,ORIGINALS,
DS,Darling Shear Ep 1,Darling Shear,Darling Shear,ORIGINALS,
FB,,For Better,For Better,ORIGINALS,
FF,Open TV Re-Presents: Filipino Fusions -- Season 1,Filipino Fusions,Filipino Fusions,REPRESENTS,
FM,FAME: Kade Style (Anniversary Cut!),FAME,FAME,FALSE,
FO,Full Out -- Episode 1,Full Out,Full Out,ORIGINALS,
FOB,FOBia - Pilot,FOBia,FOBia,PRESENTS,
FP,,Freaky Phyllis,Freaky Phyllis,ORIGINALS,
FR,Open TV Presents - The Furies Episode 1 - Gemma,The Furies,The Furies,PRESENTS,
FS,,F*ck Stan,F*ck Stan,ORIGINALS,
FW,"Futurewomen, The Origins -- Episode 1",Futurewomen,Futurewomen,ORIGINALS,
FY,F*ck Yes -- Fingers,F*ck Yes,F*ck Yes,ORIGINALS,
GB,,"Granny Ballers
","Granny Ballers
",PRESENTS,
HAV,,The Haven,The Haven,ORIGINALS,
HD,,The Hoodoisie,The Hoodoisie,COMMUNITY,
ILM,,i - LOVE// ME,i - LOVE// ME,PRESENTS,
GE,GOOD ENOUGH SEASON ONE _OFFICIAL TRAILER,GOOD ENOUGH,GOOD ENOUGH,ORIGINALS,
OTV,OTV | Open Television Super Trailer 2017-2018,Open TV | OTV | Open Television,Open TV,,"
"
OTC,,Open TV | OTV | Open Television | Community,Open TV Community,COMMUNITY,
GGMO,Geeta's Guide To Moving On -- Episode 1,Geeta's Guide To Moving On,Geeta's Guide To Moving On,ORIGINALS,
HD,The Hoodosie - Episode 9,The Hoodosie,The Hoodosie,COMMUNITY,
HS,HAIR STORY (Pilot Concept),HAIR STORY,HAIR STORY,PRESENTS,
HU,Hook Ups - Episode 1,Hook Ups,Hook Ups,ORIGINALS,
IGU,It Goes Unsaid,It Goes Unsaid,It Goes Unsaid,FALSE,
IN,Open TV Presents - Inertia,Inertia,Inertia,PRESENTS,
IRL,In Real Life - Erin,In Real Life,In Real Life,ORIGINALS,
JCMR,,Just Call Me Ripley,Just Call Me Ripley,ORIGINALS,
KI,Kickin’ It w/ KK + Eli: Vignette #2,Kickin' It,Kickin' It,FALSE,
"KQ
",,Kings and Queens,Kings and Queens,PRESENTS,
KW,Open TV Re-Presents: Kissing Walls -- Pilot,"Kissing Walls
","Kissing Walls
",ORIGINALS,
LC,Open TV Presents: Lipstick City by Shea Couleé,Lipstick City,Lipstick City,PRESENTS,
LGLG,Open TV Presents: Let Go and Let God,Let Go and Let God,Let Go and Let God,PRESENTS,
LS,"Low Strung S. 1, Ep. 1 #ShervDay",Low Strung,Low Strung,ORIGINALS,
MAD,,Michaela Angela Davis,Michaela Angela Davis,FALSE,
MM,Movement Matters - Trailer,Movement Matters,Movement Matters,COMMUNITY,OTV Community
MSMF,Open TV Re-Presents: Melody Set Me Free Seasons 1-3,Melody Set Me Free,Melody Set Me Free,REPRESENTS,
NN,"
",Night Night,Night Night,ORIGINALS,
NOCV,Open TV Presents: Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,Nupita Obama Creates Vogua,PRESENTS,
OT,Open TV Re-Presents: Outtakes -- Seasons 1-2,Outtakes,Outtakes,REPRESENTS,
OV,On The Verge -- By Paige Cunningham Caldarella & Jessica King,On The Verge,On The Verge,COMMUNITY,OTV Community
P4L,,"PrEP4Love | P4L | Dr. Every Woman | One Little Pill
","PrEP4Love
",PRESENTS,
PB,,Project Basho,Project Basho,FALSE,
PD,,Pay Day,Pay Day,FALSE,
